RMSE,MAE,MAPE,R2,Pearson_r,site,model,predictor_set,n_predictors,predictors
0.0574732362268386,0.0421520870592859,18.056243745898527,0.5497848830454626,0.748702311572926,low_amplitude,zero_shot,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph"
0.0608392083658722,0.0407666062315305,18.53960705599465,0.4955061485456873,0.7477150728503118,low_amplitude,zero_shot,no_moisture,5,"tmmx,tmmn,pr,srad,vs"
0.0565925610309606,0.0396495774388313,17.335054457192545,0.563476664983858,0.7613092673664728,low_amplitude,zero_shot,no_pr,6,"tmmx,tmmn,srad,vpd,sph,vs"
0.0591033758986396,0.0392870109942224,18.09348207248963,0.5238833770844127,0.7580107352288691,low_amplitude,zero_shot,no_sph,6,"tmmx,tmmn,pr,srad,vpd,vs"
0.0561993307537988,0.0391355194979243,17.390363105274062,0.5695219057036567,0.7680492121785084,low_amplitude,zero_shot,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs"
0.0574685072050121,0.0401614055037498,18.08311173190489,0.5498589693389075,0.7611445053181642,low_amplitude,zero_shot,no_temperature,5,"pr,srad,vpd,sph,vs"
0.0578476818240578,0.0391664155655437,17.785197835144935,0.543899352902238,0.7621019304946122,low_amplitude,zero_shot,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs"
0.0585509325709514,0.0407508752412266,18.559741550796296,0.5327423696442295,0.7569380628853521,low_amplitude,zero_shot,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs"
0.0584986117017599,0.0402867540717124,17.866639121421414,0.5335770754727996,0.7504981532221074,low_amplitude,zero_shot,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs"
0.0584501951700589,0.0410101041197776,18.408899638023808,0.5343488283191807,0.7526201606314586,low_amplitude,zero_shot,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph"
0.0600727842164776,0.0416994606455167,18.586404679887217,0.5081368458557967,0.7403029835300466,low_amplitude,zero_shot,top3_essential,3,"tmmx,tmmn,srad"
0.3974823904822193,0.262453826268514,15.627929684862218,0.9604943332003056,0.981514703159278,high_amplitude_deciduous,zero_shot,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph"
0.3928667112062992,0.259504058625963,15.20285647989062,0.9614065082695712,0.9819165107670458,high_amplitude_deciduous,zero_shot,no_moisture,5,"tmmx,tmmn,pr,srad,vs"
0.3792602476849386,0.2532293081283569,15.060781530988724,0.9640334932408364,0.9831807870627964,high_amplitude_deciduous,zero_shot,no_pr,6,"tmmx,tmmn,srad,vpd,sph,vs"
0.3683116391953474,0.2416383531358507,13.733852064766031,0.9660801051527846,0.9838328309663456,high_amplitude_deciduous,zero_shot,no_sph,6,"tmmx,tmmn,pr,srad,vpd,vs"
0.3837786745195561,0.2525124523374769,14.55438947513671,0.9631713934169992,0.9823964283822164,high_amplitude_deciduous,zero_shot,no_srad,6,"tmmx,tmmn,pr,vpd,sph,vs"
0.3619597763573615,0.2334938844045003,13.263736358053077,0.9672399743727874,0.9843552743524536,high_amplitude_deciduous,zero_shot,no_temperature,5,"pr,srad,vpd,sph,vs"
0.3650739403088846,0.2384800990422566,13.673835292968263,0.9666738398543152,0.984157386573608,high_amplitude_deciduous,zero_shot,no_tmmn,6,"tmmx,pr,srad,vpd,sph,vs"
0.3723386775947393,0.2438868734571669,13.957410050201585,0.9653343047833798,0.9834385007991602,high_amplitude_deciduous,zero_shot,no_tmmx,6,"tmmn,pr,srad,vpd,sph,vs"
0.3931389840573445,0.2600229422251383,15.368252660079431,0.9613529959665408,0.981992320050457,high_amplitude_deciduous,zero_shot,no_vpd,6,"tmmx,tmmn,pr,srad,sph,vs"
0.3718726990285016,0.2465028471416897,13.97493886780202,0.9654210181116638,0.9835177184661084,high_amplitude_deciduous,zero_shot,no_vs,6,"tmmx,tmmn,pr,srad,vpd,sph"
0.4286518864228022,0.2739665455288357,16.58256693662228,0.9540555466047884,0.9789804006254664,high_amplitude_deciduous,zero_shot,top3_essential,3,"tmmx,tmmn,srad"
