step,train_loss,val_loss,lr
0,0.3688204437494278,0.36049768328666687,0.001
10,0.35694633424282074,0.36660757660865784,0.001
20,0.35204993188381195,0.3693879544734955,0.001
30,0.3542896509170532,0.3708338737487793,0.001
40,0.34350956976413727,0.3699994683265686,0.001
50,0.3475097268819809,0.3719365894794464,0.001
60,0.33986881375312805,0.37295663356781006,0.001
70,0.33932262659072876,0.3737829923629761,0.001
80,0.3400193452835083,0.3738689720630646,0.001
90,0.3385578393936157,0.37752997875213623,0.001
100,0.3264840096235275,0.3770364820957184,0.001
110,0.3296271115541458,0.378187894821167,0.001
120,0.3209919184446335,0.3794674575328827,0.001
130,0.3220531791448593,0.380893737077713,0.001
140,0.3226493000984192,0.3844333291053772,0.001
149,0.3177705258131027,0.38594865798950195,0.001
0,0.37200500071048737,0.36691969633102417,0.003
10,0.35371360182762146,0.3703615367412567,0.003
20,0.34999778866767883,0.3754662871360779,0.003
30,0.33548009395599365,0.3758503198623657,0.003
40,0.32851892709732056,0.3759417235851288,0.003
50,0.3251936733722687,0.3826940655708313,0.003
60,0.3193991482257843,0.38699156045913696,0.003
70,0.31355294585227966,0.3926548957824707,0.003
80,0.3088393658399582,0.39722633361816406,0.003
90,0.30685922503471375,0.3938256502151489,0.003
100,0.30014726519584656,0.3984394669532776,0.003
110,0.2915713042020798,0.4116787910461426,0.003
120,0.2959710955619812,0.4053756594657898,0.003
130,0.2925354838371277,0.40153253078460693,0.003
140,0.29107190668582916,0.40825825929641724,0.003
149,0.2832106351852417,0.41227754950523376,0.003
0,0.37077173590660095,0.4163481891155243,0.01
10,0.34883831441402435,0.37267497181892395,0.01
20,0.3374175876379013,0.3742659389972687,0.01
30,0.32666662335395813,0.38168177008628845,0.01
40,0.3181530386209488,0.39310041069984436,0.01
50,0.3085143715143204,0.3973277807235718,0.01
60,0.2980085760354996,0.4013426899909973,0.01
70,0.29298053681850433,0.40547117590904236,0.01
80,0.28163662552833557,0.40621739625930786,0.01
90,0.27973249554634094,0.4137852191925049,0.01
100,0.27784182131290436,0.4252792298793793,0.01
110,0.2724437564611435,0.414896160364151,0.01
120,0.270926833152771,0.420431911945343,0.01
130,0.26677489280700684,0.4251684546470642,0.01
140,0.264945924282074,0.4351736307144165,0.01
149,0.2673589438199997,0.43009859323501587,0.01
