site,count,mean,median,std,min,max,var
g033_grass_nat,11,0.8500240748894824,0.8734916973844379,0.07880588470163984,0.6643489891332277,0.9491231064414216,0.0062103674636081515
g032_shrubs_bd,11,0.7553265462955903,0.7355063828732757,0.07462085819922767,0.6770324484339052,0.9128081456681828,0.005568272478389244
g025_grass_nat,11,0.7509952659148958,0.785319310806166,0.12847405373450932,0.5340070485089179,0.8899510786169118,0.016505582482977586
g065_shrubs_bd,11,0.7508607279425257,0.7927738700128022,0.12279636770111166,0.537700733818804,0.8892263373209376,0.015078947920586618
g031_grass_nat,11,0.7401802302246163,0.7234564363031484,0.12748341642558766,0.5322361358092236,0.8997502421065664,0.016252021463539795
g045_grass_nat,11,0.7228913535304723,0.729047949729342,0.11397485715523034,0.4754726257873337,0.8857743251515405,0.01299026806355516
g022_grass_man,11,0.7147674697332973,0.8004098906436374,0.21330127809249835,0.148639863316411,0.8853452067385084,0.045497435235893315
g027_grass_nat,11,0.7001383606808504,0.7833617094787744,0.16096736155008323,0.3813134021434893,0.8493966455839573,0.025910491484395212
g030_grass_nat,11,0.6985729708922156,0.7242436261975036,0.094437857988781,0.5351652614011434,0.8265532661360202,0.008918509021509168
g011_shrubs_ne,11,0.6815191447365415,0.6902414711340976,0.1583520756289659,0.4278624409228084,0.8926300302154193,0.025075379856001733
g035_grass_man,11,0.6767138546406246,0.6718598019366708,0.12470077483346537,0.460899106937842,0.8909508848676518,0.01555028324406663
g009_grass_nat,11,0.6730421992545119,0.6963053924467473,0.14467716275343473,0.3818461259463509,0.8313340046167728,0.02093148142238384
g016_grass_nat,11,0.667470851150692,0.6740495926600258,0.1306421674738466,0.4426088570419936,0.8424482635513443,0.017067375922264583
g019_trees_bd,11,0.6640607593286337,0.7251915066494478,0.27461497291488174,0.0262254515217668,0.9315305322975628,0.07541338334904123
g021_trees_bd,11,0.64427526822328,0.6815616708873143,0.16651013480426877,0.3914914370755628,0.9428563585804318,0.027725624992535756
g014_trees_ne,11,0.6400979338608807,0.6923037028680186,0.14997821533905553,0.3411500476453393,0.8237576388124052,0.022493465076288112
g048_shrubs_bd,11,0.632887403451545,0.6212640879594067,0.10914073680259362,0.4575951536258372,0.7857300708868771,0.011911700429813012
g028_shrubs_ne,11,0.6296539913276203,0.6306017458321311,0.08483277471717399,0.4688016302880475,0.7635880347311267,0.007196599666214794
g063_shrubs_bd,11,0.6093898951137088,0.6290965680620851,0.12246571508802513,0.4050405353367416,0.7832328121731436,0.014997851372021346
g008_grass_nat,11,0.5944246373292592,0.6955530825588931,0.20630175966170597,0.1986628398699146,0.8591315419715753,0.04256041603951629
g044_grass_man,11,0.590503790305628,0.6502221740929166,0.1319267149541027,0.3718274593423046,0.7660953901966377,0.01740465811858106
g023_grass_nat,11,0.5830431680189697,0.6073721678763202,0.1568904996461282,0.1655500679995892,0.7475704781483148,0.02461462887921175
g068_grass_nat,11,0.5668231241638069,0.593781223215418,0.13627512901493302,0.2354445383835853,0.7181975013240559,0.01857091078803664
g024_trees_ne,11,0.5511468896090306,0.637745479178195,0.17855847722402854,0.227520225387968,0.7878220808853578,0.03188312978856392
g017_shrubs_nd,11,0.5433925897706445,0.5512412652934615,0.13542226803283106,0.3144312713573096,0.7904363692556386,0.018339190679155935
g015_trees_nd,11,0.5405844267404286,0.6170696380986099,0.24709296878253528,0.0019013757918301,0.7612260745316111,0.06105493522176696
g059_grass_man,11,0.5124584077026899,0.5591596692639982,0.12870986692224323,0.2363668844014093,0.6413652326100254,0.016566229843141562
g026_grass_nat,11,0.479517993602589,0.506459837089233,0.2570791954300293,-0.0946918617682774,0.8337889656882095,0.06608971272295118
g018_trees_bd,11,0.4243077987784955,0.4372230570745827,0.28492652130195195,-0.0662884303499422,0.7588943027094918,0.08118312254123168
g005_grass_nat,11,0.41768084991313953,0.7113033062988163,0.7022315542350859,-1.2928534496194493,0.8742678965709841,0.49312915576342436
g020_trees_ne,11,0.41174097662246095,0.4259731842404137,0.19084527574838847,-0.0735159176504203,0.606792957712095,0.036421919275478436
g013_grass_nat,11,0.40483597472861726,0.3913476907787279,0.10417906919281582,0.2502603115486062,0.5825789118396563,0.010853278457881506
g004_grass_nat,11,0.3931939615900731,0.4650376541859735,0.17012200666697175,0.0210562924647522,0.5989161189966513,0.02894149715239718
g034_grass_man,11,0.3809229643842022,0.3923750504964552,0.14125248638338747,0.1623951077322354,0.6441184749034788,0.01995226490948906
g055_shrubs_bd,11,0.37689161610280214,0.3452146817523159,0.19934306791033907,0.0964235671534178,0.663190595739988,0.039737658723906055
