composite_index,site,n_years,R2,Pearson_r
1,evergreen,11,0.21808071049540667,0.7927238085930504
1,high_amplitude_deciduous,11,-0.3432375745779126,0.25368828437518
1,low_amplitude,11,-0.0022822646681925907,0.37952751900125165
1,mixed_forest_grass,11,-0.07280803103687217,0.3063019476709857
1,px004_trees_ne,11,0.25536859861244354,0.6159231220205255
1,px005_trees_bd,11,-0.46046691973712983,0.2805638846216616
1,px006_trees_nd,11,-0.024108935267622478,0.5831283330883708
1,px007_shrubs_ne,11,0.612587787766081,0.8885084678904638
1,px008_shrubs_bd,11,0.6205525963067707,0.8140863312535391
1,px009_shrubs_nd,11,0.8367006740458767,0.9223061034800054
1,px010_grass_nat,11,-0.6591828058680993,-0.26677892479581583
1,px011_grass_man,11,0.10972725473122569,0.5543616046801129
1,px012_trees_nd,11,-0.374352911103802,0.17635320162323023
1,px013_grass_man,11,-0.017746188767615134,0.5446861765590212
1,px014_grass_man,11,0.0944165832500431,0.7356719844073911
1,px015_shrubs_nd,11,0.5456904403348335,0.7919165728008509
1,px016_shrubs_ne,11,0.7158932266682915,0.9171497081086705
1,px017_grass_man,11,-0.044250425988158426,0.4596957912309304
1,px018_trees_nd,11,-0.8239945801686901,-0.0826813242904313
1,px019_shrubs_bd,11,0.46789045221854997,0.6876858472339776
1,px020_trees_ne,11,-0.418708852488753,0.2995749471782605
1,px021_grass_nat,11,0.3785216369443537,0.6841809596633245
1,px022_grass_nat,11,-0.8913950716718604,0.38086313142534484
1,px023_shrubs_ne,11,-1.410701200637115,0.22543179525541476
1,px024_shrubs_bd,11,0.4012836129840477,0.8257829495297507
1,px025_grass_nat,11,-10.824621784003346,0.6780620991658126
1,px026_trees_nd,11,-1.4976058082943298,-0.11417244205395662
1,px027_grass_man,11,0.4962879620579703,0.8667121040503676
1,px028_grass_nat,11,-43.285226182897844,0.5365582992232194
1,px029_grass_man,11,-1.1913858188099025,0.44044467071158927
1,px030_grass_man,11,-1.7934960227548582,0.3575552633844512
1,px031_trees_bd,11,-0.9682824049888532,0.2724916166047147
1,px032_grass_man,11,0.7168670088747018,0.9329328837297768
1,px033_trees_ne,11,-3.4733580528312586,0.12739719311052256
1,px034_grass_man,11,-1.2276404247378592,-0.21708718633921115
1,px035_shrubs_nd,11,0.9192726830908007,0.9643592744937151
1,px036_grass_man,11,-0.20459659276326625,0.33778433218022746
1,px037_trees_nd,11,-1.0479240527139249,0.3796626443528742
1,px038_grass_nat,11,-3.6882631041979916,0.7150315641309722
1,px039_trees_ne,11,-0.5557282871714351,0.4829214035561361
1,px040_trees_bd,11,-0.6716578597364309,-0.16923512025068754
1,px041_grass_nat,11,0.43485239269160125,0.7190975355040419
1,px042_grass_nat,11,-1.8825042566387507,0.29883451313562154
1,px043_grass_nat,11,-0.06791268856955468,0.3668265672811656
1,px044_grass_nat,11,-3.7815316433829924,-0.2911713748376143
1,px045_grass_nat,11,0.37363451659309976,0.6723335454783339
1,px046_grass_nat,11,-0.1481484364832757,0.5986969328882619
1,px047_grass_nat,11,0.1602011023783413,0.6297138080448224
1,px048_grass_nat,11,0.4317229817079805,0.7151636586533039
1,px049_grass_nat,11,0.5559942543958202,0.7585633125557989
1,px050_shrubs_ne,11,0.7969390418244255,0.9118823738153826
1,px051_shrubs_ne,11,0.1383847954561398,0.4569797670907293
1,px052_shrubs_bd,11,-0.46111889271770323,0.19239778971363988
1,px053_shrubs_ne,11,-0.33359987282797543,0.06682778219549575
1,px054_shrubs_ne,11,0.13110984896946398,0.45017140538746697
1,px055_shrubs_bd,11,-0.9515612268466791,0.3392987029116834
1,px056_shrubs_nd,11,0.5878957813895276,0.7897823283042221
1,px057_shrubs_nd,11,0.2099347518359841,0.6206407538212284
1,px058_grass_nat,11,-0.5154514321300021,0.046236121661925506
1,px059_shrubs_bd,11,-0.03610370799465734,0.2665627445775326
1,px060_grass_nat,11,-0.5016431128407781,0.21593244842985457
1,px061_grass_nat,11,0.9034382260927711,0.9714030846871244
1,px062_shrubs_nd,11,-0.141077439017951,0.43932790869756677
1,px063_trees_bd,11,-0.04466064247940138,0.4144369341043251
1,px064_shrubs_bd,11,-0.00918484032450273,0.47417579527577425
1,px065_trees_ne,11,0.07464226965062615,0.44557040989968005
1,px066_grass_man,11,-0.27802304900885,0.4185260113648698
1,px067_grass_man,11,0.40201185545248186,0.7200688651741114
1,px068_trees_nd,11,-3.9385386198429853,0.41378370267441356
1,px069_trees_bd,11,0.718541204756955,0.8742953368593416
2,evergreen,11,0.2553829806511245,0.6628711278565615
2,high_amplitude_deciduous,11,-0.4382038884681938,0.2979829695178508
2,low_amplitude,11,0.04491113493475418,0.3908628022638243
2,mixed_forest_grass,11,0.0015056818122045623,0.21534042464307657
2,px004_trees_ne,11,-0.09862251614867446,0.8662409396847272
2,px005_trees_bd,11,-0.1591366508332992,0.45386497434317075
2,px006_trees_nd,11,0.055920413059011076,0.4334556682743717
2,px007_shrubs_ne,11,-0.29448209331314934,0.6338394847678107
2,px008_shrubs_bd,11,0.41980385831844036,0.7364303187214944
2,px009_shrubs_nd,11,0.8525998799832055,0.9290748530152921
2,px010_grass_nat,11,-0.8522250443382957,-0.19092822679784638
2,px011_grass_man,11,-0.964179892514637,0.4261498955589306
2,px012_trees_nd,11,-0.5973332997717009,0.04987594063626754
2,px013_grass_man,11,0.2634173241271086,0.5437890984367235
2,px014_grass_man,11,-0.014369625539085717,0.45852200374612834
2,px015_shrubs_nd,11,0.041727107475021064,0.2790574735739243
2,px016_shrubs_ne,11,0.7535330561928679,0.9168982660072468
2,px017_grass_man,11,-0.4479061533998645,0.3806461163017662
2,px018_trees_nd,11,-0.41100976199548667,-0.0006529031292240963
2,px019_shrubs_bd,11,0.5580785453133719,0.759795420216155
2,px020_trees_ne,11,-0.054790694410067564,0.3243373989378582
2,px021_grass_nat,11,0.23322986367613985,0.5802525387606549
2,px022_grass_nat,11,0.12582681866848722,0.40193998665320657
2,px023_shrubs_ne,11,-0.18842167709095103,0.2517291314097708
2,px024_shrubs_bd,11,0.4864787641339976,0.7437855799688996
2,px025_grass_nat,11,-0.11876368549102656,0.13040717914743918
2,px026_trees_nd,11,-1.8006588394579408,-0.09937657637288244
2,px027_grass_man,11,0.6464380760805997,0.8182947966388974
2,px028_grass_nat,11,0.021230618805479606,0.3682213668000142
2,px029_grass_man,11,-0.008957054017311616,0.2839239795457366
2,px030_grass_man,11,0.24098556341950417,0.49421342692977477
2,px031_trees_bd,11,-0.26545435598623457,0.14772678909184098
2,px032_grass_man,11,0.7802123324557219,0.9201180524898647
2,px033_trees_ne,11,-1.2197157064040565,0.41889724599634764
2,px034_grass_man,11,-1.133860132986614,-0.37708958848783347
2,px035_shrubs_nd,11,0.8456104949752026,0.9270069320550082
2,px036_grass_man,11,0.06406631925081929,0.45851778914787433
2,px037_trees_nd,11,0.03831951784825649,0.3647245361216031
2,px038_grass_nat,11,-0.663275301035128,0.2074869609324083
2,px039_trees_ne,11,-0.0782245983793961,0.47921569657311064
2,px040_trees_bd,11,-0.2643518337277664,-0.1731617252440673
2,px041_grass_nat,11,-0.1673697805771719,0.44466105053754457
2,px042_grass_nat,11,-0.27570263026018504,0.35525231528009665
2,px043_grass_nat,11,-0.2391335463754356,0.5479115539473073
2,px044_grass_nat,11,-0.35677731003685853,-0.07441867657694712
2,px045_grass_nat,11,0.1469322627690961,0.7473624051532719
2,px046_grass_nat,11,0.27063199674219873,0.7144524582964755
2,px047_grass_nat,11,0.1494876839371817,0.5372834416357457
2,px048_grass_nat,11,0.3435563174852275,0.6751984419087683
2,px049_grass_nat,11,0.43645848910524854,0.7758024815677868
2,px050_shrubs_ne,11,0.15083420918135548,0.5197155970299228
2,px051_shrubs_ne,11,-0.4872861067658767,0.4575737480413953
2,px052_shrubs_bd,11,0.0021413531780820616,0.17262946173200527
2,px053_shrubs_ne,11,-0.30652430015141396,-0.022289559613382567
2,px054_shrubs_ne,11,-0.533780841231795,-0.0644685203392152
2,px055_shrubs_bd,11,-0.4828039206157302,0.43837040664471705
2,px056_shrubs_nd,11,0.7192457058938967,0.8571055798190732
2,px057_shrubs_nd,11,-0.04936093808021713,0.4634722881425444
2,px058_grass_nat,11,0.1503505772898719,0.4946114452430609
2,px059_shrubs_bd,11,-0.6963759484075396,0.23839532447356193
2,px060_grass_nat,11,-0.2059523107882515,0.03184820618540733
2,px061_grass_nat,11,0.6165531520195388,0.882407204334658
2,px062_shrubs_nd,11,0.15018891174143512,0.5338619598790363
2,px063_trees_bd,11,0.002418054255729496,0.2947834016219583
2,px064_shrubs_bd,11,0.08909495580151117,0.6049056716024135
2,px065_trees_ne,11,0.2965148857352091,0.5961640542075994
2,px066_grass_man,11,0.030803563208826934,0.29832892503764397
2,px067_grass_man,11,0.26304900402950127,0.6108938908214974
2,px068_trees_nd,11,-0.8834300535298723,0.29087269753322215
2,px069_trees_bd,11,0.12198578672656624,0.5975613846672725
3,evergreen,11,-0.8341023716379807,0.8313826620300071
3,high_amplitude_deciduous,11,-0.7046063916181873,-0.3881670441984357
3,low_amplitude,11,0.1789277538169809,0.42451533192664226
3,mixed_forest_grass,11,0.04859881190261062,0.30780243856534123
3,px004_trees_ne,11,0.5396447059856457,0.746928466051119
3,px005_trees_bd,11,0.0057843584237996515,0.3442973441022564
3,px006_trees_nd,11,0.18160399657414117,0.43230231457093815
3,px007_shrubs_ne,11,0.5115669947813961,0.8056381579063399
3,px008_shrubs_bd,11,0.6879880375392968,0.8429691591217051
3,px009_shrubs_nd,11,0.7802749233985387,0.8893345681766944
3,px010_grass_nat,11,0.10620819606919218,0.34548448279558686
3,px011_grass_man,11,-0.11783835581922175,0.3154722093043775
3,px012_trees_nd,11,-0.04737473355847088,0.3504526183452361
3,px013_grass_man,11,-0.1193660134665715,0.6107310156965358
3,px014_grass_man,11,0.6575401476715388,0.8412016253649126
3,px015_shrubs_nd,11,0.15119836440262113,0.41805595377962507
3,px016_shrubs_ne,11,0.626647552664899,0.8079436802943794
3,px017_grass_man,11,0.03870123484708432,0.4331546535982994
3,px018_trees_nd,11,-0.6107225410940267,-0.2894203519356422
3,px019_shrubs_bd,11,0.5310947396386466,0.7353093448810779
3,px020_trees_ne,11,-0.33636351423094957,0.04510158223124782
3,px021_grass_nat,11,0.07058069022815538,0.31766735351671643
3,px022_grass_nat,11,-0.13106146421620557,0.48305098785429146
3,px023_shrubs_ne,11,-0.6475135934880105,0.1682392326053873
3,px024_shrubs_bd,11,0.3981751087585448,0.6884063593445688
3,px025_grass_nat,11,-0.32284578983330325,-0.03742004493458478
3,px026_trees_nd,11,-0.611829188545365,0.09957092127136759
3,px027_grass_man,11,0.5669293552885669,0.7868431423690951
3,px028_grass_nat,11,-0.1642512035267516,0.06786386148374557
3,px029_grass_man,11,-0.2238991101270471,0.06906880547120324
3,px030_grass_man,11,0.05106725397413836,0.45615084456691635
3,px031_trees_bd,11,-0.013189233976827142,0.3732111281984464
3,px032_grass_man,11,0.6950249354102831,0.8980800316722528
3,px033_trees_ne,11,-0.6778222141737478,0.40121394869290067
3,px034_grass_man,11,-1.0367609963672848,-0.18527932158007693
3,px035_shrubs_nd,11,0.8440261651382169,0.9192748733053425
3,px036_grass_man,11,-0.27730453968219826,0.19341978555368847
3,px037_trees_nd,11,-0.2755611559169162,0.12502996422116178
3,px038_grass_nat,11,-1.2011773078175008,0.09259123563366849
3,px039_trees_ne,11,0.10909955847138486,0.7106303774657075
3,px040_trees_bd,11,-0.02927350402082629,0.26239079581317326
3,px041_grass_nat,11,0.12992149622060467,0.8535213961683298
3,px042_grass_nat,11,0.1699883360295732,0.5381615868873374
