pool,mean_R2,median_R2,std_R2,min_R2,max_R2
CONUS (70 pixels),0.8567413620618212,0.8779866927958964,0.09581978038423261,0.5278128284601775,0.9468244968974623
Global (68 pixels),0.7360484361501445,0.7488632278343601,0.07013852099556472,0.5598321421569805,0.8721802880217758
