site,count,mean,median,std,min,max,var
px060_grass_nat,11,0.9780275506437089,0.9793071780343052,0.009364103626352833,0.9641808581139047,0.9912908500894032,8.768643672507428e-05
px033_trees_ne,11,0.9749658842259611,0.974689107710324,0.007664307748677722,0.959015568685913,0.9871078069326412,5.8741613266441365e-05
px042_grass_nat,11,0.9649152332899849,0.9697564145607056,0.018080307315914756,0.9307560850214044,0.9833551630110396,0.00032689751263792065
px031_trees_bd,11,0.9626884863365099,0.969453791083357,0.03490211020322901,0.8597934930342341,0.9861923217415088,0.0012181572966383427
px043_grass_nat,11,0.9583766860798876,0.9670453139618708,0.03284132190223272,0.8654373893795222,0.9845974818533278,0.0010785524242860705
high_amplitude_deciduous,11,0.9569265083187701,0.9611617148661448,0.02275988095615464,0.8963045851892085,0.98540674004639,0.0005180121811383307
px052_shrubs_bd,11,0.9534856051589785,0.9581255481651588,0.024417780240255708,0.904119825164144,0.9831361551302386,0.000596227991861422
px058_grass_nat,11,0.9468953967622723,0.950442500139398,0.03788438902104463,0.8779370400915748,0.9841705074047976,0.001435226931497847
px014_grass_man,11,0.9457324140576611,0.9510901263711368,0.022852115417953713,0.9041457811551514,0.9766167839723064,0.0005222191790754777
px036_grass_man,11,0.943520862065957,0.9620424131333172,0.030116363749904597,0.8855655658149577,0.9769263450966404,0.0009069953655165677
px066_grass_man,11,0.9432672557207986,0.95195772488262,0.028817409803827805,0.8659179427768446,0.9673326191723476,0.0008304431078017509
px006_trees_nd,11,0.9427043700871679,0.9432336348920436,0.02610084321422726,0.8798934534669419,0.9758509800653048,0.0006812540164936731
px029_grass_man,11,0.9367691671892338,0.9629386222474512,0.06111335648743837,0.8044236333940495,0.98296893523436,0.0037348423411607255
px044_grass_nat,11,0.9345070094168656,0.93795330958993,0.02890884488696469,0.880489839360465,0.9737548561806296,0.0008357213126985845
px063_trees_bd,11,0.9327621522339306,0.94683763159002,0.035093986396632346,0.8695285522156282,0.974535390361894,0.0012315878812070161
px013_grass_man,11,0.9312704873363423,0.9341823995147917,0.02603932074914665,0.8832952740211901,0.969395011138276,0.0006780462250769391
px012_trees_nd,11,0.9297076357132537,0.9293933170204948,0.018125893253045967,0.9090026654844128,0.9617670202167806,0.0003285480062208173
px032_grass_man,11,0.9281976770999291,0.931732228938866,0.054586051910183,0.8223291194426035,0.9874768876891756,0.0029796370631411935
px005_trees_bd,11,0.9276515238269927,0.939461971171369,0.045426403247503244,0.838127648743762,0.9837407090835768,0.002063558112004773
px010_grass_nat,11,0.9268298234735565,0.9328895143784952,0.02722555543863314,0.8665086432170214,0.9571167379004007,0.0007412308689420865
mixed_forest_grass,11,0.9257928872341652,0.9399157411398136,0.06199845979423855,0.7737571669018739,0.9827139640199316,0.003843809016857814
px048_grass_nat,11,0.9238058687550624,0.9363080976845736,0.056857344236012866,0.7997045949613035,0.974134776146503,0.0032327575935724657
px037_trees_nd,11,0.9225689843269596,0.9273407973693611,0.035064171699042364,0.8423921761010316,0.9690050593698184,0.0012294961369399234
px022_grass_nat,11,0.9218231151185432,0.926603778282589,0.04225029921858315,0.8187270300302565,0.978841266634792,0.0017850877840598078
px018_trees_nd,11,0.919898875244797,0.9618629945372578,0.10663856276820155,0.6147336736413483,0.9868549202341568,0.011371783069267663
px069_trees_bd,11,0.9178311511914021,0.9193490068878608,0.02721091688622864,0.8742585801587524,0.9691168845611186,0.000740433997789243
px053_shrubs_ne,11,0.9152739038112231,0.94135935695818,0.06321959823214138,0.760577971030899,0.9755685529107936,0.003996717600633373
px065_trees_ne,11,0.9058031520390283,0.9367684518183794,0.07073341302340702,0.7649933067175487,0.9647754137246696,0.005003215717939886
px040_trees_bd,11,0.9019834681959903,0.9227773675590168,0.04808671102567907,0.7996427013641418,0.9510955847918082,0.0023123317772671646
px039_trees_ne,11,0.8998803830385508,0.9200722559577296,0.041572479732555914,0.8192283173192199,0.9514505599441976,0.0017282710711137722
px021_grass_nat,11,0.8896625059704611,0.8860921992863138,0.03591049032178254,0.8381448498190408,0.943684786391964,0.0012895633151508376
px061_grass_nat,11,0.884764510036097,0.8887569186284915,0.06556136892946061,0.780760465543452,0.9648697061382252,0.004298293095904844
px023_shrubs_ne,11,0.8778535481743451,0.8995914707852347,0.0629611979702077,0.7837070377404229,0.9621492022551978,0.003964112449843686
px034_grass_man,11,0.8775629389665857,0.8924285379430641,0.08036698299817917,0.6598575584098471,0.9646810993113234,0.00645885195622962
px041_grass_nat,11,0.8668586601922544,0.8979452435189328,0.09928078200005146,0.6457420358536886,0.951877558135959,0.009856673674541742
px067_grass_man,11,0.8665312813291074,0.9187459731150917,0.11176645712216994,0.6092340405564459,0.9804822974618304,0.012491740937641852
px026_trees_nd,11,0.8640572222755253,0.8903178928207894,0.07154950718528987,0.7242602507777451,0.9391580954214824,0.005119331978457846
px038_grass_nat,11,0.8607206092141879,0.8725865682976668,0.035656092606414225,0.8008122172835448,0.9076015869255544,0.0012713569399571871
px027_grass_man,11,0.837857898842623,0.9007737258838144,0.17456547800328986,0.3272218488858097,0.9712666185999976,0.030473106110517078
px030_grass_man,11,0.8348088250781455,0.8486621447515784,0.052532607540713296,0.7064771314538034,0.8795910809918378,0.0027596748550266074
px051_shrubs_ne,11,0.823542540913073,0.8474071880286851,0.08190713694271091,0.6865607023734797,0.9289533449782242,0.006708779082151999
px020_trees_ne,11,0.8235028135350576,0.8455875062797229,0.07339076332554971,0.6420650604971825,0.899738669383721,0.005386204141506853
px055_shrubs_bd,11,0.8119343312202517,0.8854552298914219,0.1732645669193983,0.3717731761909677,0.954428659443946,0.030020610149766647
