RMSE,MAE,MAPE,R2,Pearson_r,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.1602425845904943,0.1286886349320411,29.66675405538809,0.2535556241213653,0.5451344067936776,g001_shrubs_nd,zero_shot,2012,2000,12,109,10,0.24
0.2793969699777455,0.219880142382213,38.32118628561233,-0.4488903443152157,0.3480091314150668,g001_shrubs_nd,zero_shot,2013,2001,12,111,7,0.02
0.1771332436257584,0.1611467357724905,86.6448897100177,0.0872382626249065,0.3573902258318442,g001_shrubs_nd,zero_shot,2014,2002,12,110,8,0.02
0.1616458255934615,0.1431651584804058,45.35978241328568,0.4007024100585554,0.7396421305801575,g001_shrubs_nd,zero_shot,2015,2003,12,111,10,0.02
0.2392334100050526,0.2236832497375352,199.7932006236647,-4.193330583503787,0.6199639148441166,g001_shrubs_nd,zero_shot,2016,2004,12,111,7,0.02
0.1618615545171761,0.1258228075775233,85.28327632690083,0.1568886857833146,0.5608242992338441,g001_shrubs_nd,zero_shot,2017,2005,12,110,11,0.02
0.2550413853961313,0.2234310555187138,112.65223751882874,-0.4629328097929805,-0.2254827214636302,g001_shrubs_nd,zero_shot,2018,2006,12,112,11,0.02
0.2243624045863479,0.1986638023094697,81.20577891182312,0.1068978096657963,0.3775833284232177,g001_shrubs_nd,zero_shot,2019,2007,12,113,11,0.02
0.2453042069473215,0.1851400380784815,108.1637494709266,-0.2340800982475535,0.6238423160063563,g001_shrubs_nd,zero_shot,2020,2008,12,115,11,0.02
0.1993484785271496,0.1894913177405084,51.98376718848626,0.2567743952138718,0.5598615127689184,g001_shrubs_nd,zero_shot,2021,2009,12,116,7,0.02
0.2408498619373291,0.1810663444921374,42.055361655638,0.0306647873667125,0.5496406689747001,g001_shrubs_nd,zero_shot,2022,2010,12,114,8,0.02
0.1938500778759095,0.1418367116712033,50.98440436747372,0.5206811026552656,0.8221189410636423,g002_grass_nat,zero_shot,2012,2000,12,145,16,0.02
0.1801506905126079,0.1301066347143867,86.4296362622022,0.2700805716697446,0.6169917215632656,g002_grass_nat,zero_shot,2013,2001,12,153,11,0.02
0.264471324561324,0.2250150733373382,35.69297631384147,0.1468391788376483,0.8014252008886034,g002_grass_nat,zero_shot,2014,2002,12,152,11,0.02
0.2046864435136952,0.171730201691389,67.90743734163637,0.2843295559976491,0.5649321910599141,g002_grass_nat,zero_shot,2015,2003,12,150,12,0.02
0.2695144776289385,0.2140261788780872,89.57729009621944,0.1649094346245463,0.5266819888663217,g002_grass_nat,zero_shot,2016,2004,12,148,13,0.02
0.2197331048612384,0.1870259311464097,45.76315326567392,-0.0985656912615091,0.4581820480479907,g002_grass_nat,zero_shot,2017,2005,12,150,9,0.02
0.1772668522399478,0.1303090285509824,64.25689437717789,0.2783111346670223,0.6797368667326553,g002_grass_nat,zero_shot,2018,2006,12,144,12,0.02
0.3360545396887409,0.2738686700661977,94.22929871804467,-0.0351560802853625,0.3687796495445524,g002_grass_nat,zero_shot,2019,2007,12,147,12,0.02
0.2031649479411285,0.1626798756993734,61.455721533226296,0.646265555406178,0.8108010719787723,g002_grass_nat,zero_shot,2020,2008,12,144,13,0.02
0.2516576521972836,0.1811265437863767,108.1647446361355,0.1790945310095067,0.6268373752279616,g002_grass_nat,zero_shot,2021,2009,12,146,16,0.02
0.2876788752381119,0.2531950346061161,102.08971689457351,-2.3171350668728223,-0.211119561309386,g002_grass_nat,zero_shot,2022,2010,12,150,14,0.02
0.9113836586409396,0.600708294659853,169.3069002851437,0.1779293352018726,0.6867891570933666,g003_grass_man,zero_shot,2012,2000,12,134,10,0.02
1.0185522960378548,0.7742592580616474,183.13613423798856,-0.4946735574110177,-0.1347981867078697,g003_grass_man,zero_shot,2013,2001,12,138,12,0.02
0.5904502052720599,0.5076007004827261,174.0897673557772,0.2827897061444913,0.7410617310382547,g003_grass_man,zero_shot,2014,2002,12,139,8,0.02
0.6846939266616829,0.526094465619988,115.32267081972958,-0.7276282523894388,0.193597773664697,g003_grass_man,zero_shot,2015,2003,12,133,9,0.02
0.6171796622775533,0.4524361751973629,93.31411042182744,0.4118117057211555,0.745593129667514,g003_grass_man,zero_shot,2016,2004,12,130,10,0.02
0.6603825167775131,0.6050085872411728,115.93065570162958,0.2122379196548178,0.5622853349530769,g003_grass_man,zero_shot,2017,2005,12,128,10,0.02
0.5155613933581026,0.4771901213874419,178.5745361849307,0.5790176856701253,0.7780799681483614,g003_grass_man,zero_shot,2018,2006,12,126,12,0.02
0.6444090287263486,0.5148016072132371,93.9781356818984,0.1738437562587544,0.4914264378134902,g003_grass_man,zero_shot,2019,2007,12,128,11,0.02
0.685382320262885,0.6052522584795952,102.98726189125831,-0.0187709477591349,0.2907591250344829,g003_grass_man,zero_shot,2020,2008,12,127,8,0.02
0.9556979831091492,0.8557059376367501,225.0981091308343,-0.5353199103736452,-0.2380856564011307,g003_grass_man,zero_shot,2021,2009,12,122,14,0.02
1.0994390682338826,0.8750942513346672,80.57794926946895,-0.0330453121852301,0.240526443481849,g003_grass_man,zero_shot,2022,2010,12,125,10,0.02
0.4416628820728119,0.3330449624096646,110.76306296016818,0.2638534315283687,0.5524997354198691,g004_grass_nat,zero_shot,2012,2000,12,173,17,0.02
0.3416564810598567,0.2378663591602269,32.521762611442526,0.4650376541859735,0.7914583165460536,g004_grass_nat,zero_shot,2013,2001,12,175,17,0.02
0.2817685062272688,0.2450217788036053,85.17448569973939,0.5045236226850023,0.7146561276408101,g004_grass_nat,zero_shot,2014,2002,12,177,13,0.02
0.4126653481025455,0.3587263767917951,114.98922225916066,0.0210562924647522,0.3594549028552656,g004_grass_nat,zero_shot,2015,2003,12,179,15,0.02
0.3628350706758759,0.2527561840765616,52.62912494701778,0.3983769021305385,0.6587039495540816,g004_grass_nat,zero_shot,2016,2004,12,177,17,0.02
0.3477218597829077,0.2666739911905357,65.23455403187477,0.528295042345609,0.7338502289509586,g004_grass_nat,zero_shot,2017,2005,12,179,14,0.02
0.3529158549149932,0.2524565217586664,33.07658571576916,0.5989161189966513,0.8559052470606899,g004_grass_nat,zero_shot,2018,2006,12,178,13,0.02
0.3460099031304244,0.3024052186654164,81.90251722026952,0.2015326115530573,0.5135788810326213,g004_grass_nat,zero_shot,2019,2007,12,176,13,0.02
0.4995810116943939,0.3628462422639131,90.38982710932314,0.4773168668771368,0.8694640937627705,g004_grass_nat,zero_shot,2020,2008,12,177,16,0.02
0.451201084915727,0.3309780144516159,84.23903504273082,0.3658620341061895,0.6152396539709188,g004_grass_nat,zero_shot,2021,2009,12,179,17,0.02
0.4004157024359486,0.3087884858250618,107.41832552408368,0.5003630006175249,0.7149038054480107,g004_grass_nat,zero_shot,2022,2010,12,184,16,0.02
0.230326703759507,0.1672893637105038,29.209631603875906,0.8648469171015105,0.9386890754456384,g005_grass_nat,zero_shot,2012,2000,12,200,19,0.02
0.2534753105517809,0.2020989534886259,31.48056331952936,0.7705820625945592,0.8958288827276174,g005_grass_nat,zero_shot,2013,2001,12,205,19,0.02
0.1931885269025748,0.1372101982124149,25.19851109406272,0.8742678965709841,0.9381858334409842,g005_grass_nat,zero_shot,2014,2002,12,208,16,0.02
0.334739308966509,0.2753408015705645,47.3385284510517,0.7113033062988163,0.859794786591603,g005_grass_nat,zero_shot,2015,2003,12,208,16,0.02
0.439120116895323,0.3765481300652027,74.81043865102765,0.5732747185031926,0.7609563708694519,g005_grass_nat,zero_shot,2016,2004,12,210,16,0.02
0.3047935780067469,0.2251476133242249,59.50889912484415,0.8054468517737423,0.9069981439755568,g005_grass_nat,zero_shot,2017,2005,12,210,16,0.02
0.924507881561242,0.6486960863694549,503.4407267234553,-1.2928534496194493,0.3032633751315886,g005_grass_nat,zero_shot,2018,2006,12,207,16,0.02
0.2347184195065134,0.1838626130484044,54.55098259119915,-0.5811369175441381,0.3857621485965227,g005_grass_nat,zero_shot,2019,2007,12,206,16,0.02
0.2442675803396895,0.1885150210822329,35.88425578741241,0.3958071895801289,0.8023725520926027,g005_grass_nat,zero_shot,2020,2008,12,205,17,0.02
0.285536029628718,0.2235084320935938,31.155911909741725,0.664941811670857,0.9032285996861592,g005_grass_nat,zero_shot,2021,2009,12,206,18,0.02
0.2328002338244527,0.202702683122719,42.17824642335821,0.808008962114331,0.9525506403520267,g005_grass_nat,zero_shot,2022,2010,12,204,17,0.02
0.969257188978978,0.6587371432355472,71.19336387255338,0.5280550147641649,0.852462786946329,g006_trees_ne,zero_shot,2012,2000,12,141,14,0.02
0.4458079741156472,0.3198362439870834,15.879115974254631,0.50468596878397,0.8034276803644596,g006_trees_ne,zero_shot,2013,2001,12,142,16,0.02
1.039369094845788,0.7310581132769585,118.74765021661048,0.2507236240584228,0.52183234439034,g006_trees_ne,zero_shot,2014,2002,12,147,13,0.02
0.8131889132779259,0.6954260137346056,88.71705467253761,0.0040279589541757,0.5051157073138507,g006_trees_ne,zero_shot,2015,2003,12,151,9,0.02
0.5735496901600197,0.4771466595785958,24.612308798342355,0.7337132442471402,0.8822768782776873,g006_trees_ne,zero_shot,2016,2004,12,151,14,0.02
1.0855496899229735,0.7707141774396101,65.7434821971972,0.4840770813787266,0.7035926597646763,g006_trees_ne,zero_shot,2017,2005,12,154,12,0.02
1.302328930084398,0.9252136747042338,38.02290396991441,0.2792091981179972,0.5756776170370765,g006_trees_ne,zero_shot,2018,2006,12,151,12,0.02
1.2068905589513492,0.9276037414868672,55.65372154008264,0.5394096979761668,0.7969332884605164,g006_trees_ne,zero_shot,2019,2007,12,150,12,0.02
1.169371904109112,0.8293776299272265,53.08401612385503,-2.181581305594787,0.283448981817349,g006_trees_ne,zero_shot,2020,2008,12,150,14,0.02
