group,mean_R2,median_R2,avg_variance,median_variance
Full global pool (n=68) — PRIMARY RESULT,0.3476349362598329,0.3930333152825348,0.10619078894195229,0.0298132869211599
"Top-20 by mean R2 — EXPLORATORY, performance-selected",0.6898646587909247,0.7098809361720965,0.0216927675459207,0.0163787990393747
