site,count,mean,median,std,min,max,var
g033_grass_nat,11,0.8500240748894824,0.8734916973844379,0.0788058847016398,0.6643489891332277,0.9491231064414216,0.0062103674636081
g032_shrubs_bd,11,0.7553265462955903,0.7355063828732757,0.0746208581992276,0.6770324484339052,0.9128081456681828,0.0055682724783892
g025_grass_nat,11,0.7509952659148958,0.785319310806166,0.1284740537345093,0.5340070485089179,0.8899510786169118,0.0165055824829775
g065_shrubs_bd,11,0.7508607279425257,0.7927738700128022,0.1227963677011116,0.537700733818804,0.8892263373209376,0.0150789479205866
g031_grass_nat,11,0.7401802302246163,0.7234564363031484,0.1274834164255876,0.5322361358092236,0.8997502421065664,0.0162520214635397
g045_grass_nat,11,0.7228913535304723,0.729047949729342,0.1139748571552303,0.4754726257873337,0.8857743251515405,0.0129902680635551
g022_grass_man,11,0.7147674697332973,0.8004098906436374,0.2133012780924983,0.148639863316411,0.8853452067385084,0.0454974352358933
g027_grass_nat,11,0.7001383606808504,0.7833617094787744,0.1609673615500832,0.3813134021434893,0.8493966455839573,0.0259104914843952
g030_grass_nat,11,0.6985729708922156,0.7242436261975036,0.094437857988781,0.5351652614011434,0.8265532661360202,0.0089185090215091
g011_shrubs_ne,11,0.6815191447365415,0.6902414711340976,0.1583520756289659,0.4278624409228084,0.8926300302154193,0.0250753798560017
g035_grass_man,11,0.6767138546406246,0.6718598019366708,0.1247007748334653,0.460899106937842,0.8909508848676518,0.0155502832440666
g009_grass_nat,11,0.6730421992545119,0.6963053924467473,0.1446771627534347,0.3818461259463509,0.8313340046167728,0.0209314814223838
g016_grass_nat,11,0.667470851150692,0.6740495926600258,0.1306421674738466,0.4426088570419936,0.8424482635513443,0.0170673759222645
g019_trees_bd,11,0.6640607593286337,0.7251915066494478,0.2746149729148817,0.0262254515217668,0.9315305322975628,0.0754133833490412
g021_trees_bd,11,0.64427526822328,0.6815616708873143,0.1665101348042687,0.3914914370755628,0.9428563585804318,0.0277256249925357
g014_trees_ne,11,0.6400979338608807,0.6923037028680186,0.1499782153390555,0.3411500476453393,0.8237576388124052,0.0224934650762881
g048_shrubs_bd,11,0.632887403451545,0.6212640879594067,0.1091407368025936,0.4575951536258372,0.7857300708868771,0.011911700429813
g028_shrubs_ne,11,0.6296539913276203,0.6306017458321311,0.0848327747171739,0.4688016302880475,0.7635880347311267,0.0071965996662147
g063_shrubs_bd,11,0.6093898951137088,0.6290965680620851,0.1224657150880251,0.4050405353367416,0.7832328121731436,0.0149978513720213
g008_grass_nat,11,0.5944246373292592,0.6955530825588931,0.2063017596617059,0.1986628398699146,0.8591315419715753,0.0425604160395162
