composite_index,n_pixels,R2_mean,R2_median,R2_std,Pearson_r_mean,Pearson_r_median
1,32,-0.04269209319412925,-0.033909170675739286,0.4589085906508626,0.3723436978728751,0.42475282906253664
2,33,-0.037468148898229234,0.004112786712542893,0.3490527180815845,0.36635113657628654,0.4196501061374103
3,36,-0.12524283408381257,-0.018783134102467625,0.4822321463025611,0.2668151376218717,0.37396969200002184
4,34,-0.26907973105249916,-0.08947423272190469,0.9470868019308507,0.23101920408328672,0.30594479176599493
5,36,-0.19858419169403912,-0.08166078344100602,0.6045433253716422,0.21571284793972514,0.2605287514418638
6,39,-0.22715761957675062,-0.1565328486101618,0.7065377944060371,0.2541348577446386,0.2546782880366663
7,34,-0.12287351574359949,-0.19506328201626266,0.4085712872838365,0.2607668571485218,0.23115128476077612
8,37,-0.2795896113506907,-0.2860512421486081,0.39121265766438806,0.11664570488634506,0.2119791501175101
9,38,-0.3300385855256298,-0.17782080980644765,0.5711923255699188,0.17254577637190072,0.14279470859915752
10,39,-0.2063410982214427,-0.17078330745920778,0.3415670031622559,0.23947668252529775,0.3187693421021429
11,39,-0.5105699854176183,-0.17353455002925688,1.4020650469234524,0.20434009877716244,0.24870331613074953
12,43,-0.3753840523215341,-0.29456254912318425,0.568025749393133,0.08328336875611167,0.06458403534237638
13,44,-0.6922283874638173,-0.23256470410191898,1.6171725892274007,0.14434469885127968,0.1610297100022712
14,48,-0.8359506865750314,-0.29005029456354803,3.422529174811623,0.2162433148634936,0.18096220394091594
15,46,-0.6655044975791781,-0.1839655668414828,2.7900539650776914,0.1861784353030855,0.19498066894494553
16,49,-0.6159424999819398,-0.2179788498974633,2.218785142051963,0.15346785423836876,0.18652997337268304
17,53,-0.49458830336284393,-0.22206162633604798,0.8133045508329949,0.17606761858107448,0.22179528077921146
18,54,-0.3609794376696936,-0.1661442943662108,0.6524111635248202,0.18837919544390888,0.1922698190833411
19,52,-0.32549620513388117,-0.23041380350237617,0.6257070693649692,0.20540736541720384,0.23393125775952145
20,53,-0.3073533164455563,-0.07158548461615122,1.199995705166897,0.2913690476688858,0.36234776033846156
21,56,-0.9270896660877553,-0.11556440478967578,5.998300774530327,0.3026902905532217,0.31702109035772386
22,54,-0.2784172842100912,-0.1353768517739271,0.5245726365991326,0.21053187136322682,0.16108763054767677
23,56,-0.3028494593149988,-0.1383721359012171,0.8002460838275599,0.1791515079571596,0.1401578258399362
24,55,-0.0916169591585684,-0.01083279597235598,0.3661051513084388,0.21736818003696512,0.24731854940115414
25,56,-0.22406709301173194,-0.12226366300088276,0.4938248449874262,0.15574595703543895,0.14371427145934562
26,53,-0.1689933657990152,-0.12907490877253736,0.3398639486613013,0.15716658678264414,0.18574237835031804
27,57,-0.28842066232788877,-0.15499086565418962,0.5782563720001292,0.18244566904251736,0.2073618843212054
28,53,-0.5128392824726196,-0.15416255041840587,1.611725728145781,0.22393636915613868,0.2439136082806844
29,55,-0.47556277966389426,-0.18913045732950695,1.3762767204210138,0.16041840362287296,0.19880221736768236
30,56,-0.3980963788409439,-0.1730665839501604,1.0059366071401388,0.21626344744030884,0.31204321141762004
31,56,-0.3847580188949355,-0.24628991448981796,0.7755476734926737,0.15872088823414376,0.14527874222425888
32,56,-0.6199024351056633,-0.324556241894156,1.0584647057694894,0.0391835504337266,0.013293199192661719
33,58,-0.6771182633702101,-0.4884163770913713,1.089765571551887,0.09764825236185803,0.06685567632834843
34,59,-0.7955308958230646,-0.3095019761196336,2.522437904177369,0.17072392714746557,0.1897317408709197
35,54,-0.7308652974759237,-0.41384643507396746,0.9847508952581395,0.07045506502481771,0.08620960086531601
36,49,-0.7531770073060192,-0.3700699938928027,1.4383814916851627,-0.0034721944608464084,-0.018676655168306456
37,44,-1.0648249557094553,-0.26307345851616837,2.9266753827741327,0.16242288895159807,0.18487954800845335
38,43,-0.5828396638143915,-0.27868437404190827,1.1153342775377246,0.004922868510763216,-0.02976618675644559
39,40,-0.3593854466974816,-0.21809405602104726,0.6065333816255689,0.10667859484003273,0.14016550965838118
40,39,-0.39354403307466584,-0.3121003252629597,0.5065596140304529,0.05832682758249298,0.0721440958413026
41,34,-0.4233865837701024,-0.2847155802734923,0.597708394902264,0.11419856417118861,0.10520339661718173
42,36,-0.5095213085315143,-0.2466094898030189,1.1500330652039412,0.0931531491028083,0.07571923218509143
43,34,-0.5695382629274822,-0.18283172616558596,1.158069536655268,0.14543794509149205,0.11854071943064988
44,34,-0.4389942175112996,-0.11720248976718084,0.8463897461722043,0.18746429453396635,0.12328872617579548
45,33,-0.4237090932786423,-0.2554549616635422,0.7922656236312623,0.17027415752796082,0.1802008479317041
46,34,-0.4016583180706831,-0.3017913511527084,0.5089990310725553,0.18871012549139043,0.2748034859723546
