pool,mean_of_position_mean_R2,mean_of_position_median_R2,mean_of_position_std_R2,min_position_mean_R2,max_position_mean_R2,mean_of_position_mean_Pearson_r,mean_of_position_median_Pearson_r
CONUS (70 pixels),-0.34421391360090753,-0.12805237194437433,1.4117497784163038,-5.945661983489226,0.09909695943780089,0.2879010078102519,0.3063924316817439
Global (68 pixels),-0.43086460695875095,-0.200541366412187,1.124869148240254,-1.0648244613402942,-0.037468261735594977,0.1764230529711974,0.19296493870848372
