composite_index,n_pooled,R2
1,770,0.7581225725157518
2,770,0.7464755694187686
3,770,0.8763570687315929
4,770,0.87340603875842
5,770,0.8655392041012147
6,770,0.8801784912924019
7,700,0.8780558614043927
8,770,0.8676563843867774
9,770,0.8704349103483047
10,770,0.8464197170497059
11,770,0.827074683926773
12,770,0.8196174892191294
13,770,0.8409494688002184
14,770,0.8779175241873999
15,770,0.841254788028346
16,770,0.8901095445324635
17,770,0.8902015686078677
18,770,0.8949502479097764
19,770,0.9105801094276755
20,770,0.9171516087951925
21,770,0.9169067902851707
22,770,0.9307270009260724
23,770,0.9347523837353144
24,770,0.9372416905588905
25,770,0.9290189194097918
26,770,0.9386692652708147
27,770,0.9406015952675962
28,770,0.9468244968974623
29,770,0.9326031822965543
30,770,0.9420613277338719
31,770,0.9304515806545757
32,770,0.9258248172834324
33,770,0.9267596025210504
34,770,0.9156584663298306
35,770,0.8939551019805672
36,770,0.8971401437932689
37,700,0.8659451366714599
38,770,0.856127427465224
39,770,0.8090011991300035
40,770,0.8620589679488158
41,770,0.8428535150691571
42,770,0.7692503676153069
43,770,0.6825408000318979
44,770,0.6285378036611352
45,770,0.554325392404176
46,770,0.5278128284601775
