pool,n_pixels,n_folds,mean_of_pixel_mean_R2,mean_of_pixel_median_R2,average_variance,median_variance,average_std
CONUS (70 pixels),70,770,0.7491955349813477,0.8047265769269166,0.17029741148262997,0.005185171998715354,0.19483389745786164
Global (68 pixels),68,748,0.347634936259833,0.3998691855186984,0.10619078894195233,0.02981328692115995,0.2519617608279418
