pixel_id,lat,lon,region,dominant_pft,pft_purity,pft_entropy,TREES-NE,TREES-BD,TREES-BE,TREES-ND,SHRUBS-NE,SHRUBS-BE,SHRUBS-BD,SHRUBS-ND,GRASS-NAT,GRASS-MAN
g000_grass_nat,75.99861111111,-115.99861111110599,Other,GRASS-NAT,1.0,2.486791900433569e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
g001_shrubs_nd,75.99861111111,100.00138888891126,Other,SHRUBS-ND,0.6,0.6730116672303046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0
g002_grass_nat,69.99861111110951,158.00138888891593,Siberia / Boreal Eurasia,GRASS-NAT,0.6,0.6730116672303046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0
g003_grass_man,68.99861111110945,18.001388888904728,Other,GRASS-MAN,1.0,2.486791900433569e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
g004_grass_nat,67.99861111110937,54.0013888889076,Siberia / Boreal Eurasia,GRASS-NAT,0.5348837209302325,0.690711454578558,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,46.0,0.0
g005_grass_nat,67.99861111110937,122.00138888891303,Siberia / Boreal Eurasia,GRASS-NAT,0.55,0.6881388139346366,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,55.0,0.0
g006_trees_ne,65.9986111111092,86.00138888891018,Siberia / Boreal Eurasia,TREES-NE,0.51,0.6929471674455263,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
g007_shrubs_ne,63.99861111110906,-17.998611111098143,Other,SHRUBS-NE,0.6,0.6730116672303046,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,40.0,0.0
g008_grass_nat,63.99861111110906,143.00138888891473,Siberia / Boreal Eurasia,GRASS-NAT,0.78,0.5269079616524284,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,78.0,0.0
g009_grass_nat,62.99861111110897,-119.99861111110631,Canada,GRASS-NAT,0.7407407407407408,0.5722806990228952,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
g010_shrubs_nd,62.99861111110897,171.00138888891695,Siberia / Boreal Eurasia,SHRUBS-ND,0.7594936708860759,0.5516628610742923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,19.0,0.0
g011_shrubs_ne,61.998611111108886,-98.99861111110464,Canada,SHRUBS-NE,0.6,0.9376369624658663,15.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,25.0,0.0
g012_trees_ne,59.998611111108715,6.001388888903762,Western Europe,TREES-NE,1.0,2.486791900433569e-10,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g013_grass_nat,59.998611111108715,36.00138888890618,Eastern Europe,GRASS-NAT,0.51,0.6929471674455263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,49.0
g014_trees_ne,58.99861111110866,64.0013888889084,Siberia / Boreal Eurasia,TREES-NE,0.75,0.5623351448398565,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
g015_trees_nd,58.99861111110866,107.00138888891183,Siberia / Boreal Eurasia,TREES-ND,0.67,0.6341786359332537,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,33.0,0.0
g016_grass_nat,57.99861111110857,78.0013888889095,Siberia / Boreal Eurasia,GRASS-NAT,0.61,0.6687480870728575,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0
g017_shrubs_nd,57.99861111110857,160.0013888889161,Siberia / Boreal Eurasia,SHRUBS-ND,0.6,0.9376369624658663,0.0,0.0,0.0,15.0,0.0,0.0,0.0,60.0,25.0,0.0
g018_trees_bd,56.99861111110849,132.00138888891382,Siberia / Boreal Eurasia,TREES-BD,0.75,0.5623351448398565,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
g019_trees_bd,55.9986111111084,-113.99861111110583,Canada,TREES-BD,0.87,0.3863867065096519,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
g020_trees_ne,53.99861111110823,-99.99861111110471,Canada,TREES-NE,0.87,0.3863867065096519,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
g021_trees_bd,53.99861111110823,44.0013888889068,Other,TREES-BD,0.74,0.5730569173524686,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
g022_grass_man,53.99861111110823,91.00138888891058,Other,GRASS-MAN,0.75,0.5623351448398565,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
g023_grass_nat,51.99861111110809,-73.99861111110263,Canada,GRASS-NAT,0.82,0.5341832642552571,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,82.0,0.0
g024_trees_ne,51.99861111110809,7.001388888903847,Western Europe,TREES-NE,0.78,0.5269079616524285,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
g025_grass_nat,50.998611111108005,-122.99861111110656,Canada,GRASS-NAT,0.56,0.9682499185084159,15.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,56.0,0.0
g026_grass_nat,50.998611111108005,107.00138888891183,East Asia,GRASS-NAT,0.84,0.4396698796223911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,84.0,0.0
g027_grass_nat,49.99861111110792,143.00138888891473,East Asia,GRASS-NAT,0.84,0.4396698796223911,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,84.0,0.0
g028_shrubs_ne,47.99861111110778,-52.998611111100956,Canada,SHRUBS-NE,0.9,0.3250829736124964,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,10.0,0.0
g029_trees_bd,47.99861111110778,-3.998611111097034,Western Europe,TREES-BD,0.51,0.6929471674455263,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0
g030_grass_nat,43.99861111110744,12.001388888904245,Western Europe,GRASS-NAT,0.84,0.4396698796223911,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0
g031_grass_nat,43.99861111110744,127.00138888891343,East Asia,GRASS-NAT,0.67,0.6341786359332537,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0
g032_shrubs_bd,40.99861111110721,26.001388888905353,Mediterranean,SHRUBS-BD,0.53,0.9856724529376397,0.0,15.0,0.0,0.0,0.0,0.0,53.0,0.0,32.0,0.0
g033_grass_nat,40.99861111110721,112.00138888891223,East Asia,GRASS-NAT,0.88,0.36692499149375774,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0
g034_grass_man,31.998611111106484,131.00138888891377,East Asia,GRASS-MAN,0.49,0.9712004001421792,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,49.0
g035_grass_man,30.998611111106413,120.00138888891286,East Asia,GRASS-MAN,0.72,0.5929533176685227,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
g036_trees_ne,25.998611111106,106.00138888891178,East Asia,TREES-NE,0.5,0.6931471807809935,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
g037_trees_be,22.99861111110576,-97.99861111110455,Other,TREES-BE,0.76,0.551079928308021,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
g038_grass_nat,22.99861111110576,91.00138888891058,South Asia,GRASS-NAT,0.72,0.5929533176685227,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0
g039_trees_be,20.998611111105603,100.00138888891126,East Asia,TREES-BE,0.78,0.5269079616524285,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0
g040_trees_be,18.998611111105447,-88.99861111110383,Other,TREES-BE,1.0,2.486791900433569e-10,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g041_grass_man,13.998611111105049,108.00138888891195,Southeast Asia,GRASS-MAN,0.88,0.36692499149375774,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
g042_grass_nat,12.998611111104964,14.001388888904415,Other,GRASS-NAT,0.84,0.4396698796223911,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0
g043_grass_man,11.998611111104893,-84.99861111110351,Other,GRASS-MAN,0.49,1.0416331096723945,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,22.0,49.0
g044_grass_man,10.998611111104807,5.001388888903676,Other,GRASS-MAN,0.88,0.36692499149375774,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
g045_grass_nat,10.998611111104807,22.00138888890504,East Africa / Sahel,GRASS-NAT,0.51,0.9947690049572758,0.0,15.0,0.0,0.0,0.0,0.0,34.0,0.0,51.0,0.0
g046_grass_man,10.998611111104807,125.00138888891325,Southeast Asia,GRASS-MAN,0.75,0.5623351448398565,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
g047_trees_bd,9.998611111104722,-9.998611111097517,Other,TREES-BD,0.49,0.7773233504218955,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0
g048_shrubs_bd,9.998611111104722,32.001388888905836,East Africa / Sahel,SHRUBS-BD,0.68,0.8480511480068675,0.0,15.0,0.0,0.0,0.0,0.0,68.0,0.0,17.0,0.0
g049_trees_be,8.998611111104651,-67.99861111110215,Amazon / Tropical S. America,TREES-BE,0.56,0.685929800473421,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0
g050_grass_nat,7.998611111104566,80.00138888890967,South Asia,GRASS-NAT,0.69,0.8338149722857029,15.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,69.0,0.0
g051_shrubs_bd,5.99861111110441,40.00138888890649,East Africa / Sahel,SHRUBS-BD,1.0,2.486791900433569e-10,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
g052_grass_nat,4.998611111104324,-74.99861111110272,Amazon / Tropical S. America,GRASS-NAT,0.58,0.9540297560780849,0.0,0.0,15.0,0.0,0.0,27.0,0.0,0.0,58.0,0.0
