pixel_id,lat,lon,region,dominant_pft,pft_purity,pft_entropy,TREES-NE,TREES-BD,TREES-BE,TREES-ND,SHRUBS-NE,SHRUBS-BE,SHRUBS-BD,SHRUBS-ND,GRASS-NAT,GRASS-MAN
g035_trees_be,4.998611111104324,-1.9986111110968636,Other,TREES-BE,0.51,0.6929471674455263,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
g036_trees_bd,0.9986111111040117,17.001388888904643,Other,TREES-BD,1.0,2.486791900433569e-10,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g037_shrubs_be,-5.0013888888964715,-40.99861111109999,Other,SHRUBS-BE,1.0,2.486791900433569e-10,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
g038_grass_man,-9.001388888896798,31.00138888890575,Central/Southern Africa,GRASS-MAN,0.49,1.04399730759454,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,49.0
g039_shrubs_be,-13.001388888897111,-58.99861111110144,Amazon / Tropical S. America,SHRUBS-BE,0.74,0.5730569173524686,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,26.0,0.0
g040_grass_nat,-14.001388888897196,-50.998611111100786,Amazon / Tropical S. America,GRASS-NAT,0.73,0.6545528943149338,0.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,73.0,0.0
g041_shrubs_bd,-20.001388888897665,31.00138888890575,Central/Southern Africa,SHRUBS-BD,0.51,0.6929471674455263,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,49.0,0.0
g042_grass_nat,-24.001388888897992,148.00138888891513,Australia,GRASS-NAT,0.67,0.8615516846029199,0.0,15.0,0.0,0.0,0.0,0.0,18.0,0.0,67.0,0.0
g043_grass_nat,-38.001388888899115,-72.99861111110255,Southern S. America,GRASS-NAT,0.44,0.9893672810392419,0.0,0.0,13.0,0.0,0.0,43.0,0.0,0.0,44.0,0.0
g044_trees_nd,-41.00138888889935,175.0013888889173,Other,TREES-ND,0.9,0.3250829736124964,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,10.0,0.0
