pixel_id,row,col,lat,lon,region,dominant_pft,pft_purity,pft_entropy,mean_lai,amplitude,is_forced_anchor,frac_TREES_NE,frac_TREES_BD,frac_TREES_BE,frac_TREES_ND,frac_SHRUBS_NE,frac_SHRUBS_BE,frac_SHRUBS_BD,frac_SHRUBS_ND,frac_GRASS_NAT,frac_GRASS_MAN
evergreen,453,1016,30.525,-82.43333330000002,Southeast,TREES_NE,0.949999988079071,0.19851526618003845,3.770237922668457,2.389446258544922,True,0.949999988079071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000074505806,0.0
low_amplitude,285,173,37.525000000000006,-117.55833330000002,California,GRASS_NAT,0.8399999737739563,0.4396699070930481,0.3085876703262329,0.17724105715751648,True,0.1599999964237213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8399999737739563,0.0
high_amplitude_deciduous,316,967,36.233333333333334,-84.47499996666667,Southeast,TREES_BD,0.8899999856948853,0.34651532769203186,2.629809856414795,4.5430006980896,True,0.0,0.8899999856948853,0.0,0.0,0.0,0.0,0.0,0.0,0.10999999940395355,0.0
mixed_forest_grass,217,855,40.35833333333334,-89.14166663333334,Midwest,TREES_BD,0.5,0.6931471824645996,1.0217342376708984,2.970787286758423,True,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
px004_trees_ne,10,78,48.983333333333334,-121.51666663333334,Pacific Northwest,TREES_NE,1.0,2.486791883526962e-10,1.1639050245285034,2.052614688873291,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
px005_trees_bd,8,681,49.06666666666667,-96.39166663333334,Great Plains,TREES_BD,1.0,2.486791883526962e-10,0.9605302810668945,2.57259464263916,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
px006_trees_nd,20,713,48.56666666666667,-95.05833330000002,Great Plains,TREES_ND,1.0,2.486791883526962e-10,1.5643877983093262,2.8260226249694824,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
px007_shrubs_ne,375,606,33.775000000000006,-99.51666663333334,Great Plains,SHRUBS_NE,1.0,2.486791883526962e-10,0.5828433632850647,0.4848223328590393,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
px008_shrubs_bd,464,595,30.066666666666666,-99.97499996666667,Great Plains,SHRUBS_BD,0.9700000286102295,0.1347421407699585,0.6287510991096497,0.400793194770813,True,0.0,0.0,0.0,0.0,0.0,0.0,0.9700000286102295,0.0,0.029999999329447746,0.0
px009_shrubs_nd,500,636,28.566666666666666,-98.26666663333334,Other,SHRUBS_ND,1.0,2.486791883526962e-10,1.0013527870178223,0.9013209939002991,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
px010_grass_nat,1,710,49.358333333333334,-95.18333330000002,Great Plains,GRASS_NAT,1.0,2.486791883526962e-10,1.4390331506729126,2.8876280784606934,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
