RMSE,MAE,MAPE,R2,Pearson_r,ACC,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.1293752812232444,0.1010547409886899,15.630035719511056,0.3717731761909677,0.8241644152794672,,px055_shrubs_bd,zero_shot,2012,2000,12,543,46,0.0
0.0869172894422494,0.0708413214787193,11.78908264355863,0.6782933681337694,0.8801982194984695,0.8297754028099078,px055_shrubs_bd,zero_shot,2013,2001,12,549,46,0.0
0.1079128592349854,0.0850568530352219,16.78710877713622,0.7342633603100911,0.9104243346016776,0.5684737183996388,px055_shrubs_bd,zero_shot,2014,2002,12,551,46,0.0
0.0908443471631188,0.074977559239968,10.658099368839006,0.9206892187696216,0.985510405886586,0.8283924933838873,px055_shrubs_bd,zero_shot,2015,2003,12,552,46,0.0
0.1050256231267782,0.0852270517084333,10.234638775823544,0.8854552298914219,0.9707011842958688,0.7459620204597776,px055_shrubs_bd,zero_shot,2016,2004,12,552,45,0.0
0.0845409181990026,0.0746845554398453,12.883786091840149,0.8992339302094267,0.9768885719315972,0.2870483066266034,px055_shrubs_bd,zero_shot,2017,2005,12,551,46,0.0
0.0525686905940585,0.043521053765131,7.499668430622377,0.944882205760945,0.9739040516637176,0.6241179434419168,px055_shrubs_bd,zero_shot,2018,2006,12,551,46,0.0
0.0679159328188366,0.0508685818184976,10.677177886574956,0.9489570547524144,0.9855640201108878,0.8348145478059236,px055_shrubs_bd,zero_shot,2019,2007,12,551,46,0.0
0.0896266843238405,0.0709626208180966,10.856676761636384,0.8123864920157582,0.9352934623292412,0.5450394405636505,px055_shrubs_bd,zero_shot,2020,2008,12,551,46,0.0
0.0656682009083301,0.0543341863414515,9.838002866377236,0.954428659443946,0.98532175165537,0.895195738805416,px055_shrubs_bd,zero_shot,2021,2009,12,551,46,0.0
0.0590235404003246,0.0492147935761345,9.819422833642667,0.7809149479444065,0.9615654770852858,0.9358659659271928,px055_shrubs_bd,zero_shot,2022,2010,12,551,45,0.0
