model,low_amplitude,high_amplitude_deciduous,evergreen,mean_rank,std_rank
RF,2.0,2.0,2.0,2.0,0.0
SVM,1.0,5.0,1.0,2.3333333333333335,2.3094010767585034
RNN,4.0,3.0,5.0,4.0,1.0
GRU,9.0,1.0,3.0,4.333333333333333,4.163331998932266
zero_shot,3.0,8.0,4.0,5.0,2.6457513110645907
BiLSTM,5.0,4.0,7.0,5.333333333333333,1.5275252316519465
LSTM,6.0,6.0,6.0,6.0,0.0
AELSTM,7.0,9.0,8.0,8.0,1.0
CNN,8.0,7.0,9.0,8.0,1.0
finetuned_lora,10.0,10.0,10.0,10.0,0.0
