site,date,ground_truth,zero_shot,finetuned_lora
evergreen,2022-02-02,2.8718317,2.269442,2.265625
evergreen,2022-02-10,3.0547416,2.4057229,2.328125
evergreen,2022-02-18,3.261459,2.6048217,2.3125
evergreen,2022-02-26,3.3663418,2.794773,2.359375
evergreen,2022-03-06,3.5689816,3.0226703,2.453125
evergreen,2022-03-14,3.488179,3.3074613,2.5625
evergreen,2022-03-22,3.9614592,3.5555387,2.78125
evergreen,2022-03-30,4.350913,3.8209946,3.046875
evergreen,2022-04-07,4.495688,4.1167674,3.515625
evergreen,2022-04-15,5.1318893,4.307948,4.0
evergreen,2022-04-23,5.096085,4.514946,4.46875
evergreen,2022-05-01,5.2339582,4.6073585,4.8125
evergreen,2022-05-09,4.562436,4.9111547,5.09375
evergreen,2022-05-17,5.2920938,5.0042624,5.125
evergreen,2022-05-25,5.356637,5.069297,5.09375
evergreen,2022-06-02,5.385153,5.053238,5.15625
evergreen,2022-06-10,5.1398067,5.000719,5.125
evergreen,2022-06-18,5.301092,4.941205,5.0625
evergreen,2022-06-26,4.6192136,4.8471394,5.0625
evergreen,2022-07-04,4.6473455,4.7648973,4.84375
evergreen,2022-07-12,5.1117153,4.7077203,4.75
evergreen,2022-07-20,4.9941897,4.648394,4.46875
evergreen,2022-07-28,4.956143,4.545618,4.4375
evergreen,2022-08-05,4.677409,4.387046,4.15625
evergreen,2022-08-13,4.674733,4.195842,4.0
evergreen,2022-08-21,4.716131,3.9889522,3.921875
evergreen,2022-08-29,3.2976198,3.8464224,3.890625
evergreen,2022-09-06,4.177409,3.698726,3.796875
evergreen,2022-09-14,3.7850559,3.630422,3.8125
evergreen,2022-09-22,3.470681,3.566423,3.703125
evergreen,2022-09-30,2.3333714,3.4787579,3.609375
evergreen,2022-10-08,3.4500823,3.3384314,3.484375
evergreen,2022-10-24,3.523983,3.104999,3.234375
evergreen,2022-11-01,3.423983,2.8992667,3.046875
evergreen,2022-11-09,3.085539,2.7000034,2.765625
evergreen,2022-11-17,2.8372824,2.5464983,2.4375
evergreen,2022-11-25,1.8185023,2.4073336,2.40625
evergreen,2022-12-03,2.230971,2.2991147,2.28125
evergreen,2022-12-11,2.433214,2.240501,2.15625
evergreen,2022-12-19,1.1136558,2.2095623,2.078125
evergreen,2022-12-27,1.76784,2.1739135,2.03125
