site,mode,model,RMSE,MAE,MAPE,R2,Pearson_r
low_amplitude,AELSTM-project (vs. raw obs.),AELSTM,0.0682659543083499,0.04865221424438469,23.15429367955702,0.3648196232241565,0.748469280107476
low_amplitude,AELSTM-project (vs. raw obs.),BiLSTM,0.0674278416300866,0.04839991762433902,22.798082392872338,0.3803203172331794,0.7499036870676254
low_amplitude,AELSTM-project (vs. raw obs.),LSTM,0.06733237522653696,0.04631218799534909,21.81116448721361,0.38207379799023733,0.7557326918867313
low_amplitude,AELSTM-project (vs. raw obs.),GRU,0.07182426568484009,0.05241970675034774,25.357235325293757,0.2968772820944977,0.7690328789682764
low_amplitude,AELSTM-project (vs. raw obs.),RNN,0.06715115471555838,0.04794648517962422,23.228304975928975,0.3853955345903801,0.7610653627473861
low_amplitude,AELSTM-project (vs. raw obs.),CNN,0.07030739035525754,0.05009269057210793,23.717403877207033,0.3262625358479764,0.7542434802255028
low_amplitude,AELSTM-project (vs. raw obs.),RF,0.06514509065219182,0.04616713858484368,21.684926953664597,0.4215682455406119,0.7197717509832838
low_amplitude,AELSTM-project (vs. raw obs.),SVM,0.06267030441197848,0.04642797976088947,21.10742288783142,0.46468138019336735,0.718749904286346
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),AELSTM,0.5131185490276505,0.3333454675486489,17.81498142948668,0.9341646672364493,0.9668322903235839
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),BiLSTM,0.4152603391336414,0.28625352127227566,13.733548981758817,0.9568814135871461,0.9794111563358704
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),LSTM,0.4841476706470805,0.3293260085174674,18.85167700627187,0.9413889773009724,0.9710134503651207
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),GRU,0.393047223676,0.2864433105708777,14.437073876388338,0.9613710350157589,0.9819227885206467
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),RNN,0.42606404567925044,0.2955901090790109,14.393264756515478,0.9546086206985199,0.9791241216637163
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),CNN,0.487907218404951,0.34388214746694945,18.765992490441036,0.9404751797263274,0.9704944319630406
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),RF,0.4141766503085155,0.28585431158123037,14.470568461025596,0.9571061697454495,0.9792283392968697
high_amplitude_deciduous,AELSTM-project (vs. raw obs.),SVM,0.44359915509835596,0.3355054587665454,20.723269161085884,0.9507954769312121,0.9770896915210189
evergreen,AELSTM-project (vs. raw obs.),AELSTM,0.6682988872964194,0.526097746510775,18.1168174968132,0.681397819345353,0.8458463216028607
evergreen,AELSTM-project (vs. raw obs.),BiLSTM,0.6554347305868163,0.5013293336334594,17.380808702166885,0.693545383135182,0.847881099419966
evergreen,AELSTM-project (vs. raw obs.),LSTM,0.6508379467965504,0.49819700212056633,16.84657784988265,0.6978288477947785,0.8461215711835078
evergreen,AELSTM-project (vs. raw obs.),GRU,0.5790485024501556,0.42832473351592976,14.716600725659305,0.7608132303590853,0.875504640863551
evergreen,AELSTM-project (vs. raw obs.),RNN,0.6015063897686068,0.4440567807158129,15.027151426682408,0.7419001463505357,0.8668623512819991
evergreen,AELSTM-project (vs. raw obs.),CNN,0.6688571979267837,0.5143697500992587,18.02616623040253,0.6808652633600605,0.8362245932217789
evergreen,AELSTM-project (vs. raw obs.),RF,0.5510806103901225,0.41114450942452124,13.592723474782108,0.7833605574698563,0.8912142511004373
evergreen,AELSTM-project (vs. raw obs.),SVM,0.48492868981537873,0.3605814657590961,12.139078782007466,0.8322498079848728,0.9146847834554485
low_amplitude,Chronos-2 (vs. raw obs.),zero_shot,0.0579882552431547,0.0396103426814079,17.9428315787576,0.5416799543767805,0.7595571295427851
low_amplitude,Chronos-2 (vs. raw obs.),finetuned_lora,0.0675189783359879,0.0530292373564508,20.61434729612636,0.3786440047437329,0.6486294663634805
high_amplitude_deciduous,Chronos-2 (vs. raw obs.),zero_shot,0.3721987428443206,0.2459115187327067,14.14267502821269,0.9653603564623752,0.983538003569336
high_amplitude_deciduous,Chronos-2 (vs. raw obs.),finetuned_lora,0.4391612497433154,0.286435948477851,16.05384692529586,0.9517750667688172,0.976420449201157
evergreen,Chronos-2 (vs. raw obs.),zero_shot,0.4849752207266585,0.4259298351075914,14.023496741340352,0.8322176076224337,0.9301318449824632
evergreen,Chronos-2 (vs. raw obs.),finetuned_lora,0.6352008922615217,0.5305042531755235,16.529617370473268,0.7121743574790728,0.8781962726851275
