date,LAI,tmmx,tmmn,pr,srad,vpd,sph,vs,lat,lon,source_file
2000-02-18,1.2221100194742087,282.6875,273.525,13.250000000000002,117.92500000000001,0.26125,0.00449625,4.275,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000049.regrid.nc
2000-02-26,2.2034761596705374,283.54999999999995,273.8625,37.4375,103.375,0.27999999999999997,0.004645000000000001,5.125,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000057.regrid.nc
2000-03-05,2.5446065460945535,283.5,272.5875,11.5,147.4625,0.3675,0.0037975000000000005,4.85,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000065.regrid.nc
2000-03-13,2.6143065505758076,286.4375,273.8125,6.7125,185.525,0.46375,0.00426125,3.4875000000000003,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000073.regrid.nc
2000-03-21,3.896020130285744,287.95,274.0375,0.21250000000000002,226.8125,0.55875,0.00421625,3.0125,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000081.regrid.nc
2000-03-29,3.5528944776135165,293.0875,277.65,0.0,281.375,0.93625,0.004635,3.7625000000000006,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000089.regrid.nc
2000-04-06,3.470555569500429,291.5125,277.475,8.312500000000002,241.6125,0.675,0.005532500000000001,2.7125000000000004,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000097.regrid.nc
2000-04-14,3.330667255241724,288.625,276.7625,11.325000000000001,207.1375,0.47250000000000003,0.0055175,2.4625000000000004,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000105.regrid.nc
2000-04-22,3.1029487867418126,288.38750000000005,274.4375,3.75,247.0,0.53375,0.00464,3.1000000000000005,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000113.regrid.nc
2000-04-30,2.7189422316847516,290.35,277.75,7.025,251.20000000000002,0.60375,0.005531250000000001,2.6375,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000121.regrid.nc
2000-05-08,2.3176610918869134,289.025,277.7,25.15,250.65000000000003,0.545,0.00540625,3.825,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000129.regrid.nc
2000-05-16,3.882260772848032,296.4,281.2625,0.1375,356.725,0.985,0.00686375,3.2125,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000137.regrid.nc
2000-05-24,3.7757384437474686,292.5375,279.45000000000005,2.4125,298.175,0.685,0.006342500000000001,4.0125,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000145.regrid.nc
2000-06-01,3.8969928982025026,297.7125,282.30000000000007,4.6875,302.0875,1.15,0.0067800000000000004,2.3375000000000004,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000153.regrid.nc
2000-06-09,4.27055556950043,298.32500000000005,282.8125,6.6625000000000005,295.52500000000003,1.25125,0.0070437500000000005,4.4625,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000161.regrid.nc
2000-06-17,4.35454230434812,302.775,285.4125,0.0,370.925,1.73,0.007320000000000001,3.975,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000169.regrid.nc
2000-06-25,4.602175772449542,302.82500000000005,286.07500000000005,0.08750000000000001,369.75,1.72125,0.007810000000000001,3.0250000000000004,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000177.regrid.nc
2000-07-03,4.510018308980472,297.875,283.51250000000005,1.8375000000000001,311.71250000000003,1.0725,0.00773,2.7875,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000185.regrid.nc
2000-07-11,4.723430226904576,300.9375,285.9,0.0,345.88750000000005,1.4125,0.00816375,2.3375000000000004,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000193.regrid.nc
2000-07-19,4.774070796803495,301.5125,285.975,0.25,346.25,1.4525000000000001,0.008391250000000001,2.9875000000000007,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000201.regrid.nc
2000-07-27,4.7926655889746375,304.5375,287.92499999999995,0.0,335.20000000000005,1.8150000000000002,0.009152500000000001,3.1,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000209.regrid.nc
2000-08-04,4.700508125505568,303.225,285.8625,0.5,324.275,1.71,0.007984999999999999,2.625,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000217.regrid.nc
2000-08-12,4.811338516410838,300.9375,282.975,0.0,319.77500000000003,1.5412500000000002,0.006426250000000001,3.9,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000225.regrid.nc
2000-08-20,4.947633468101422,303.1375,284.575,0.0,303.3,1.7725000000000002,0.007040000000000001,3.0000000000000004,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000233.regrid.nc
2000-08-28,4.7888029221579655,297.7,282.475,4.0375000000000005,260.4125,1.22125,0.006785000000000001,3.1750000000000003,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000241.regrid.nc
2000-09-05,4.916013265152309,299.4,282.7125,0.0,251.8,1.3225000000000002,0.006903750000000001,3.3125,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000249.regrid.nc
2000-09-13,4.8705555695004294,302.5375,286.8625,0.1,224.05,1.72625,0.00787,3.8625000000000003,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000257.regrid.nc
2000-09-21,4.679679245829197,298.9625,282.0875,0.0,227.70000000000002,1.38375,0.005845,2.75,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000265.regrid.nc
2000-09-29,4.475777511379997,297.9,281.7875,0.0,206.90000000000003,1.2575,0.00595125,3.2750000000000004,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000273.regrid.nc
2000-10-07,3.9411303864240157,290.65,278.95,9.762500000000001,145.2125,0.6375000000000001,0.005902500000000001,2.8000000000000003,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000281.regrid.nc
2000-10-15,3.619954067234038,290.275,277.66249999999997,11.6875,160.10000000000002,0.5750000000000001,0.005682500000000001,3.3875,41.400000000000006,-123.68333330000002,HiQ_LAI_WGS84_5km_8day_2000289.regrid.nc
