RMSE,MAE,MAPE,R2,Pearson_r,ACC,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.3858682678253691,0.2283549373564513,9.824607296150248,0.9611617148661448,0.9810963073277572,0.742330096927133,high_amplitude_deciduous,zero_shot,2012,2000,12,543,46,0.0
0.4744437372400931,0.2858526719653088,12.61484196179938,0.94128469093268,0.971305248307576,0.205004071380335,high_amplitude_deciduous,finetuned_lora,2012,2000,12,543,46,111.0
0.5813502449143751,0.3707271179427271,17.090639519204874,0.8963045851892085,0.9512025414266218,-0.3918528262219101,high_amplitude_deciduous,zero_shot,2013,2001,12,549,46,0.0
0.6264235873472013,0.3717859167119731,17.295275473950376,0.8796017877546224,0.9420182669830908,-0.3123911646493642,high_amplitude_deciduous,finetuned_lora,2013,2001,12,549,46,111.5
0.3983690921682864,0.271965398736622,14.973101012547216,0.95476895345909,0.9800796672217656,-0.0781909164584059,high_amplitude_deciduous,zero_shot,2014,2002,12,551,46,0.0
0.4606594921193676,0.3032592625721641,15.665664040792237,0.9395181017156145,0.9735250006581468,-0.2443714276744089,high_amplitude_deciduous,finetuned_lora,2014,2002,12,551,46,334.7
0.3270612913838805,0.2248533776272898,10.882309541529107,0.9690717445048654,0.984780133242323,0.1179161642902723,high_amplitude_deciduous,zero_shot,2015,2003,12,552,46,0.0
0.3168299314561812,0.2211789223163024,13.268897587216538,0.9709765165031436,0.9864819094362464,0.3094056930850507,high_amplitude_deciduous,finetuned_lora,2015,2003,12,552,46,111.1
0.3800522145309937,0.2799620972739325,10.052223433397842,0.9644335813053824,0.983834082059299,0.3865808396269371,high_amplitude_deciduous,zero_shot,2016,2004,12,552,45,0.0
0.48136750263966,0.3455203480190701,13.50233574669302,0.9429432359994292,0.9736937567880314,0.3976308399599469,high_amplitude_deciduous,finetuned_lora,2016,2004,12,552,45,165.2
0.3302687757866809,0.2319491758294727,10.390270160449749,0.9727337965748972,0.9900626978841456,-0.1127878468126202,high_amplitude_deciduous,zero_shot,2017,2005,12,551,46,0.0
0.3815557867525982,0.2764073655657146,12.45032679911491,0.9636080165489334,0.9861454911607818,0.0052906401703566,high_amplitude_deciduous,finetuned_lora,2017,2005,12,551,46,172.7
0.2351622841969865,0.1639962384234304,9.62697569463704,0.98540674004639,0.9927404577007428,0.7173654856032345,high_amplitude_deciduous,zero_shot,2018,2006,12,551,46,0.0
0.3705687170096052,0.2682446843903998,14.029392715447294,0.9637628122122754,0.9817434293571968,-0.1964578234942974,high_amplitude_deciduous,finetuned_lora,2018,2006,12,551,46,130.2
0.3795268716006971,0.2650664176629937,10.039659658361286,0.9637123259584908,0.9836030922399492,-0.1770450951434472,high_amplitude_deciduous,zero_shot,2019,2007,12,551,46,0.0
0.4331783527282704,0.2900838553905487,11.32735961711564,0.9527276098376114,0.9769851990257464,-0.212026883302294,high_amplitude_deciduous,finetuned_lora,2019,2007,12,551,46,192.9
0.43900644530855,0.290380703366321,15.344771302921162,0.94419200325794,0.9810357919575764,0.251530503118858,high_amplitude_deciduous,zero_shot,2020,2008,12,551,46,0.0
0.4181696022113081,0.2723593685937964,11.797020185470162,0.9493639803074284,0.9848597002008972,0.2751985406631432,high_amplitude_deciduous,finetuned_lora,2020,2008,12,551,46,111.3
0.3849413054423228,0.2469798741133316,11.55152720859328,0.9550481433063708,0.9785003082622126,0.2825980224459519,high_amplitude_deciduous,zero_shot,2021,2009,12,551,46,0.0
0.4090211849362806,0.2669550854226817,13.059963009885667,0.949248344884497,0.9766849991457192,0.0925305228080948,high_amplitude_deciduous,finetuned_lora,2021,2009,12,551,46,246.9
0.4031584012560608,0.2606242100397746,15.531002413081682,0.9593580030376908,0.980629774967688,-0.1761329429794952,high_amplitude_deciduous,zero_shot,2022,2010,12,551,45,0.0
0.4149021250089818,0.2868506908416748,16.297512204543107,0.9569557714439112,0.978636279933596,0.018191396842014,high_amplitude_deciduous,finetuned_lora,2022,2010,12,551,45,120.8
