pixel_id,R2_baseline,RMSE_baseline,R2_fractional,RMSE_fractional,R2_dominant,RMSE_dominant,R2_shuffled,RMSE_shuffled,dominant_pft,pft_purity,pft_entropy,delta_fractional_vs_baseline,delta_fractional_vs_shuffled,delta_dominant_vs_baseline
evergreen,0.8322175540562458,0.4849752981432197,0.8285115348329599,0.4903021693103914,0.828535493248154,0.4902679183966504,0.8288082503255156,0.4898778164747286,TREES_NE,0.949999988079071,0.1985152661800384,-0.003706019223285839,-0.0002967154925557214,-0.003682060808091747
low_amplitude,0.5416800245667399,0.0579882508028149,0.545185910268357,0.0577660365563001,0.5453852305500034,0.0577533773130002,0.5453135930236286,0.0577579274798597,GRASS_NAT,0.8399999737739563,0.4396699070930481,0.0035058857016171396,-0.00012768275527152984,0.0037052059832635154
high_amplitude_deciduous,0.9653603433099122,0.3721988135051191,0.9671063641017698,0.3626971435160033,0.967082127399404,0.3628307402407548,0.9666567021958498,0.3651677961318352,TREES_BD,0.8899999856948853,0.3465153276920318,0.0017460207918575943,0.0004496619059199958,0.0017217840894918623
mixed_forest_grass,0.933212209317868,0.3258698328784876,0.9323486828126866,0.327969718900135,0.9325186453066814,0.3275574755863294,0.9323694413190527,0.3279193970134041,TREES_BD,0.5,0.6931471824645996,-0.0008635265051814001,-2.0758506366180818e-05,-0.0006935640111865871
px004_trees_ne,0.8268527322712884,0.321683285981233,0.8339204873346879,0.3150494356086195,0.8338953410765041,0.3150732856743583,0.8338460219764693,0.3151200573233685,TREES_NE,1.0,2.486791883526962e-10,0.007067755063399517,7.446535821864497e-05,0.007042608805215678
px005_trees_bd,0.905340532829625,0.2923393971942838,0.9075356502895108,0.2889298946188964,0.9074863042004896,0.2890069819429304,0.9070671540004152,0.2896609415242653,TREES_BD,1.0,2.486791883526962e-10,0.002195117459885765,0.00046849628909562124,0.00214577137086458
px006_trees_nd,0.9431738367804686,0.2856933101192535,0.9428606536340594,0.2864794919096601,0.9429085085613556,0.2863595016770742,0.9429753064984308,0.2861919301016294,TREES_ND,1.0,2.486791883526962e-10,-0.00031318314640926825,-0.00011465286437140065,-0.00026532821911307014
px007_shrubs_ne,0.908282741817374,0.0362741231991371,0.9079358102159092,0.0363426640693481,0.908074732339302,0.0363152337181185,0.9079561863843308,0.0363386420645682,SHRUBS_NE,1.0,2.486791883526962e-10,-0.00034693160146481716,-2.037616842165413e-05,-0.0002080094780719799
px008_shrubs_bd,0.17985251717463,0.1170893557116822,0.181368521961223,0.1169810885206062,0.1810907757043457,0.1170009315787463,0.1864204992554524,0.1166195702897955,SHRUBS_BD,0.9700000286102296,0.1347421407699585,0.0015160047865930004,-0.005051977294229404,0.0012382585297157078
px009_shrubs_nd,0.3664995723564829,0.2152708522722349,0.3810338003192832,0.2127870731437422,0.3812754556315662,0.212745531177036,0.3813769169156947,0.2127280869686444,SHRUBS_ND,1.0,2.486791883526962e-10,0.014534227962800295,-0.00034311659641150793,0.01477588327508328
