dominant_pft,n,mean_delta_fractional,mean_delta_vs_shuffled
SHRUBS_ND,6,0.005231689199485921,-0.0002634589640994149
GRASS_NAT,19,0.004052483039756924,-0.0004291986619497105
SHRUBS_BD,7,0.0035213405879568854,-0.0009619173264407342
TREES_BD,7,0.001326338822106754,0.0002962681541652642
TREES_NE,6,0.0009257805883718754,0.00015030669885113257
GRASS_MAN,12,0.0005385923471823336,-4.1238566869152464e-06
TREES_ND,6,0.0002875863482085979,0.00015086362031389391
SHRUBS_NE,7,-4.74267601536e-05,0.0001486946542757574
