method,mean_R2,mean_RMSE
baseline_zero_shot,0.765486855477387,0.20499719122232338
low_rank_fractional,0.767711603924349,0.2045595239971781
low_rank_dominant,0.7677672590368577,0.20454892080930775
low_rank_shuffled_control,0.7678772707008189,0.20465268894712002
