RMSE,MAE,MAPE,R2,Pearson_r,ACC,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.3428913386325288,0.2721660017319348,103.98127672849856,0.7502105755967976,0.9527838858366184,0.5046811434527639,px004_trees_ne,zero_shot,2012,2000,12,543,46,0.0
0.395937364327584,0.2919010947579923,30.030829619470857,0.7166206068186196,0.911647446479928,-0.0331539513187543,px004_trees_ne,zero_shot,2013,2001,12,549,46,0.0
0.2670345302727834,0.1814894695644793,19.953325330949284,0.8641370635087282,0.9360675712808956,0.179780615579112,px004_trees_ne,zero_shot,2014,2002,12,551,46,0.0
0.3849619859289362,0.3187965867312058,23.40966962017318,0.6608891928886491,0.9053626896886208,0.6637285988068166,px004_trees_ne,zero_shot,2015,2003,12,552,46,0.0
0.3264545574456143,0.2436839229530758,25.297359241040752,0.785056780760029,0.8926972216485739,0.5048448685769104,px004_trees_ne,zero_shot,2016,2004,12,552,45,0.0
0.328380799460145,0.2093602517700713,23.055237271393008,0.8397006482806767,0.9245484054686224,0.3698323328548691,px004_trees_ne,zero_shot,2017,2005,12,551,46,0.0
0.3433270376214484,0.1843053990084192,20.263407957344317,0.8111779341133595,0.9041205663193648,0.1005704230459773,px004_trees_ne,zero_shot,2018,2006,12,551,46,0.0
0.3914976930739459,0.300587179220241,29.085832391233563,0.68490868914673,0.8400084169675036,0.3000028176513504,px004_trees_ne,zero_shot,2019,2007,12,551,46,0.0
0.3915755015074232,0.3005471857993499,30.820631493792902,0.7988071065934279,0.9108554657644754,0.1569336538711535,px004_trees_ne,zero_shot,2020,2008,12,551,46,0.0
0.2925164544750528,0.2164606231710185,49.59081307714547,0.8833111840405257,0.9653430635799258,0.825682452416842,px004_trees_ne,zero_shot,2021,2009,12,551,46,0.0
0.32536697303259,0.2202356901433732,29.418240198646775,0.82286450964723,0.9183930950007878,0.2119261152154746,px004_trees_ne,zero_shot,2022,2010,12,551,45,0.0
