RMSE,MAE,MAPE,R2,Pearson_r,pixel_id
0.4844823282904557,0.4252768569522434,14.04888495104363,0.8325584771936398,0.9302497579102929,evergreen
0.05783514620147763,0.03973622570435206,17.967609439145075,0.5440970059765577,0.7599509590304466,low_amplitude
0.37303939999546404,0.25055456161499023,14.619771219240823,0.9652037038661125,0.9837756979487702,high_amplitude_deciduous
0.32540298278313273,0.1753790451420678,24.545392153799092,0.9334034362970045,0.9710927938281645,mixed_forest_grass
0.31856508642167447,0.21918742855389914,30.313215929526223,0.8301932289084395,0.919671530811676,px004_trees_ne
0.28814632024576464,0.21776994781361686,53.888849190704846,0.9080364946174515,0.9530794924385847,px005_trees_bd
0.28572179040009754,0.2199040022161272,23.26531872933063,0.9431625064083564,0.9764950866764636,px006_trees_nd
0.036813222897776485,0.02909964985317654,6.167661016098118,0.9055363120511963,0.9580336885581825,px007_shrubs_ne
0.11738354642324848,0.09448937508794997,15.457229530428057,0.17572604672607395,0.7198896097870033,px008_shrubs_bd
0.21572332580060882,0.1779353227880266,27.083222853936377,0.36383368968412755,0.8657103175606108,px009_shrubs_nd
0.3826623840303196,0.30741429660055375,34.90807963136592,0.8958946892653652,0.9493003104536049,px010_grass_nat
0.2953268489180516,0.18874428073565166,18.476160993813053,0.5387784671357687,0.779066529822822,px011_grass_man
0.15593271533715766,0.12574403426713412,40.93743439078932,0.951429730567622,0.9757979416185296,px012_trees_nd
0.2248476797772748,0.14850581553247238,43.92686229687948,0.928358212820413,0.967603161330549,px013_grass_man
0.24059173631255956,0.16395221820308103,74.79787834284961,0.9495356491273736,0.9767264644892545,px014_grass_man
0.06913209108698305,0.05911808411280314,26.220999878742035,0.2977995988505193,0.6100448854059858,px015_shrubs_nd
0.05263456747596215,0.04617598189247979,10.059173189858905,0.7892788821879462,0.8917453240512072,px016_shrubs_ne
0.1001125560422596,0.07862984902328915,19.762084964813788,0.47439383451742345,0.6969631552404766,px017_grass_man
0.3216658350928812,0.20529853403568268,25.71539749163773,0.9115670500282076,0.9571665222153627,px018_trees_nd
0.1726192376864898,0.11855783197614882,10.364631559903001,0.8307860501503187,0.9783610083563434,px019_shrubs_bd
0.22491197308973682,0.16830709841516284,25.136112391852805,0.9048208325803775,0.9717688917422218,px020_trees_ne
0.09789511228642209,0.06963481158018112,19.54298257908296,0.9069454328135697,0.9529872278741685,px021_grass_nat
0.14558086592879582,0.1114581625494692,33.98905247715201,0.9661431372970435,0.9845417611568553,px022_grass_nat
0.3395430730297163,0.2561492674880558,31.948993694622036,0.7681292607598498,0.9545307587745472,px023_shrubs_ne
0.1064301970979183,0.07837973501947192,11.318306038989597,0.7074725424286965,0.8904130813198204,px024_shrubs_bd
0.06546239224940548,0.0521406524711185,11.51869309707381,0.39772372659610444,0.7028638027007109,px025_grass_nat
0.10838932792941923,0.09083239866627588,11.932315637937341,0.9474802488642763,0.9818200266575169,px026_trees_nd
0.15309331831374853,0.11262790693177117,14.181002417689607,0.8322931137080631,0.9433344284535874,px027_grass_man
0.18809122727013325,0.15181560979949105,57.84347167973638,0.46204418506097666,0.7056783167863874,px028_grass_nat
0.23882531704389767,0.17418716102838516,23.49219632371907,0.9510897330013929,0.9761803462591094,px029_grass_man
0.6193611361809127,0.4670775188340081,31.230427224621803,0.6893855125765114,0.8423791887185766,px030_grass_man
0.32022591583707416,0.25171177263061206,98.00856776066387,0.9653201419412579,0.9838674016460882,px031_trees_bd
0.36201950814504946,0.2450484089553356,64.54337266304852,0.8810604264944079,0.9484493194904837,px032_grass_man
0.16244399533330844,0.11459048456615872,15.074043307835463,0.9866386394259694,0.9938128618242961,px033_trees_ne
0.4205113811689209,0.3162770311037699,17.21156410942159,0.6342129162839518,0.8455692624202364,px034_grass_man
0.17010591034168152,0.13998257319132487,22.70600269596051,0.5336662460645282,0.7955642107665278,px035_shrubs_nd
0.30775724461330267,0.23815957411295838,94.4107235217658,0.9622046415877895,0.9888322939749954,px036_grass_man
0.26370459076087077,0.19734750787417094,35.18513838100105,0.9524322427182625,0.9807365833420759,px037_trees_nd
0.2308128733056334,0.18331199884414673,21.85907277435295,0.9118566633328106,0.9565585257777505,px038_grass_nat
0.2568625877019773,0.18242937988705105,14.314794446824013,0.9435944894744649,0.9726566992168904,px039_trees_ne
0.14438608933767752,0.10720819085836411,18.964135150042484,0.9533022449098988,0.9823592972143672,px040_trees_bd
