step,train_loss,val_loss,lr
0,0.353764608502388,0.3526897728443146,0.001
10,0.3513483852148056,0.35844314098358154,0.001
20,0.3419177681207657,0.3608773350715637,0.001
30,0.34136705100536346,0.3620817959308624,0.001
40,0.33381882309913635,0.3616001009941101,0.001
50,0.3291524201631546,0.36244869232177734,0.001
60,0.3277541548013687,0.36283978819847107,0.001
70,0.3256455212831497,0.36506396532058716,0.001
80,0.3241198807954788,0.3652999997138977,0.001
90,0.3245701640844345,0.3654068410396576,0.001
100,0.3225955218076706,0.3667203187942505,0.001
110,0.31799352169036865,0.3686470091342926,0.001
120,0.32242676615715027,0.3707708716392517,0.001
130,0.3150041401386261,0.37292948365211487,0.001
140,0.3089096248149872,0.3725922703742981,0.001
149,0.3119748532772064,0.37206122279167175,0.001
0,0.35534869134426117,0.35908541083335876,0.003
10,0.3395387828350067,0.36234915256500244,0.003
20,0.3330224007368088,0.36563077569007874,0.003
30,0.3302847295999527,0.3666907250881195,0.003
40,0.31868284940719604,0.36943843960762024,0.003
50,0.312518909573555,0.37377020716667175,0.003
60,0.3097863048315048,0.37525853514671326,0.003
70,0.30705811083316803,0.3767663836479187,0.003
80,0.3043433129787445,0.3817082643508911,0.003
90,0.29863086342811584,0.3819214701652527,0.003
100,0.29813170433044434,0.38480350375175476,0.003
110,0.2945956587791443,0.389687716960907,0.003
120,0.29243287444114685,0.38846224546432495,0.003
130,0.29015974700450897,0.3932499587535858,0.003
140,0.2853555530309677,0.38974183797836304,0.003
149,0.2850412428379059,0.39225754141807556,0.003
0,0.35487498342990875,0.397268146276474,0.01
10,0.34086839854717255,0.3622649013996124,0.01
20,0.3316027969121933,0.36604365706443787,0.01
30,0.3182859718799591,0.3719724714756012,0.01
40,0.30953361093997955,0.37805846333503723,0.01
50,0.3015020191669464,0.3853808343410492,0.01
60,0.291079118847847,0.3876255750656128,0.01
70,0.28700636327266693,0.39458709955215454,0.01
80,0.2853837162256241,0.40206488966941833,0.01
90,0.27897337079048157,0.39384716749191284,0.01
100,0.27884475886821747,0.39852792024612427,0.01
110,0.26985813677310944,0.396446168422699,0.01
120,0.2693788558244705,0.3978292644023895,0.01
130,0.26902899146080017,0.4039948582649231,0.01
140,0.27099573612213135,0.4045371413230896,0.01
149,0.26611271500587463,0.40498974919319153,0.01
