site,method,learning_rate,rank,best_step,best_eval_loss,steps_run,elapsed_sec,n_trainable,n_total,peak_mem_mb
evergreen,vera,0.001,1024,100,0.65826416015625,400,54.5,173392,119651056,3722.5
evergreen,vera,0.001,256,100,0.6585160493850708,400,50.3,98896,119576560,3178.3
evergreen,vera,0.0001,1024,200,0.6608399152755737,500,68.4,173392,119651056,3714.7
evergreen,vera,0.0001,256,100,0.6608526110649109,400,50.2,98896,119576560,2668.2
