day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2005-01-01,245.62198,236.5415,242.34918,239.53021,88575.125,0.58164823,17.955278,0.5081597,1.0533109
2005-01-02,242.59325,235.74991,238.17334,235.60887,88788.35,0.110819936,24.027199,0.37223864,0.36148986
2005-01-03,239.58855,225.66228,232.30847,229.86327,89720.414,0.05153753,24.509417,1.1112417,0.28722683
2005-01-04,237.61156,226.01944,234.19466,230.64073,89516.18,0.18777698,26.499105,0.654443,1.3872195
2005-01-05,244.76103,234.6436,239.48999,236.28497,89508.25,0.34767574,16.201073,0.76322675,1.1041425
2005-01-06,241.15201,232.41391,236.72148,233.8939,89918.79,0.034119934,28.222477,0.5840577,1.4187893
2005-01-07,240.67593,232.46623,237.86961,234.8431,90454.65,0.1097396,24.760063,0.68608445,0.2222994
2005-01-08,237.46036,231.36806,233.57648,230.80177,91106.01,0.111995265,27.905354,-0.3206393,-0.22213955
2005-01-09,243.41602,233.03003,240.9513,237.63109,91287.87,1.1023711,16.711636,0.22286098,-1.2219039
2005-01-10,248.63759,243.4289,247.23225,243.94615,91170.84,5.7607255,13.81055,0.128008,-1.5909061
2005-01-11,251.98996,247.96329,250.2682,246.92577,91321.62,2.18123,14.356007,0.4697021,-1.0564123
2005-01-12,250.64351,238.56204,245.99188,242.6793,91305.79,0.017698854,30.158142,0.5019419,-0.18095414
2005-01-13,246.18724,238.34158,240.5155,236.55501,91195.086,0.0005979091,34.01472,0.031082332,0.46344742
2005-01-14,246.1139,238.10487,241.4905,237.42531,90870.414,0.0017695129,29.945938,0.20463754,0.7845106
2005-01-15,244.65503,237.5589,239.89116,235.9196,90586.87,0.003343448,36.115807,0.27668366,1.1683983
2005-01-16,248.93007,239.71085,245.9818,242.98059,90465.74,0.77039003,23.39757,0.33480927,0.6537209
2005-01-17,249.67746,238.73253,244.37975,241.96248,90554.055,0.24775043,27.607424,0.48014107,0.7116979
2005-01-18,244.47133,232.38702,238.44267,235.51662,90747.43,0.014152378,36.8601,0.43811414,0.7614916
2005-01-19,241.84755,231.84857,235.30994,231.63506,90882.445,0.024780631,39.02983,0.3851688,0.7893068
2005-01-20,240.36278,232.14935,235.87402,232.52681,90835.26,0.1564417,34.244167,0.4543233,0.7686753
2005-01-21,243.54115,231.63255,235.49994,232.30841,90976.805,0.011572614,40.815487,0.40165028,0.9279609
2005-01-22,240.24277,231.35349,235.87773,232.4445,90748.29,0.0,44.872498,0.4346958,0.9789645
2005-01-23,244.22801,233.14842,239.0407,234.51009,90619.086,0.014059246,44.599354,0.60550886,0.4097623
2005-01-24,239.83176,232.02242,236.12355,232.49223,90097.43,0.44988468,40.954514,0.8062157,0.821686
2005-01-25,243.79823,234.16139,239.58862,236.40186,89599.62,0.38806164,31.862362,1.0954216,-0.47674882
2005-01-26,242.90659,230.39136,235.89525,234.01025,89110.086,0.068672,40.02016,0.5445182,0.14103338
2005-01-27,241.6352,228.47882,238.32271,234.95839,89455.41,0.8676499,48.11683,1.0387083,0.08683448
2005-01-28,246.8244,241.56555,243.70825,240.93315,90014.88,0.805568,27.930166,0.03935875,-0.6681256
2005-01-29,248.77682,242.2645,247.48517,244.70496,90313.35,3.6037116,28.454903,0.080001965,-1.5695964
2005-01-30,249.83809,245.23444,248.06792,245.25397,90635.28,1.8454045,25.870506,-0.60427433,-1.3595442
2005-01-31,249.77292,245.05283,247.46642,244.18187,90934.13,0.70859027,46.5541,0.15848406,-1.2224088
2005-02-01,249.0109,244.57993,247.38136,244.28465,90676.74,1.3683364,37.988083,0.4181473,-1.2378215
2005-02-02,248.46654,235.69476,242.85548,239.35316,90640.35,0.121142715,42.15876,-0.574264,-0.66306096
2005-02-03,246.97816,236.1744,240.35211,236.16127,90857.945,0.0009033829,61.34193,-0.5322741,0.17970943
2005-02-04,246.53355,238.0649,243.6346,239.61745,91034.555,0.19672886,46.07656,-0.3931853,-0.80824405
2005-02-05,248.85162,239.73586,243.99751,240.32802,91426.82,0.42831337,47.291428,-0.6640838,-0.7264483
2005-02-06,249.70471,239.90584,244.45116,241.09541,91324.336,0.14408678,52.469254,-0.37486938,-0.48518935
2005-02-07,247.98756,239.66542,243.32935,240.11499,90757.51,0.32113957,59.469597,-0.1443226,-0.26293227
2005-02-08,247.63522,241.24527,243.19466,239.89815,90567.695,0.5551502,49.98743,0.3273696,-0.8240302
2005-02-09,247.4288,239.82596,242.97955,239.58614,90639.91,0.53324366,54.901714,0.62298536,-1.1819369
2005-02-10,247.2567,235.854,242.30983,238.7743,90677.75,0.22711791,56.762135,0.9527988,-0.30477962
2005-02-11,246.4809,237.46017,241.15623,237.7685,90367.69,0.22393465,68.58471,1.2383317,0.27660802
2005-02-12,247.1831,235.79903,241.53001,238.31801,90109.78,0.2571568,68.22391,1.3071057,0.1241683
2005-02-13,248.13602,235.43777,242.22693,238.80646,90109.24,0.22066385,67.640976,1.5852771,-0.004593335
2005-02-14,248.64706,235.1255,241.08504,237.22925,90431.32,0.03920868,83.06565,1.3224629,0.7206659
2005-02-15,250.81314,236.16689,244.58144,240.35542,90586.055,0.24505891,69.91597,1.9012214,-0.57179826
2005-02-16,248.03407,238.41408,243.36853,239.15898,90887.875,0.35068393,74.452576,1.5762501,-0.65721536
2005-02-17,246.50261,234.45224,240.71965,236.60329,91200.68,0.08280948,92.08751,0.6385203,-0.12095352
2005-02-18,248.14587,235.27722,242.05815,237.94862,91346.805,0.017806888,90.33342,0.31758973,-0.2300223
2005-02-19,246.90129,232.3363,239.15918,236.05379,91139.164,0.031227246,92.78918,-1.1755875,-0.31754157
2005-02-20,247.21251,233.56781,239.22174,235.40022,90871.4,0.0048717484,91.22015,-1.4325389,-0.24862762
2005-02-21,248.52783,236.01541,245.26952,241.63405,90557.375,0.46537444,79.24117,-0.6712532,-0.8126419
2005-02-22,250.90202,242.17696,247.26949,244.20796,90169.59,0.50451607,57.16212,-0.020430664,-1.220974
2005-02-23,252.32281,239.45074,245.45784,241.39488,89923.34,0.01673773,99.844,-0.29020151,-0.7712099
2005-02-24,250.76105,236.54224,243.11183,239.25018,89966.82,0.0144355,108.35441,-0.44339707,-0.45846987
2005-02-25,250.74396,234.91159,242.61932,238.255,89930.56,0.002587214,112.966675,-0.19693117,0.26885357
2005-02-26,253.18607,238.75633,246.82149,241.86798,89802.875,0.0,116.6357,0.70752645,0.12731834
2005-02-27,254.082,239.94193,247.2437,243.36371,90252.62,0.27032197,111.642944,1.6438655,-1.1229984
2005-02-28,253.32356,242.57831,246.88118,242.77502,90593.125,0.12820773,109.38834,1.3255924,-1.409577
2005-03-01,254.03853,241.21458,247.06732,242.57713,90984.07,0.08450076,114.37375,0.028975584,-1.2293645
2005-03-02,252.2862,243.3859,246.59834,242.02477,91072.26,0.07889606,125.531425,-0.09071215,-1.4222084
2005-03-03,254.0172,240.53636,246.89287,241.98842,91172.72,0.0053253025,127.770966,0.7042853,0.059924215
2005-03-04,258.0645,245.04004,254.22731,248.01233,89843.4,0.57414174,127.090515,0.5817344,1.4466614
2005-03-05,267.04,257.19937,262.16052,258.3132,88678.91,1.4077555,113.97758,1.1899816,0.90444976
2005-03-06,261.95724,248.5942,255.4076,251.665,89130.57,2.2260695,72.40098,-0.3138566,-1.8931464
2005-03-07,253.44412,244.80972,249.42809,244.66359,89538.96,0.87948704,98.137436,-1.0087999,-2.5025222
2005-03-08,248.92848,244.43681,246.57256,242.43181,90226.87,0.32057428,101.9023,0.9579236,-2.2143595
2005-03-09,252.84607,241.93161,247.14099,241.96417,91058.27,0.0156238675,131.7549,1.5793089,-0.78119713
2005-03-10,255.86049,245.56241,250.0276,244.605,91312.625,0.02477318,153.88899,1.5291967,-0.45927802
2005-03-11,259.79163,245.10263,251.79143,246.62267,90839.94,0.007111579,152.326,1.1051618,0.07630236
2005-03-12,260.24326,247.6066,252.51775,247.42998,89769.97,0.17951801,149.97182,0.7892041,0.29106367
2005-03-13,262.69894,247.12427,255.32152,250.71724,88838.88,0.5031768,118.09216,0.878349,0.47103384
2005-03-14,266.15408,254.33237,259.73062,254.93144,88586.13,0.2937224,146.93306,1.6942673,0.2971219
2005-03-15,266.5047,250.9133,259.76834,254.45009,89358.6,0.74447507,112.99006,1.690939,-0.7009659
2005-03-16,264.02164,250.77885,257.70673,251.49817,89762.43,2.5493371,140.90016,0.90825766,-1.4582329
2005-03-17,258.1016,243.67061,251.76062,245.57451,89229.51,0.539748,148.3683,1.6504303,-0.61210626
2005-03-18,255.2082,246.73589,252.59099,246.93298,88930.52,0.8968413,164.08423,0.9988404,1.2636296
2005-03-19,265.7301,250.57501,259.231,255.11353,89239.93,0.52399564,136.44337,1.0005982,-0.5430839
2005-03-20,264.35382,250.24072,257.00504,252.0152,89275.445,0.35208464,143.36298,0.69690543,-1.7510718
2005-03-21,260.7095,248.5276,254.9897,247.8054,89743.18,0.09764731,168.36682,1.1609741,-2.233319
2005-03-22,258.3986,249.2318,253.64185,247.9535,90643.586,0.17793663,155.21974,0.5468157,-2.0976667
2005-03-23,256.80386,246.48936,251.49414,246.60504,91146.48,0.29806978,165.5965,-0.5514843,-1.7443233
2005-03-24,258.90378,249.80875,254.86449,250.74138,90276.74,0.6084107,142.90585,-0.45260024,-1.4324664
2005-03-25,264.37442,253.6106,258.35947,253.77812,90049.98,0.11158548,152.76016,-0.037587184,-1.507641
2005-03-26,265.69693,254.01112,258.9819,251.02235,90024.305,0.0,194.77563,0.65233225,-1.5563754
2005-03-27,265.89056,254.19229,260.45358,253.46587,90477.125,0.069294125,187.50015,0.8832383,-2.069985
2005-03-28,264.5962,249.92387,258.48343,251.72778,90456.664,0.11637993,187.43068,1.0344528,-1.065958
2005-03-29,267.40106,256.53232,261.62607,253.67322,89871.43,0.0066738576,208.6488,0.62939763,0.32387772
2005-03-30,269.8747,257.62845,264.06613,258.7502,90118.445,1.0792828,175.16661,0.9070153,-1.8338326
2005-03-31,268.26163,256.3969,262.7241,256.95184,89955.305,1.3483241,165.73346,1.8502713,-1.7463418
2005-04-01,263.66418,251.09982,258.07376,250.67224,90124.74,0.2069436,186.71158,1.2458414,-1.2389947
2005-04-02,271.71866,257.97937,264.30862,259.29767,89900.375,0.11356734,189.82779,0.74624044,0.92321897
2005-04-03,276.4355,264.21713,269.83798,262.4285,89272.79,0.0,215.66977,0.09858342,2.1670115
2005-04-04,276.7044,264.8154,271.35782,265.18884,88878.625,0.27069265,202.11606,-0.80880374,1.1790212
2005-04-05,274.72104,266.936,270.81967,267.55197,89148.6,4.4358263,152.72102,0.22007649,-1.2187032
2005-04-06,270.9088,261.86337,266.37878,261.94247,90250.63,1.3571643,135.64702,-0.7191119,-2.0723605
2005-04-07,270.84598,260.13678,265.82648,259.8585,90686.18,0.3990978,169.69081,-1.4363232,-1.366129
2005-04-08,272.3445,255.88062,265.48886,259.29614,90997.23,0.124782324,184.13802,-0.0039516143,0.10980046
2005-04-09,275.1112,262.77994,268.95944,261.08652,90611.46,-4.4703484e-05,237.23477,-0.26966736,0.72705287
2005-04-10,274.86484,263.97617,269.31717,262.88998,89901.75,0.09421632,184.56516,-1.2831525,1.0200796
2005-04-11,272.90872,260.22382,267.24844,261.78983,89664.96,0.22129901,175.04642,-1.0028136,1.097178
2005-04-12,272.13577,261.23764,266.80075,261.61142,89293.27,0.78930706,177.7287,-0.6069928,1.8372444
2005-04-13,270.84702,256.48245,264.23282,257.7727,89796.586,0.068498775,211.26173,-1.1225861,0.4716144
2005-04-14,272.37592,261.12506,267.64572,262.48465,90181.85,0.026777387,209.25984,-2.18769,0.23240907
2005-04-15,272.72418,256.6846,266.0388,260.28964,90484.98,0.0,242.69595,-1.9260774,0.015405419
2005-04-16,272.763,256.53732,264.9988,258.95526,90577.875,0.0,263.80435,-1.0814679,0.40753493
2005-04-17,277.01575,264.00052,270.29327,262.88113,90677.38,0.46426243,255.25784,0.85188824,1.0549148
2005-04-18,275.9173,263.47543,270.8453,267.14316,91235.695,2.5272706,182.41422,0.61457384,-0.6035597
2005-04-19,276.65988,262.80124,270.2139,262.715,91237.94,0.000692904,248.26756,-1.6594067,-0.16279542
2005-04-20,276.80252,264.59488,271.02258,263.8668,90538.77,0.0,242.20755,-2.4067767,0.9787219
2005-04-21,277.93173,268.34348,272.5319,266.3296,90148.23,0.09972602,243.6368,-0.335006,1.265777
2005-04-22,277.32858,266.10196,273.22888,268.06284,90082.84,0.32426232,188.30113,-0.010803238,-0.3833096
2005-04-23,279.12106,266.6516,273.51575,267.31842,90071.055,0.014798716,201.85327,0.7944372,0.2202426
2005-04-24,279.92804,269.184,274.7209,269.31613,89576.1,0.36636555,231.53438,0.7326116,0.6295957
2005-04-25,280.19016,269.18948,274.66434,268.50305,88828.59,0.2734307,216.53706,0.6617268,1.1667829
2005-04-26,280.55536,272.74173,276.5538,270.7438,88316.375,0.40932372,213.09528,-0.94936156,1.6976823
2005-04-27,275.54797,266.66498,271.83145,268.24567,88486.72,1.9128435,137.5993,-1.0457352,2.3012946
2005-04-28,275.30707,266.05194,270.90475,266.71225,89019.35,1.3698525,226.19792,-1.3029335,0.18220787
2005-04-29,277.12985,267.1227,272.76456,267.61044,89882.79,0.48355386,231.36882,-1.5458603,0.7618659
2005-04-30,276.69748,268.93567,272.9702,267.91125,90163.12,0.37302822,207.16035,-2.3283386,1.1523024
2005-05-01,273.75888,267.6595,271.05374,267.7913,90163.81,1.3652798,174.91264,-3.812321,0.49913952
2005-05-02,273.3681,270.1284,271.91336,268.81653,90381.94,2.0726137,176.59384,-2.6544938,-1.2200302
2005-05-03,275.09818,271.04294,273.1469,270.3746,90591.52,3.9484258,180.06828,-2.6333616,-2.0459728
2005-05-04,276.998,266.18478,272.91263,269.66156,91027.02,0.88538414,182.24228,-1.9371351,-0.81159323
2005-05-05,280.1135,264.23032,273.03757,266.88428,91189.02,0.011137687,280.1078,-1.6164713,0.8104434
2005-05-06,281.81763,264.65872,274.10767,267.67102,90802.5,0.0,308.35504,-1.9837769,0.13971214
2005-05-07,280.77872,262.9473,273.31735,267.486,90434.555,0.0,307.93045,-2.097563,0.5009432
2005-05-08,280.20828,266.12592,273.475,266.5063,90101.13,-4.4703484e-05,309.67264,-1.5612146,0.57869226
2005-05-09,280.3188,272.0247,276.3923,268.4111,89526.16,1.9392073,240.15215,-0.36942044,0.6298277
2005-05-10,276.3696,271.3799,273.801,271.40652,89538.5,8.359501,120.07219,-0.72416353,1.659935
2005-05-11,277.08627,268.5375,273.01456,269.17883,89941.22,3.130069,199.16867,-1.2978908,0.709508
2005-05-12,276.65176,266.42932,272.29587,266.78992,90424.24,0.47327393,204.32703,-1.7417889,0.27574918
2005-05-13,278.30835,267.46338,273.587,264.46408,90555.49,0.08173287,302.61533,-1.4551548,0.38365507
2005-05-14,281.5309,270.07968,277.10852,264.939,90432.53,0.028677285,262.40964,0.27703178,0.25466385
2005-05-15,286.49234,276.52866,281.791,268.79214,90128.9,0.18493831,269.15466,0.9396016,1.6733252
2005-05-16,285.03183,272.325,278.27927,269.35635,89890.875,1.2586862,157.58678,0.26184157,0.281515
2005-05-17,277.87415,268.00067,273.3781,267.54022,90197.875,1.4308449,193.65164,0.116816014,-1.0697136
2005-05-18,280.99677,269.77765,276.8169,265.6679,89694.0,0.0015702099,245.98056,-0.061353326,-0.21414317
2005-05-19,284.11914,271.4629,277.96225,269.0808,89485.445,0.13905019,261.9892,-1.4161545,-0.9433672
2005-05-20,282.59662,273.84528,277.30542,271.70636,89605.43,5.0896983,238.96759,-0.4241837,-2.2908788
2005-05-21,279.86923,272.81927,277.05368,268.74216,89979.37,0.3662482,168.82574,-0.3640158,-1.929753
2005-05-22,285.2298,270.9662,280.10483,268.75723,90214.01,0.0,252.23543,0.2943349,0.059838008
2005-05-23,289.98947,271.97446,282.6035,269.96463,89919.25,0.0,337.21967,1.189966,1.177116
2005-05-24,293.1603,276.21182,286.00192,271.80878,89613.49,0.0,335.89984,1.2137059,1.8858525
2005-05-25,293.22733,272.408,284.78238,273.2803,89424.15,0.11237711,292.40906,-0.12648992,0.6973415
2005-05-26,289.74017,271.7286,278.90417,272.37207,89694.44,2.2212174,263.31458,2.2083642,0.9962464
2005-05-27,283.68918,272.92706,278.83572,267.43137,90589.914,0.25777704,308.71753,0.8847456,1.0126988
2005-05-28,289.4406,277.96786,282.67154,273.33972,90109.586,2.7319808,197.53725,-0.67310476,1.824319
2005-05-29,286.1198,274.95673,281.34866,276.56122,89597.93,4.2163243,277.9718,1.2998244,0.7753101
2005-05-30,288.82794,274.4874,282.7679,272.59433,89570.53,0.45007467,292.50092,1.9685136,-0.58249134
2005-05-31,284.74216,271.114,277.17438,273.10352,89605.76,3.6117005,199.90245,1.244341,-0.5072976
2005-06-01,283.01212,272.61548,278.75974,267.8762,90001.06,0.6589759,290.20667,1.1528093,-0.09859248
2005-06-02,288.8889,276.3854,283.6941,272.9322,89968.38,0.23231097,316.67136,1.4396262,0.9805283
2005-06-03,290.42194,272.14432,283.07074,271.86758,90239.35,0.06772205,338.4881,-0.41829637,-1.2627286
2005-06-04,290.70514,276.90305,283.79822,273.1669,90116.695,0.0,311.5697,-1.6280533,0.07767225
