day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2001-01-01,271.24237,267.54822,269.0564,268.8671,96676.53,0.15735626,50.575108,-0.47376207,-1.2885758
2001-01-02,271.2703,268.31223,269.9701,269.69275,97161.875,0.048600137,62.279324,-0.37220255,-1.2546362
2001-01-03,271.02832,265.46436,267.60663,267.39645,97025.06,4.4703484e-05,53.74662,-0.46529785,-1.37245
2001-01-04,272.6722,268.16458,269.68658,269.35678,96575.27,0.0,54.55978,-0.69333714,-1.0091335
2001-01-05,277.801,268.45428,272.46957,271.49155,95952.12,0.0006891787,78.12477,0.15429519,0.73612833
2001-01-06,278.9255,263.18042,269.37595,268.81497,96295.46,0.003170222,73.566,0.6099724,-1.0670358
2001-01-07,271.256,262.53235,266.93326,265.8253,96253.77,0.09938516,64.15331,-0.36508393,-2.0762877
2001-01-08,273.46494,267.22614,269.90857,267.09814,95241.54,0.11822581,48.188957,-0.2522617,-1.56506
2001-01-09,272.39566,263.85843,268.69113,267.26242,95239.38,0.008631498,53.90462,-0.38901865,-1.2274541
2001-01-10,272.54337,266.55307,269.81503,269.25162,94898.9,0.44671074,65.069595,0.09931439,-1.2230601
2001-01-11,274.00156,271.2904,272.57068,272.29898,94875.195,2.2426863,39.25728,-0.012192453,-1.9425721
2001-01-12,274.6404,267.2032,271.27573,270.85736,95227.62,0.15426055,80.090454,0.6313079,-0.91904646
2001-01-13,274.7539,270.19333,272.7682,271.73544,95596.91,1.4070346,57.034863,-0.35540724,-0.8087451
2001-01-14,274.39322,266.17892,271.02908,270.2073,96120.44,4.16656,85.83469,0.88611203,-0.8864117
2001-01-15,275.363,264.07605,268.9517,266.84476,96836.9,0.0057984143,91.43379,0.36628413,-1.5937004
2001-01-16,272.77368,263.9601,266.92526,266.15842,97002.93,0.014772639,75.546425,-0.2499686,-1.3469563
2001-01-17,268.72916,264.20728,266.6073,265.81998,97134.44,0.096073374,51.218426,-0.18294829,-1.4342104
2001-01-18,269.57867,266.36792,268.3209,267.36954,96974.27,0.24224631,59.237732,-0.24718241,-1.3245314
2001-01-19,271.05438,267.72556,269.3942,268.2925,96488.41,4.7523117,71.45816,-0.2880127,-1.069682
