day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2012-01-01,271.99664,264.68378,269.17294,266.1992,95919.01,1.1141021,36.64056,4.6355395,-3.3434808
2012-01-02,264.2865,257.71982,261.14764,255.73622,97492.26,0.24418347,73.92738,3.550564,-4.994043
2012-01-03,266.51947,254.46404,259.25095,254.04694,96883.07,4.4703484e-05,53.61618,0.34955692,3.1163228
2012-01-04,273.76202,264.52075,267.48062,264.35138,96146.62,0.0,54.049355,2.983202,-0.7345841
2012-01-05,279.8243,265.86523,270.95178,267.9474,95628.79,0.0,61.805645,1.9996759,1.8317634
2012-01-06,278.88086,274.23962,276.20676,271.23788,94985.76,0.04954636,46.646114,5.6616035,-0.039567996
2012-01-07,273.93137,267.35873,270.04987,265.54752,96223.23,0.54731596,38.21736,3.4265773,-1.9314486
2012-01-08,274.04205,267.07526,270.60406,267.2897,96916.625,0.06363541,71.55419,1.9295225,0.95640534
2012-01-09,278.56732,272.11905,274.82767,269.29047,95912.38,0.36128983,74.79943,4.3020253,1.5664922
2012-01-10,279.31528,270.5527,273.9147,270.43677,95812.18,0.0,71.848114,1.8040113,1.5253181
2012-01-11,275.8259,261.6298,271.23538,268.65436,95492.48,4.0195694,37.331673,2.1380475,-2.126277
2012-01-12,261.04886,257.98688,258.93375,255.22112,96063.46,0.14575198,58.61184,1.8970221,-4.8607144
2012-01-13,260.34518,256.90784,258.5052,254.05312,96242.63,0.0032037497,82.03455,0.044519678,-2.7346537
2012-01-14,263.79178,257.02338,259.58026,254.9771,96351.79,0.31307432,55.085777,-0.54984754,1.9285913
2012-01-15,272.60034,263.67056,266.67395,263.6785,96271.22,0.26543254,73.126396,-1.2331363,3.4352827
2012-01-16,271.72598,262.39395,266.6781,262.71622,95808.65,0.013798475,56.235924,2.0388782,-1.0990039
2012-01-17,262.1327,254.4921,257.7133,252.1682,96781.37,0.0782609,82.71958,1.7288136,-3.6258304
2012-01-18,259.1187,251.7744,254.3235,249.87236,96377.79,1.9913726,39.948,0.2654126,0.37535325
2012-01-19,255.85379,243.39322,248.45801,243.98683,96237.57,0.23464486,92.58271,3.532602,-1.7271767
2012-01-20,259.19196,248.36826,252.09442,246.29942,96620.56,0.0,91.257454,2.333913,0.9339786
2012-01-21,262.33044,247.81482,254.10858,249.43512,96746.51,0.19140914,51.115795,0.026878446,1.566847
2012-01-22,267.13257,262.81683,265.4529,262.39734,95445.75,4.531456,30.256536,-1.6990529,3.8073566
2012-01-23,266.84232,265.14703,265.8571,264.3969,95112.16,6.1623883,40.20734,1.3967977,-2.5495121
2012-01-24,267.3364,262.59595,264.69424,262.78464,96417.0,0.08121692,58.77783,1.9610022,-1.3906609
2012-01-25,272.3061,264.30365,267.27194,265.62204,96755.73,0.32316148,72.111946,0.72807056,3.6122227
2012-01-26,273.50574,268.9888,271.2012,268.85733,95416.125,0.783287,44.388035,2.1674042,2.3921778
2012-01-27,272.09247,261.7046,267.08896,264.12137,95521.24,2.5027208,40.755108,2.0668151,-0.28679895
2012-01-28,267.81732,263.39917,265.06503,262.0561,95790.71,0.45238063,72.19772,5.2776065,-1.4201566
2012-01-29,265.32214,252.50981,258.3644,255.18147,96488.695,0.15008357,102.38933,2.734663,-1.9094709
2012-01-30,270.56464,255.31628,262.49515,259.57242,95866.74,1.6946942,72.78941,-2.133859,2.846837
2012-01-31,274.45004,269.43295,270.93634,268.86032,95261.03,0.83944386,60.3341,0.2057846,1.1331133
2012-02-01,274.60052,269.62155,271.34738,270.25143,96374.01,0.13414584,50.722115,1.5315766,0.43133497
2012-02-02,274.49374,268.83353,271.93756,270.92578,96975.69,0.46603197,69.21222,0.9132975,0.48348758
2012-02-03,273.35266,270.6444,271.72305,270.5759,97924.28,0.07399917,71.04087,0.6317219,-0.960988
2012-02-04,272.89502,266.41138,269.32217,268.04178,97773.09,0.00062957406,101.83583,2.462168,-1.2440609
2012-02-05,273.98157,267.4539,269.66095,268.44638,97395.16,0.03220886,108.66944,1.8980573,0.046984743
2012-02-06,272.70328,266.9193,270.45886,268.16162,96707.16,0.051075593,56.048878,2.5759258,-1.1453669
2012-02-07,269.48557,255.62204,262.0859,257.2407,98048.664,0.080026686,123.59713,-0.31065696,-3.303127
2012-02-08,271.57,255.90848,261.64017,254.9388,97602.12,0.0,125.39055,3.5009577,0.015520677
2012-02-09,270.84235,263.3847,266.5576,261.41547,96426.96,0.096060336,97.621704,4.0829253,1.0507138
2012-02-10,267.38058,251.25128,257.41028,252.0016,97238.32,0.26551262,130.52176,1.0616562,-4.733868
2012-02-11,261.6614,250.78372,255.3546,249.0103,97975.28,0.0010244548,128.91994,3.8458474,-3.1839333
2012-02-12,268.82745,255.79976,260.59534,253.00496,97412.57,0.0,134.18254,3.5745242,-0.55799466
2012-02-13,271.65466,259.7309,264.92386,256.58078,96110.91,0.00084750354,108.212074,1.441834,2.5303578
2012-02-14,273.71265,265.63242,269.1368,264.6423,95445.74,0.0035203993,133.18066,0.76994413,2.2687004
2012-02-15,276.30966,265.589,270.6256,267.43094,95891.75,0.5518682,110.44634,0.11716181,2.2432811
2012-02-16,274.4987,268.99686,271.29733,268.61658,96329.24,0.66683817,97.21761,3.4632893,-0.1822747
2012-02-17,272.53818,268.68915,270.33487,266.7495,96471.73,1.4202297,81.52735,0.37847254,-0.61543614
2012-02-18,271.01746,260.3873,265.56046,261.66147,96971.23,0.059891492,107.73049,1.5677652,-0.8036869
2012-02-19,277.27765,261.53964,268.06775,262.96036,96709.836,4.4703484e-05,146.78926,-0.0070138224,2.7360134
2012-02-20,276.4224,270.9564,273.2413,267.33853,96347.16,0.004058704,81.02425,-0.96939486,4.274574
2012-02-21,275.47397,271.16132,272.80292,270.16348,94869.69,9.312982,67.08356,0.95212144,2.644865
2012-02-22,271.51974,266.4273,268.32855,266.25836,94554.19,1.3575312,82.330894,4.0646186,-1.447611
2012-02-23,270.79865,260.30832,265.91232,263.51578,94913.82,0.039119273,127.68421,0.42889127,-1.1807251
2012-02-24,267.37482,262.8197,264.58408,261.6798,95668.01,1.1357348,117.37053,2.0399354,-1.3950391
2012-02-25,266.35913,259.57294,261.9971,259.23926,96693.41,0.3389828,121.421455,2.1668348,-1.7820553
2012-02-26,268.14478,263.5214,266.24582,263.6375,96263.23,5.6529493,51.85045,-4.5055385,0.3509512
2012-02-27,267.27814,260.32205,263.86905,261.14096,96905.15,0.9556254,137.72,1.2507614,-2.7056024
2012-02-28,273.9366,261.67767,266.8648,263.55783,97222.914,0.7162299,160.53981,-1.1156082,2.2149026
2012-02-29,272.68417,269.8348,271.28287,268.77457,95586.38,5.574193,60.597244,-5.509751,-1.7144381
2012-03-01,274.29175,267.57187,271.1725,268.12268,95634.555,0.15221722,116.50282,-1.1416388,-0.8213999
2012-03-02,274.86267,270.4297,272.24298,269.87366,95334.82,1.0672398,115.037384,-0.036989886,2.7026737
2012-03-03,271.30807,266.73032,268.187,265.51938,95272.32,1.0226667,132.81421,0.9676594,-2.7412968
2012-03-04,268.13153,257.4128,262.72568,259.0647,96052.19,0.576308,130.16417,-0.29348254,-0.6391488
2012-03-05,269.69055,254.68616,262.38492,259.71414,96561.25,1.2025163,101.39698,0.5863854,1.6889268
2012-03-06,279.8466,269.36108,272.89203,268.72336,95491.336,0.0053141266,180.25978,-1.6317916,4.076003
2012-03-07,279.26917,270.2585,273.3702,270.26807,95210.12,1.4400194,72.75523,1.7181448,-1.167335
2012-03-08,270.48865,262.81387,267.03183,263.78006,96335.6,1.4575906,137.92815,3.9409535,-1.2251886
2012-03-09,269.7436,255.11351,262.83688,256.67746,97712.85,0.04868582,168.96373,2.0020754,-1.102199
2012-03-10,284.70544,269.25952,274.41525,265.6122,96264.914,4.4703484e-05,192.86415,0.6372605,3.8945644
2012-03-11,287.27994,270.1071,278.32605,271.68353,96099.695,0.0,193.84967,0.35488188,2.8297179
2012-03-12,286.0147,278.21558,280.46338,277.2705,95517.9,8.075759,30.79177,-1.1900464,2.9412365
2012-03-13,286.2245,273.67575,278.97018,271.9476,95995.23,1.3589263,196.8359,3.028782,0.37445846
2012-03-14,290.50998,279.7854,283.72226,272.91687,95852.0,0.0,189.74089,-0.29015687,2.0489671
2012-03-15,286.81467,273.57437,279.83585,265.71564,96646.81,0.27750617,143.46587,-1.3723779,-0.6150416
2012-03-16,293.2162,274.82312,281.90762,269.6219,96410.125,0.0,196.52856,-1.9904305,2.7785845
2012-03-17,296.76996,283.95355,289.21945,283.60245,95726.336,0.0113938,185.38222,-0.3653845,4.796046
2012-03-18,296.8567,285.7304,291.1905,286.4248,95666.695,0.02626516,141.53726,-0.9867181,4.802653
2012-03-19,297.0806,287.83514,292.1727,286.81052,95495.914,0.05466491,137.92274,-1.2231381,6.0221887
2012-03-20,295.91953,285.99707,289.7366,284.74487,95716.75,2.4951584,110.07652,1.0683129,3.30031
2012-03-21,290.44382,281.29202,284.75415,278.27908,96410.02,0.23849681,110.0906,0.64960635,1.0221419
2012-03-22,292.5052,277.38705,284.16013,278.94556,96893.53,0.092756,160.02406,-1.1751755,1.8145814
2012-03-23,288.77975,283.67468,285.5059,284.09738,96596.02,8.890649,28.919323,-2.346507,1.6028605
2012-03-24,291.46823,281.8061,285.1602,283.11905,96396.18,0.2721399,109.09584,0.39321384,0.44968283
2012-03-25,284.2523,270.7058,275.6563,269.39426,97121.836,0.0021122396,223.85516,1.2655405,-3.6466758
2012-03-26,277.44394,269.51077,273.40134,265.51584,97475.28,0.95368177,128.74338,-4.082439,1.5751004
2012-03-27,289.77942,275.61105,279.65353,273.02872,95431.28,1.8197708,128.49393,-0.6449656,5.8576207
2012-03-28,280.65982,274.5348,277.08536,272.86203,96051.195,0.35475755,120.667915,3.5766811,-2.4314473
2012-03-29,279.25586,273.10617,275.37857,270.92505,96795.49,7.8954988,74.57638,-3.3305206,0.8925945
2012-03-30,277.77097,272.91092,274.6545,273.2267,96056.12,5.5869837,68.17203,-2.8855047,2.0659983
2012-03-31,285.53568,274.69675,278.24695,276.184,95882.77,1.0611256,155.81505,-1.1124629,3.4677155
2012-04-01,289.21835,278.07983,282.20352,279.5087,95620.91,4.4703484e-05,125.92697,-0.97621584,1.5872626
2012-04-02,286.31723,278.67654,281.49533,275.39325,95856.87,1.5534143,52.119465,-4.240443,2.4696133
2012-04-03,288.91168,275.95016,281.80026,273.76035,96678.93,0.9429511,250.06583,0.34880337,-3.4277408
2012-04-04,288.86844,272.05734,280.70096,267.3886,96857.1,4.4703484e-05,264.25577,-0.8375152,-2.1467056
2012-04-05,287.10867,272.4703,279.38782,267.92392,96985.164,0.0,264.87473,-3.0375798,1.241649
2012-04-06,289.20776,270.58026,278.96082,266.78757,97196.96,0.0,264.40704,-2.0098574,2.958929
2012-04-07,287.42676,277.58237,280.53317,272.31012,96567.24,2.635451,84.83081,-1.1802715,3.9651778
2012-04-08,284.35333,273.33945,279.0186,268.50394,96631.75,0.016672537,245.60625,5.600897,-0.2457381
2012-04-09,283.1096,271.07175,274.57007,265.4578,96630.055,0.41459316,145.94846,4.0760913,-2.2670794
2012-04-10,276.09036,267.22485,270.76938,260.9235,97112.71,0.090342015,192.62523,2.129732,-3.7438834
2012-04-11,284.1768,267.64923,274.4617,264.60938,97548.88,-4.4703484e-05,276.5989,1.1420449,-1.9309038
2012-04-12,287.99976,270.6644,279.15677,268.25977,97052.29,-4.4703484e-05,282.22232,-0.40997854,1.2724559
2012-04-13,287.05402,276.21063,280.84216,271.3413,96424.15,3.6703105,134.81781,-3.9695652,3.5045986
2012-04-14,290.7331,279.86008,283.22067,279.1432,95494.69,5.6193676,170.04283,2.250388,2.5203488
2012-04-15,289.573,279.239,281.63373,277.98843,95454.37,7.245099,66.9105,-2.5941331,-2.7215433
2012-04-16,279.98456,269.21713,272.5787,270.3848,95561.086,27.949385,155.82367,-0.47739896,-5.988537
2012-04-17,280.57343,265.36343,272.2854,268.49527,97098.15,-4.4703484e-05,198.92346,0.8763339,2.2677166
2012-04-18,279.86243,276.40717,277.97513,274.84668,96277.305,9.018146,96.59392,-0.3041889,0.114866614
2012-04-19,284.09024,271.7972,277.2808,270.13052,96694.73,0.0,241.95703,-0.93859607,-1.6239848
2012-04-20,283.79535,272.73254,277.88983,269.04758,96711.086,0.0,237.43875,-0.07054695,-0.7112362
2012-04-21,282.6049,274.42105,276.12756,270.37943,96493.69,11.295764,50.91549,-3.6720903,2.3860464
2012-04-22,282.59113,272.98108,276.27893,272.6545,97076.29,5.0115733,138.34436,-1.072003,-0.8202149
2012-04-23,289.46786,273.9026,280.61743,273.28,96945.164,0.031001866,227.91568,0.6308081,1.2396847
2012-04-24,290.91107,278.83423,284.91006,273.60452,95894.69,0.016642734,288.62784,-1.5812836,-0.63565594
2012-04-25,288.78357,279.65662,283.6077,276.36783,95479.62,3.2966976,147.71724,-2.6812513,1.2678399
2012-04-26,284.4521,271.96063,278.7033,270.42807,96683.47,0.14053844,299.9286,-0.39410642,-4.4654427
2012-04-27,285.18942,272.7494,278.6594,266.51233,97196.9,4.4703484e-05,265.83466,-2.6437125,0.06629594
2012-04-28,286.19943,273.8224,279.53967,265.12216,97054.445,0.0,292.31326,-4.2959623,1.6086062
2012-04-29,288.63538,275.70895,281.329,271.79803,97169.02,0.001902692,254.69951,-1.9331361,3.0381203
2012-04-30,288.72614,278.94244,283.70322,276.77588,96291.85,0.6432049,166.02777,0.5666407,3.2590868
2012-05-01,289.7274,280.63068,284.47263,280.64676,95666.98,7.4159446,139.47621,-0.8924903,3.591238
2012-05-02,296.68066,285.7609,289.6998,283.462,95400.63,21.663946,266.88007,2.1632793,1.9307094
2012-05-03,296.26654,284.3758,288.58478,282.60117,96021.51,9.247098,168.8582,-1.4966288,-1.2631644
2012-05-04,290.82962,281.1956,284.21994,280.18845,96758.664,0.15500002,138.65785,-2.473994,-0.112028
2012-05-05,285.6334,279.4534,282.0718,277.27817,96803.25,4.029624,98.566086,-3.6761315,1.3729124
2012-05-06,285.7995,280.43463,283.27283,279.84836,96651.56,3.2235124,72.93574,-3.3622134,1.2466482
