day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2008-01-01,284.53098,269.79077,275.95483,258.69382,88108.75,0.0,150.03896,-2.348051,-2.0888984
2008-01-02,285.87143,274.375,278.6219,262.82495,87987.164,0.0019669533,121.64271,-2.8378286,-0.9770282
2008-01-03,287.67578,274.5881,278.98264,266.12564,87729.695,0.0,121.32096,-1.8555803,-0.32465997
2008-01-04,288.55475,276.47034,281.41275,270.85754,87467.74,0.19221753,116.89619,-1.0795711,0.09783045
2008-01-05,287.9829,279.6737,282.90747,274.4345,87132.6,0.9983834,79.33291,0.028794201,1.7553006
2008-01-06,283.66214,281.05704,282.29892,280.34103,86781.055,30.032385,53.80648,0.6979963,1.1668178
2008-01-07,280.77,278.3463,279.41928,278.0399,86584.03,31.812433,23.977905,0.81006044,1.8735803
2008-01-08,283.6177,271.85773,277.58304,274.29056,87343.37,0.12674369,150.74258,-0.7050492,-0.40806672
2008-01-09,284.88428,273.22043,278.38553,272.63882,87220.055,0.0,150.96196,-0.20788443,-0.15685311
2008-01-10,284.80173,272.06177,278.01242,271.39078,87275.77,0.0,149.85928,-0.06925552,-0.381039
2008-01-11,287.26517,272.2757,278.68533,271.1043,87187.984,4.4703484e-05,157.99542,-0.11694667,-0.61831105
2008-01-12,285.4792,271.64188,278.1061,270.23727,87295.02,0.0,158.02452,-0.6152462,-0.95475835
2008-01-13,285.27908,273.92886,278.31674,269.6223,87295.88,0.44622645,153.14198,-1.3092214,-1.5452992
2008-01-14,284.67764,273.13,278.06525,266.91055,87567.87,0.0061541796,160.80121,-1.6224917,-2.1914153
2008-01-15,284.60666,272.3081,277.36017,266.73026,87523.43,-2.2351742e-05,160.68533,-0.61386275,-0.8584983
2008-01-16,282.96872,272.21243,276.28986,266.65973,86824.35,4.4703484e-05,145.44197,-0.71307665,-0.981183
2008-01-17,279.19016,268.61282,273.02087,255.08226,86954.65,0.0,166.83687,-1.7069678,-1.9778643
2008-01-18,282.04794,268.65662,273.6506,258.62186,87128.77,0.0,168.15196,-1.1239313,-1.2103331
2008-01-19,283.8384,269.29196,274.78854,262.01553,87660.47,0.0,171.0018,-1.4341942,-1.1554395
2008-01-20,284.88803,270.34076,276.3797,264.25003,87157.69,0.0,173.28822,-1.3473501,-0.1889679
2008-01-21,283.43228,273.01535,278.6952,265.13754,86849.23,-4.4703484e-05,170.86365,0.087013066,1.7303834
2008-01-22,285.48965,271.9587,277.57462,266.7558,87263.72,0.0,171.85106,-0.5608333,-0.032922804
2008-01-23,286.27945,270.38477,277.63797,267.71738,87160.0,0.0,171.05783,-0.61065453,0.05405736
