day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2019-01-01,275.54727,269.26196,272.2131,267.75964,99193.945,0.0,66.2692,-0.93207985,0.27729082
2019-01-02,275.47452,267.89877,270.63367,267.96677,98853.49,0.0,60.308052,-0.23812473,-1.1364589
2019-01-03,279.9251,272.02527,274.66287,270.1926,97919.76,0.4383195,25.140371,-1.0244616,0.39915308
2019-01-04,284.8409,277.03864,280.52173,274.19275,97280.97,0.18477999,66.01038,-0.44383994,3.1725318
2019-01-05,283.40994,274.88696,277.7365,273.22925,97067.836,-4.4703484e-05,50.02043,-1.0206128,-1.2010094
2019-01-06,281.5409,276.39026,278.51804,272.81998,96068.63,0.3721956,67.38941,0.5843811,2.1717784
2019-01-07,281.23477,273.75894,276.6241,270.13068,97060.1,0.20991825,77.13912,1.7470497,2.2723656
2019-01-08,278.75586,272.51016,274.6673,269.28232,98691.375,1.8913392,19.416567,-0.46038938,-1.9230303
2019-01-09,276.53915,274.3492,275.03387,272.9871,97775.53,4.816104,46.49917,0.63731885,-2.4221516
2019-01-10,277.53265,270.6206,273.82175,272.8112,98015.02,1.372343,52.42033,-0.20569576,-0.84293056
2019-01-11,279.13177,274.4632,276.16266,274.57874,98511.25,0.03645383,44.837486,-0.036808845,-1.9697636
2019-01-12,278.59436,272.88052,275.33115,273.748,98422.695,0.007946044,61.35255,-0.35635138,-2.143809
2019-01-13,276.7929,270.02393,272.61496,271.0742,98892.48,0.0,69.60164,0.109455645,-1.7522826
2019-01-14,274.67383,269.34763,271.52762,269.63138,98977.91,0.0,71.29416,0.07772791,-1.9399424
2019-01-15,274.33145,268.1539,270.673,268.09906,98361.086,0.0072717667,54.64563,0.11592519,-1.5337702
2019-01-16,276.51453,269.55124,271.7404,268.39633,97786.06,0.0019147992,76.55443,-0.10173314,-1.5027918
2019-01-17,278.25067,274.57922,275.80142,272.7189,96957.52,8.617331,43.418278,0.26599368,-1.9220153
2019-01-18,278.619,271.88583,274.97272,273.3378,97819.59,1.1910852,52.2586,-0.40737686,0.66272473
2019-01-19,280.27985,275.5588,277.10104,275.52066,98108.96,4.5995693,53.651806,-0.3905518,0.13405432
2019-01-20,280.0575,274.1132,275.90662,274.86545,97887.54,3.0152445,23.401434,0.26316166,-1.8686637
2019-01-21,280.0803,270.16394,274.08182,271.5778,97876.97,0.3595166,85.90186,1.7805376,-0.38540912
2019-01-22,278.14163,272.63287,274.2688,271.14606,99035.79,0.44145808,26.727737,-0.23823917,1.3575321
2019-01-23,282.23468,273.00607,275.9921,273.73654,98247.87,5.7540274,76.312126,-0.059634287,-0.15146327
2019-01-24,281.1839,271.53088,275.15237,272.59,99180.57,0.0,82.328224,-0.604948,-0.5943286
2019-01-25,280.6234,271.33975,274.38016,272.8209,99056.97,0.0006072223,82.37572,-0.20821875,-0.94115657
2019-01-26,278.85168,271.71353,274.00723,272.67374,99416.54,0.0,84.923325,-1.2411861,-0.35652265
2019-01-27,275.60904,271.0999,273.02817,272.14865,98933.68,0.018790364,79.78066,-0.87369674,-0.9061939
2019-01-28,277.94595,270.0606,273.5214,269.45004,99266.695,0.0,99.85653,-0.13035093,-1.337254
2019-01-29,278.32895,270.88345,274.14407,270.01633,98905.04,-4.4703484e-05,104.4247,-0.23894227,-1.8320574
2019-01-30,278.01065,267.61963,271.3796,268.16132,98351.41,0.0,96.31998,-0.21818618,-0.94931215
2019-01-31,274.0962,271.2562,272.15985,269.61765,98000.96,0.0021010637,75.20852,-0.29692104,-0.983845
2019-02-01,274.3466,271.6323,272.94345,270.42316,97228.76,0.48268214,45.211735,-0.20998514,-0.9567006
2019-02-02,278.9039,271.43414,273.94003,272.54703,96612.56,0.27835184,82.1091,-0.78499204,-0.028504187
2019-02-03,278.63406,273.35242,275.31055,273.56003,95810.85,0.28616935,54.42596,0.07528374,-1.2332305
2019-02-04,278.3711,270.97726,273.20956,268.30466,96124.555,0.8842349,57.087517,-0.94562393,-4.629536
2019-02-05,272.0962,268.90775,270.64133,260.3438,96946.1,2.3002439,89.40534,0.62333155,-3.466157
2019-02-06,271.56097,263.53473,267.60468,257.88455,98154.99,0.0,121.136314,1.2298537,-1.4455734
