day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2015-01-01,302.6043,297.2487,299.6362,296.8869,99726.305,4.785022,225.67595,-2.9519055,-1.5880852
2015-01-02,300.51065,296.94617,298.5084,296.70868,99881.19,18.241673,168.54005,-4.357656,-2.865924
2015-01-03,300.02606,297.10397,298.5177,296.48785,99870.664,8.218864,158.12137,-3.4556959,-2.5654233
2015-01-04,300.82672,297.4912,298.91696,296.88843,99720.97,7.6063685,167.25375,-3.2370632,-1.8750569
2015-01-05,300.49026,297.25543,298.74628,296.9521,99710.336,12.003613,193.668,-2.6044579,-1.8917221
2015-01-06,302.00412,296.44415,299.14615,296.2263,99639.78,1.2464318,204.73651,-1.058082,-2.287803
2015-01-07,301.5251,297.27524,299.07703,296.35196,99731.73,9.39062,182.49507,-1.816597,-2.2763045
2015-01-08,299.2954,297.72375,298.42587,295.58817,99866.69,11.648764,70.46223,-2.6780794,-3.6156185
2015-01-09,299.8464,296.61642,298.3495,294.2938,99943.29,1.5865843,161.4454,-3.5539875,-4.6815495
2015-01-10,301.0857,295.9046,298.12875,294.00922,99932.49,1.6004257,177.97015,-2.6357782,-3.5179555
2015-01-11,300.94107,296.8099,298.41544,295.26425,99887.94,5.487621,199.35034,-2.8612783,-2.705403
2015-01-12,299.14066,297.05304,297.92752,295.61362,99922.336,6.482691,62.83316,-2.8404577,-2.4729044
2015-01-13,299.4708,296.7994,297.89468,296.0453,99884.59,13.989115,107.168915,-2.4925067,-1.8776702
2015-01-14,300.72156,296.73666,298.5585,296.42654,99876.93,1.7102473,125.80605,-1.3282365,-1.3636781
2015-01-15,302.91068,297.13318,299.57272,295.10715,99765.88,0.20299293,218.57263,0.33010003,-3.2835815
2015-01-16,301.74457,297.81253,299.20633,296.04367,99550.78,19.839804,143.95003,2.4577873,-3.4916573
2015-01-17,298.12784,297.048,297.7604,296.27225,99312.81,59.968266,31.166235,5.0985947,0.43153608
2015-01-18,302.09937,296.5403,299.02853,295.782,99744.82,0.16150065,197.683,0.46794036,-0.944084
2015-01-19,302.13876,297.57,299.40796,297.07547,99896.02,5.169578,210.20438,-1.1449444,0.04633473
2015-01-20,302.1225,297.5508,299.35242,297.1566,100024.055,3.234109,191.2888,-0.93135947,-0.009836202
2015-01-21,301.94037,297.6114,299.48038,296.98428,100014.12,1.3772864,218.60588,-0.5733786,0.044735253
2015-01-22,301.94638,297.4842,299.6304,296.7416,99949.22,2.0785816,221.3672,0.272468,-0.68699104
2015-01-23,302.0496,297.19992,298.82217,296.44656,99916.875,12.232937,207.36116,-2.6643565,-2.286994
2015-01-24,300.18704,296.65607,298.39038,295.73593,100105.1,12.619618,157.93999,-4.202638,-3.842821
2015-01-25,299.45935,297.1489,298.0946,296.65198,100060.06,33.66724,91.58368,-2.7455928,-2.6658256
2015-01-26,299.77084,297.14224,298.42007,296.76877,99880.66,12.738956,143.85548,-2.1209652,-2.1888707
2015-01-27,301.43912,297.03497,298.8762,296.97833,99706.56,1.9774903,193.02435,-1.8085555,-1.2553929
2015-01-28,302.06473,297.60004,299.2296,296.88995,99739.586,5.518971,217.61328,-1.9204106,-1.1343578
2015-01-29,300.98337,297.028,298.78357,296.8605,99812.87,4.8934913,196.79167,-3.0775921,-1.1548619
2015-01-30,301.17883,296.34973,298.7688,295.9351,99977.88,2.484454,213.22333,-2.285146,-2.4857848
2015-01-31,301.50824,296.8754,298.67868,294.42224,100038.6,2.5022178,234.75679,-2.6590703,-3.7735786
2015-02-01,299.95673,296.7942,298.15283,295.36716,100080.18,7.5906253,202.69585,-3.8418577,-4.682916
2015-02-02,299.22284,297.11847,297.96133,293.83524,100212.055,2.3288977,78.38961,-3.186926,-4.657909
2015-02-03,300.31732,295.7045,297.9756,294.49933,100174.53,2.6241746,180.57523,-2.9757826,-3.4761925
2015-02-04,301.37195,296.5156,298.54776,293.49478,100049.47,0.8940082,234.1662,-3.4285734,-1.8941127
2015-02-05,301.99228,295.26776,298.48477,293.8627,100014.13,0.018341467,268.83176,-2.5570176,-1.4099398
2015-02-06,301.74268,295.71936,298.5618,294.71283,100027.22,0.6265622,259.29895,-2.7262428,-1.5556402
2015-02-07,300.58673,296.23132,298.2505,295.52643,99980.34,3.483193,213.57631,-3.1247432,-0.27907118
2015-02-08,300.09518,296.88898,298.0748,295.985,99965.27,4.5526977,207.19786,-1.9004842,-0.19672395
2015-02-09,300.51865,296.66663,298.33295,296.27762,99930.9,7.1873236,202.17317,-0.530331,-1.1375998
2015-02-10,301.98233,296.97086,298.90466,295.84915,99757.94,2.723502,246.21776,-0.24742301,-2.21478
2015-02-11,301.66885,296.9939,299.10654,296.3762,99684.41,2.9074214,237.40347,-0.9155497,-0.84111303
