day,tmmx,tmmn,t2m_mean,d2m_mean,sp_mean,pr,srad,u10_mean,v10_mean
2006-01-01,255.74829,242.48204,248.34099,244.96417,98649.875,-2.2351742e-05,62.396446,1.3360701,-1.3850904
2006-01-02,253.29478,244.0824,250.68488,246.77238,98216.53,0.33843517,54.23216,-0.3207414,-0.8595752
2006-01-03,261.02356,252.4742,257.88538,254.47864,97558.13,0.27215296,39.418564,1.6974934,-4.621696
2006-01-04,256.86234,248.04318,252.50171,248.36433,97596.836,0.07110648,53.3587,4.3445177,-5.1617866
2006-01-05,252.51927,243.3608,247.92279,244.02986,97812.01,0.011966564,62.874863,2.8764727,-2.7855797
2006-01-06,252.85434,241.48595,246.20528,243.12871,97824.56,0.0023711473,63.388935,1.39948,-1.61666
2006-01-07,252.6577,241.68257,245.539,241.47119,97988.97,0.01584366,55.386944,0.31778714,-1.4762878
2006-01-08,254.88339,244.62077,251.64967,247.93047,98256.086,4.966676,44.28356,1.7860659,-2.76159
2006-01-09,256.1863,253.01128,254.53351,251.91008,98492.914,4.7922955,29.54103,3.8795526,-3.1189897
2006-01-10,256.40207,246.92467,251.32469,248.43929,98695.49,0.24538301,56.934914,3.232497,-2.4720733
2006-01-11,255.60626,247.05328,250.31474,245.88483,98866.65,0.005040318,57.310535,2.189164,-2.882656
2006-01-12,255.01952,246.36337,250.36559,246.42552,99233.65,0.18030033,55.569717,3.7362626,-3.6674583
2006-01-13,258.97748,248.80952,253.71313,249.65727,99042.23,1.2188778,71.39269,-0.092322476,0.76891804
2006-01-14,264.45505,249.041,256.92007,254.72304,98361.98,2.0731912,34.878223,1.4189781,-0.65356153
2006-01-15,258.0206,248.92972,253.28032,249.37413,98267.09,0.6955117,74.054535,-0.16072579,0.52724725
2006-01-16,262.7485,255.89824,258.99722,256.48773,96952.375,10.103786,27.11291,4.592262,-3.3320315
2006-01-17,260.2039,258.16568,259.45694,256.30927,97507.9,1.7400756,55.010464,7.1071906,-6.2423954
2006-01-18,259.6024,257.84125,258.67746,255.40198,97260.65,1.7438512,51.230278,6.766596,-6.6303864
2006-01-19,257.94684,252.09947,255.68762,251.20815,97448.18,0.4445892,72.12661,6.501653,-6.4139524
2006-01-20,254.59647,248.27087,250.87708,246.73967,97348.24,0.061243773,79.24931,4.266524,-3.665579
2006-01-21,253.99368,247.3486,250.49506,246.88853,97107.51,0.27664566,64.66944,2.0129979,-2.1273499
2006-01-22,256.278,247.35152,250.58556,247.32149,97128.54,0.13098493,69.1403,1.9469714,-1.8608093
2006-01-23,262.4349,252.72261,260.8162,256.84454,97312.59,0.58440304,76.30975,4.024317,-5.4337654
2006-01-24,262.05338,257.4765,259.42307,255.73705,97482.87,0.42952037,52.90387,5.9557643,-5.7856584
2006-01-25,259.37897,257.3839,258.14426,254.87328,97259.18,0.637874,64.24526,5.778992,-5.2878385
2006-01-26,262.3411,258.2176,260.28525,257.23364,96819.34,1.9114594,57.594746,6.138632,-6.417134
2006-01-27,266.02304,262.62323,265.2186,262.12415,97397.15,0.6881691,58.698788,3.8506691,-5.801823
2006-01-28,265.39996,253.54668,260.14468,257.06802,98552.15,0.030670315,77.66626,3.4292848,-3.7488897
2006-01-29,262.77246,254.56084,258.50064,255.4278,98751.23,0.8329544,90.878944,0.14861652,0.18465
2006-01-30,264.79288,256.20502,260.83835,258.7117,98195.56,4.4832325,44.23025,2.5442908,-2.2930744
2006-01-31,258.63617,252.39941,255.41866,252.28624,98292.09,0.23104809,82.745186,3.849119,-1.8649598
2006-02-01,257.03528,243.93283,250.07951,246.87685,98392.66,0.045809895,88.6228,2.161815,-1.1698705
2006-02-02,260.54697,247.71509,254.11714,251.17851,97462.02,1.3810675,95.48152,2.6751804,-2.4930189
2006-02-03,263.66638,255.05463,260.1692,256.91757,97681.66,0.94218737,62.601334,3.8558915,-6.3698764
2006-02-04,256.39105,247.92583,252.15178,248.31084,98225.78,0.023454428,102.10353,4.253075,-4.399043
2006-02-05,255.09938,244.93729,249.73808,246.50514,98472.94,0.30200928,81.26693,3.293504,-3.092448
2006-02-06,256.8347,244.66792,249.30945,245.82603,98547.875,0.0,108.920235,2.455079,-1.0850705
2006-02-07,257.7439,244.00104,249.16676,245.6568,98298.66,-2.2351742e-05,111.35471,1.7009038,-1.5743574
2006-02-08,257.8296,244.60042,249.35799,246.37679,97752.31,0.013966113,112.17236,1.414597,-1.4098417
2006-02-09,256.28503,242.99084,249.43158,246.43188,97547.98,0.08450821,89.05834,1.3021485,-1.5182103
2006-02-10,254.76329,241.63423,247.2512,243.27753,97355.41,0.010127202,116.4595,1.0057214,-1.0160776
2006-02-11,252.03487,245.13109,249.3426,245.03056,97211.99,0.061878935,117.067566,4.300533,-3.4619474
2006-02-12,254.9501,241.89644,248.31464,243.81834,96968.805,0.009564683,124.02245,2.5129962,-1.2079974
2006-02-13,258.03326,244.50645,250.4926,246.53484,97368.34,0.0014249235,123.18437,2.3980632,-1.0881932
2006-02-14,261.17706,250.1691,257.01196,253.03383,97342.21,2.3570917,115.29164,-0.3341994,0.68328243
2006-02-15,262.3885,250.66798,256.18863,252.9728,97495.086,0.3177691,105.77959,2.7375124,-0.6299806
2006-02-16,263.42636,254.10545,257.81137,252.73,97417.85,0.46478027,129.22829,1.3949078,-0.85706943
2006-02-17,259.3048,253.37332,255.64326,251.79933,96836.56,1.9603577,93.82048,6.4604325,-5.7546477
2006-02-18,257.02725,246.29163,253.81169,250.83205,97805.805,1.2585987,88.896065,3.5185778,-2.934119
2006-02-19,260.35648,248.77257,253.94588,249.65166,98471.62,0.0040978193,132.20988,1.533038,0.68330306
2006-02-20,271.8384,257.44186,267.6813,263.47342,98005.51,0.027919188,118.214294,1.1797539,1.6909345
2006-02-21,268.64365,265.13043,266.70703,262.42957,98617.555,3.4703221,111.617455,-1.1674472,0.8756563
2006-02-22,271.6756,256.512,264.59378,262.86087,97895.6,2.4123993,65.14194,2.019556,-1.1761028
2006-02-23,261.04266,249.35742,254.47627,251.29144,98365.65,0.060064718,143.84189,2.0257652,-0.26362965
2006-02-24,260.12482,244.4593,252.11546,247.59111,99120.37,0.01706928,149.51942,2.0490148,0.9345329
2006-02-25,260.7968,251.33124,256.2454,251.09743,99563.56,1.8110852,150.22798,0.56168944,1.3347961
2006-02-26,267.3482,261.09393,265.532,264.2123,98018.6,17.377348,58.969406,-2.0376074,-1.2696066
2006-02-27,268.32834,257.13583,260.2579,256.8536,96956.51,6.5707574,63.36108,7.718907,-6.0921807
2006-02-28,261.1327,250.65288,256.21194,250.93462,98352.94,0.0077132136,164.39032,3.9818418,-0.9225845
2006-03-01,264.39545,250.57552,256.91806,251.44165,98305.72,0.0,166.31772,1.345339,-0.20557058
2006-03-02,265.12656,253.04684,259.33582,254.5694,97501.41,0.040220097,153.49919,0.24699843,-1.8907628
2006-03-03,263.19376,249.242,255.45717,252.48058,97853.62,0.018732622,161.56348,1.8593644,-1.3900717
2006-03-04,262.01566,252.43225,257.23132,254.01678,98313.47,0.056020916,161.72491,-0.32856146,0.55029774
2006-03-05,264.78165,256.41803,260.76944,257.74176,98273.69,0.844093,150.88129,-0.1762066,0.44355533
2006-03-06,266.59586,258.70642,263.62186,260.45834,97580.875,3.2007377,108.16003,1.3753781,-5.092034
2006-03-07,262.0454,249.90442,255.58788,251.69075,98461.12,0.0063907355,179.24602,1.9755057,-1.5862504
2006-03-08,263.19116,248.76225,255.26851,251.1191,98673.87,0.0039562583,173.38126,0.6990061,-0.16286765
2006-03-09,263.98523,254.26295,258.54422,254.53047,99018.76,0.6864909,173.93298,0.27204275,0.6073414
2006-03-10,266.56906,263.1295,265.1167,263.10275,98601.164,7.953994,116.14645,-1.4608928,-0.2594779
2006-03-11,269.36218,266.71344,268.58,266.60495,97059.79,7.981102,97.082146,-2.0039504,-2.0296452
2006-03-12,269.22964,260.4624,263.95035,261.2896,95331.28,8.668409,90.69042,4.483312,-5.2390084
2006-03-13,262.86734,258.46115,261.02817,257.0908,95608.625,1.1679977,166.23907,6.0741386,-5.2940707
2006-03-14,264.71863,253.26208,259.4834,254.5392,96040.13,0.06906502,179.99481,3.257017,-0.15242021
2006-03-15,267.75906,253.87628,260.08377,255.9648,96607.0,0.2438575,174.2985,1.68263,-0.016308855
2006-03-16,270.5264,263.06616,266.41458,262.90747,97259.16,4.7536025,197.1904,-0.879028,1.8569579
2006-03-17,271.55627,263.58377,267.55228,264.74368,97171.01,1.6549677,143.01178,4.456798,-3.3144293
2006-03-18,269.0903,264.78085,266.86038,263.75314,97446.19,3.7821586,159.49138,-0.8089714,-0.5757146
2006-03-19,269.5639,265.11276,266.56677,264.40405,96817.375,9.636566,97.39362,-2.7774782,-3.535595
2006-03-20,271.34662,268.85498,270.14728,267.90802,96254.74,9.980209,95.0565,0.79535776,-6.6101565
2006-03-21,268.95126,265.36453,266.72815,263.95044,96122.44,3.7690196,126.8801,6.374659,-6.6244903
