site,composition,frac_TREES_NE,frac_GRASS_NAT,RMSE,MAE,MAPE,R2,Pearson_r,frac_TREES_BD
evergreen,100_forest,1.0,0.0,0.48538505830584583,0.42411791483561195,13.874198715020194,0.8319339123672962,0.9311711487062407,
evergreen,75_forest_25_grass,0.75,0.25,0.48538505830584583,0.42411791483561195,13.874198715020194,0.8319339123672962,0.9311711487062407,
evergreen,50_forest_50_grass,0.5,0.5,0.48538505830584583,0.42411791483561195,13.874198715020194,0.8319339123672962,0.9311711487062407,
evergreen,25_forest_75_grass,0.25,0.75,0.48538505830584583,0.42411791483561195,13.874198715020194,0.8319339123672962,0.9311711487062407,
evergreen,100_grass,0.0,1.0,0.48538505830584583,0.42411791483561195,13.874198715020194,0.8319339123672962,0.9311711487062407,
mixed_forest_grass,100_forest,,0.0,0.3351547604665795,0.17390653888384502,21.914187786012548,0.9293520529245761,0.968777486169642,1.0
mixed_forest_grass,75_forest_25_grass,,0.25,0.3351547604665795,0.17390653888384502,21.914187786012548,0.9293520529245761,0.968777486169642,0.75
mixed_forest_grass,50_forest_50_grass,,0.5,0.3351547604665795,0.17390653888384502,21.914187786012548,0.9293520529245761,0.968777486169642,0.5
mixed_forest_grass,25_forest_75_grass,,0.75,0.3351547604665795,0.17390653888384502,21.914187786012548,0.9293520529245761,0.968777486169642,0.25
mixed_forest_grass,100_grass,,1.0,0.3351547604665795,0.17390653888384502,21.914187786012548,0.9293520529245761,0.968777486169642,0.0
