RMSE,MAE,MAPE,R2,Pearson_r,site,condition,n_pft_cols
0.48497528588003413,0.4259299039840698,14.023498028235293,0.8322175625414089,0.9301318368294188,evergreen,baseline,0
0.48538505830584583,0.42411791483561195,13.874198715020194,0.8319339123672962,0.9311711487062407,evergreen,fractional,3
0.48538505830584583,0.42411791483561195,13.874198715020194,0.8319339123672962,0.9311711487062407,evergreen,dominant,3
0.05798825240361645,0.03961034599277708,17.942831814710594,0.5416799992623276,0.7595571247437727,low_amplitude,baseline,0
0.05945507411326676,0.03896336704492569,17.704113928841668,0.5182001966408871,0.7483706589657554,low_amplitude,fractional,3
0.05896316775357606,0.03895321869187885,17.64582456617278,0.5261396356194034,0.7506843730044651,low_amplitude,dominant,3
0.3721988211861941,0.24591153462727863,14.14267142557658,0.9653603418801935,0.9835379991717739,high_amplitude_deciduous,baseline,0
0.3667198280979518,0.24737301137712267,14.027738143110183,0.9663726692776377,0.9838886458945717,high_amplitude_deciduous,fractional,3
0.3683072743914977,0.24850728776719835,14.323139092533859,0.9660809091067984,0.9838911909059297,high_amplitude_deciduous,dominant,3
0.3258699738485807,0.1736695693598853,23.00694535491063,0.9332121515335493,0.9705503978464686,mixed_forest_grass,baseline,0
0.3351547604665795,0.17390653888384502,21.914187786012548,0.9293520529245761,0.968777486169642,mixed_forest_grass,fractional,3
0.3351547604665795,0.17390653888384502,21.914187786012548,0.9293520529245761,0.968777486169642,mixed_forest_grass,dominant,3
