Site,PFT_composition,Mixed_pixel,Baseline_R2,Fractional_R2,Dominant_R2,Delta_R2_fractional,Delta_R2_dominant,Delta_R2_fractional_minus_dominant,Baseline_RMSE,Fractional_RMSE,Dominant_RMSE
evergreen,95% TREES_NE (near-pure),False,0.8322175625414089,0.8319339123672962,0.8319339123672962,-0.0002836501741126929,-0.0002836501741126929,0.0,0.4849752858800341,0.4853850583058458,0.4853850583058458
low_amplitude,84% GRASS_NAT / 16% TREES_NE (near-pure),False,0.5416799992623276,0.5182001966408871,0.5261396356194034,-0.02347980262144045,-0.015540363642924215,-0.007939438978516233,0.0579882524036164,0.0594550741132667,0.058963167753576
high_amplitude_deciduous,89% TREES_BD (near-pure),False,0.9653603418801936,0.9663726692776377,0.9660809091067984,0.0010123273974440572,0.0007205672266048513,0.0002917601708392059,0.3721988211861941,0.3667198280979518,0.3683072743914977
mixed_forest_grass,50% TREES_BD / 50% GRASS_NAT (mixed),True,0.9332121515335492,0.929352052924576,0.929352052924576,-0.0038600986089731837,-0.0038600986089731837,0.0,0.3258699738485807,0.3351547604665795,0.3351547604665795
