,tmmx,tmmn,pr,srad,vpd,sph,vs
2021-03-03,289.8269,281.867,21.336079,100.019264,0.19336212,0.007583327,1.982962
2021-03-04,296.02872,279.9987,0.0,249.92075,0.63015085,0.005851221,1.7249444
2021-03-05,294.99628,280.57983,0.0,244.83112,0.761744,0.0052148583,1.5946696
2021-03-06,289.61844,284.37582,3.8542747,95.424446,0.5127548,0.00611901,3.6919303
2021-03-07,291.88104,278.38785,0.0,261.1378,0.70487577,0.00387399,3.1038136
2021-03-08,291.83984,276.46628,0.0,262.98148,0.738536,0.003394962,2.6702085
2021-03-09,295.37076,276.7691,0.0,255.34074,0.6132444,0.0048175873,2.0883152
2021-03-10,296.96063,280.193,0.0,239.93777,0.621719,0.0066807657,2.685486
2021-03-11,298.5735,279.8555,0.0,241.66147,0.68655527,0.007349159,2.4747212
2021-03-12,300.48322,282.9793,0.0,244.80667,0.8121921,0.008227898,1.3041341
2021-03-13,302.23547,284.92694,0.0,243.23555,0.9180466,0.008727653,1.1526875
2021-03-14,302.4277,285.82712,0.0,251.68591,0.9566369,0.0091438405,1.1821742
2021-03-15,302.3727,285.67062,0.00047683716,210.3437,0.9604199,0.009444861,0.89546955
2021-03-16,301.99017,289.6236,0.19836426,180.52222,0.8592372,0.010870554,2.5301685
2021-03-17,303.2052,290.74738,0.045776367,213.64742,0.91853297,0.011690231,2.6282666
2021-03-18,298.78333,290.30402,4.4727325,130.48445,0.5181246,0.012657065,4.3129787
2021-03-19,294.68237,283.15854,0.0,269.71924,0.76154697,0.0067718555,3.1404555
2021-03-20,290.70215,283.7264,0.088214874,71.845184,0.57294405,0.005670447,3.6683986
2021-03-21,288.5235,281.59045,1.0313988,35.52815,0.24847257,0.006681189,4.2652106
2021-03-22,296.52792,287.66577,0.02670288,167.97556,0.6595013,0.008293919,4.3017154
2021-03-23,299.87164,286.34473,0.0019073486,189.3837,0.6662632,0.008831471,2.2043474
2021-03-24,301.76587,286.32797,0.0014305115,239.61111,0.81006205,0.009404936,1.4518849
