step,train_loss,val_loss,val_r2,lr,arch,n_params
0,0.4266637712717056,0.34684757391611737,0.8318122625350952,0.001,low_rank,12600
20,0.42189839482307434,0.3465285698572795,0.832139273484548,0.001,low_rank,12600
40,0.41533125936985016,0.34669437011082965,0.8319024443626404,0.001,low_rank,12600
60,0.41446617245674133,0.3468637267748515,0.8317981561024984,0.001,low_rank,12600
80,0.3794438987970352,0.34710693359375,0.8312501112620035,0.001,low_rank,12600
100,0.38917775452136993,0.3470553954442342,0.831594189008077,0.001,low_rank,12600
120,0.38630586862564087,0.34730971852938336,0.8316548466682434,0.001,low_rank,12600
140,0.4010605961084366,0.34713805715243023,0.8313439687093099,0.001,low_rank,12600
160,0.41548027098178864,0.3468666772047679,0.8319030404090881,0.001,low_rank,12600
180,0.3950047045946121,0.3471409281094869,0.8315335512161255,0.001,low_rank,12600
199,0.397637277841568,0.3476836681365967,0.8311027685801188,0.001,low_rank,12600
0,0.4266637712717056,0.34671420852343243,0.8320183555285136,0.003,low_rank,12600
20,0.42237214744091034,0.3469785849253337,0.8309561014175415,0.003,low_rank,12600
40,0.41389405727386475,0.3467797040939331,0.8318408330281576,0.003,low_rank,12600
60,0.41399699449539185,0.3476748764514923,0.8313228289286295,0.003,low_rank,12600
80,0.37878556549549103,0.34683268268903095,0.8314856886863708,0.003,low_rank,12600
100,0.3878926783800125,0.34828856587409973,0.8311649362246195,0.003,low_rank,12600
120,0.3852177858352661,0.34766804178555805,0.830369790395101,0.003,low_rank,12600
140,0.3987417072057724,0.3477331300576528,0.8312796751658121,0.003,low_rank,12600
160,0.41645219922065735,0.34686894218126935,0.8320626815160116,0.003,low_rank,12600
180,0.3948816806077957,0.3482562303543091,0.830835243066152,0.003,low_rank,12600
199,0.3993908613920212,0.34759868184725445,0.8311415513356527,0.003,low_rank,12600
