site,mode,RMSE,MAE,MAPE,R2,Pearson_r
low_amplitude,zero_shot,0.05798825404224901,0.03961034377777779,17.942831675502845,0.5416799875862217,0.759557149698769
low_amplitude,finetuned_lora,0.06751897857587721,0.053029238666666687,20.614347498583065,0.3786440196154559,0.6486294789261391
low_amplitude,finetuned_lora_improved,0.06057836065315986,0.04522162222222223,20.420023548260993,0.4998229184180779,0.7429335918642022
high_amplitude_deciduous,zero_shot,0.3721987431301843,0.24591151533333327,14.142675319369873,0.9653603564373047,0.9835380035697843
high_amplitude_deciduous,finetuned_lora,0.43916125671747425,0.28643596111111114,16.053847401772376,0.9517750652763066,0.9764204484051122
high_amplitude_deciduous,finetuned_lora_improved,0.4812707344815768,0.3076096411111111,16.23790126859138,0.9420834722141781,0.9716519781171609
evergreen,zero_shot,0.48497519383081644,0.42592981111111106,14.023496376984667,0.8322176237717063,0.9301318480116635
evergreen,finetuned_lora,0.6352008715871983,0.5305042355555555,16.529617174687004,0.7121743719942139,0.8781962752206625
evergreen,finetuned_lora_improved,0.48899724744794243,0.4257851888888889,13.857148031838145,0.829423138566686,0.93200599867168
