site,lat,lon,date,raw_ground_truth,AELSTM,BiLSTM,LSTM,GRU,RNN,CNN,RF,SVM,Chronos-2 (zero-shot),Chronos-2 (LoRA fine-tuned)
low_amplitude,37.525000000000006,-117.55833330000002,2022-01-01,0.1806760282590775,0.2225928900453229,0.1748799312946333,0.2262674987320455,0.2260103523294395,0.2147195013805141,0.1895000084781577,0.1676136667994091,0.1644673602534688,0.18046801,0.15039062
low_amplitude,37.525000000000006,-117.55833330000002,2022-01-09,0.1806760282590775,0.1781353393654549,0.1460901888556835,0.1788316373979572,0.206479009354151,0.2089509358721318,0.1834196356104643,0.1428102337493952,0.1550361244173557,0.18789679,0.15332031
low_amplitude,37.525000000000006,-117.55833330000002,2022-01-17,0.1854011402287052,0.1603645719443663,0.1561356802236719,0.16057478377765,0.1960389900654351,0.2094857618164158,0.1891332814398852,0.1729829629597946,0.1710867058825078,0.19538909,0.15332031
low_amplitude,37.525000000000006,-117.55833330000002,2022-01-25,0.1076240653357798,0.1732193342523585,0.1835091417510586,0.1615421227739346,0.2115295030001387,0.2282296600843004,0.1947743321561951,0.2089189925774891,0.199922605511059,0.20785081,0.16894531
low_amplitude,37.525000000000006,-117.55833330000002,2022-02-02,0.1854011402287052,0.2126663521147422,0.2160398198551769,0.1951292873318036,0.2467175879598351,0.2474758323325792,0.2187667994775078,0.2272539156593939,0.2282394005377004,0.21434543,0.18457031
low_amplitude,37.525000000000006,-117.55833330000002,2022-02-10,0.1854011402287052,0.2508081161938442,0.2522936758695962,0.2469110416469689,0.2750953740060616,0.26558045142523,0.2547698242643965,0.2546325913674023,0.2536700660407277,0.21395594,0.19921875
low_amplitude,37.525000000000006,-117.55833330000002,2022-02-18,0.2038120326678899,0.2671216481461997,0.2757085692738144,0.2795259808859392,0.2840153529983157,0.2677028088945754,0.2799098306335409,0.2675049310396047,0.2686701389237174,0.2231485,0.203125
low_amplitude,37.525000000000006,-117.55833330000002,2022-02-26,0.2806760282590776,0.2836764033222931,0.2893656351787967,0.2888416520490742,0.2913317126452046,0.2767424822106986,0.2906406654984959,0.2689175635272831,0.2784362578905742,0.2421751,0.20898438
low_amplitude,37.525000000000006,-117.55833330000002,2022-03-06,0.2076240653357798,0.2972342257217604,0.3015531704278182,0.3005396612688779,0.3039772568485795,0.2933025176728421,0.302224107799147,0.274993104132837,0.2940686689202512,0.2625284,0.21972656
low_amplitude,37.525000000000006,-117.55833330000002,2022-03-14,0.2854011402287053,0.3095059162647108,0.3154911263824779,0.3162185592865114,0.3193015172133736,0.3105345253953398,0.312496063462159,0.2829801916955207,0.3127718367519669,0.27934766,0.22851562
low_amplitude,37.525000000000006,-117.55833330000002,2022-03-22,0.30381203266789,0.3191504469358708,0.3286040876222553,0.3307142969056548,0.3336077054994335,0.3249535636255783,0.3285255771775558,0.3025500366753385,0.3262352356066939,0.29576144,0.25195312
low_amplitude,37.525000000000006,-117.55833330000002,2022-03-30,0.30381203266789,0.3281233346295482,0.3393723901739706,0.3427815263054738,0.3458737276729492,0.3353617012762504,0.3393620648039218,0.3435852012986337,0.3347474357340679,0.30745292,0.265625
low_amplitude,37.525000000000006,-117.55833330000002,2022-04-07,0.3076240653357799,0.3358372798238305,0.3469822114201749,0.3521035949644022,0.3565486550103277,0.340804323782043,0.3519218308192143,0.3420974972439814,0.3374941049045863,0.3219924,0.28320312
low_amplitude,37.525000000000006,-117.55833330000002,2022-04-15,0.2123491773054076,0.3468770290628664,0.3565929670767788,0.3615556362768384,0.3654704097780685,0.3515887141540622,0.364535293462802,0.3565414555054781,0.3415860027959047,0.33030057,0.3046875
low_amplitude,37.525000000000006,-117.55833330000002,2022-04-23,0.3844880609269675,0.3576931011511858,0.3659337578189848,0.370382228294653,0.3714896065922378,0.3598798451820544,0.3737178402649428,0.361561653239166,0.3503724470958557,0.34706947,0.32617188
low_amplitude,37.525000000000006,-117.55833330000002,2022-05-01,0.3844880609269675,0.3680897139013478,0.3732717560545865,0.3770564393012832,0.374779659925205,0.3646945722918926,0.3764785713816246,0.3698741324456374,0.3607372380973359,0.35396686,0.33398438
low_amplitude,37.525000000000006,-117.55833330000002,2022-05-09,0.3844880609269675,0.3742880641179364,0.3779953658897795,0.3814648313474224,0.3764185242979465,0.3698120985224798,0.3799038658940471,0.3685846715260912,0.3654945464319212,0.3464405,0.27539062
