dropped_predictor,mean,std,min,max,count
srad,-0.02153110063729176,0.06684751265083853,-0.2694838087181807,0.0608928514927235,27
tmmn,-0.01669279116546254,0.03056633258871868,-0.1053781292115874,0.018394777225504977,27
tmmx,-0.014752926849375056,0.04198588401674632,-0.11323596410776737,0.10720440507756646,27
vpd,0.00011158695165150548,0.022005090652938267,-0.05860945370591408,0.0676274057579474,27
sph,0.001231081747360363,0.030196996896049974,-0.05252041657779627,0.11910188468048699,27
pr,0.006822045517637588,0.0437124778246543,-0.11082220793143921,0.1483127247031587,27
vs,0.008398550747564404,0.03902072826071206,-0.05252188895652332,0.1252275772851672,27
