site,model,predictor_set,n_predictors,predictors,RMSE,MAE,R2,Pearson_r,baseline_RMSE,baseline_MAE,baseline_R2,baseline_Pearson_r,delta_RMSE,delta_MAE,delta_R2,delta_Pearson_r
low_amplitude,AELSTM,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.0652620389534925,0.045424492039956,0.4194895829756576,0.7584262196369941,0.0682659543083499,0.0486522142443846,0.3648196232241565,0.748469280107476,-0.0030039153548574032,-0.0032277222044286014,0.054669959751501074,0.009956939529518039
low_amplitude,BiLSTM,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.065157482220288,0.047009032486237,0.4213481719141233,0.7128840781853077,0.0674278416300866,0.048399917624339,0.3803203172331794,0.7499036870676254,-0.0022703594097985974,-0.0013908851381019965,0.04102785468094394,-0.0370196088823177
low_amplitude,LSTM,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.0623196391400315,0.0420105645258515,0.4706552612429372,0.7518977359511075,0.0673323752265369,0.046312187995349,0.3820737979902373,0.7557326918867313,-0.005012736086505397,-0.004301623469497501,0.08858146325269994,-0.003834955935623774
low_amplitude,GRU,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.0614802896910621,0.0419575340582028,0.4848181533197992,0.7746277631025411,0.07182426568484,0.0524197067503477,0.2968772820944977,0.7690328789682764,-0.010343975993777905,-0.010462172692144896,0.1879408712253015,0.005594884134264677
low_amplitude,RNN,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.0625557652465585,0.0443398974110424,0.4666363385263373,0.7385411876433781,0.0671511547155583,0.0479464851796242,0.3853955345903801,0.7610653627473861,-0.004595389468999803,-0.0036065877685818037,0.08124080393595717,-0.02252417510400806
low_amplitude,CNN,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.069171149589072,0.0495191105919345,0.3478631699593597,0.7479346909660027,0.0703073903552575,0.0500926905721079,0.3262625358479764,0.7542434802255028,-0.0011362407661855006,-0.0005735799801733985,0.0216006341113833,-0.006308789259500069
low_amplitude,RF,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.0601229323083837,0.0440991265128854,0.5073153307062758,0.7453973098301984,0.0651450906521918,0.0461671385848436,0.4215682455406119,0.7197717509832838,-0.005022158343808106,-0.0020680120719581974,0.08574708516566387,0.02562555884691453
low_amplitude,SVM,drop_least_important_pair,5,"tmmx,tmmn,srad,vpd,sph",0.0610087849263848,0.048187918150408,0.4926899194093073,0.717752833132867,0.0626703044119784,0.0464279797608894,0.4646813801933673,0.718749904286346,-0.0016615194855936072,0.0017599383895186005,0.028008539215939987,-0.0009970711534790233
low_amplitude,AELSTM,no_moisture,5,"tmmx,tmmn,pr,srad,vs",0.06818506205404,0.0475689539071584,0.36632405485009,0.7535811484959041,0.0682659543083499,0.0486522142443846,0.3648196232241565,0.748469280107476,-8.089225430990554e-05,-0.001083260337226201,0.0015044316259335,0.005111868388428031
low_amplitude,BiLSTM,no_moisture,5,"tmmx,tmmn,pr,srad,vs",0.0672185864915909,0.0470953843003688,0.3841605691049162,0.7661841197650133,0.0674278416300866,0.048399917624339,0.3803203172331794,0.7499036870676254,-0.00020925513849569255,-0.0013045333239701945,0.0038402518717368106,0.01628043269738788
low_amplitude,LSTM,no_moisture,5,"tmmx,tmmn,pr,srad,vs",0.0676237586702556,0.0469799227824831,0.3767140269069916,0.7663841088838618,0.0673323752265369,0.046312187995349,0.3820737979902373,0.7557326918867313,0.00029138344371869296,0.0006677347871340972,-0.005359771083245701,0.010651416997130458
low_amplitude,GRU,no_moisture,5,"tmmx,tmmn,pr,srad,vs",0.0717926281980622,0.0514427096317302,0.297496575203323,0.7594722176673988,0.07182426568484,0.0524197067503477,0.2968772820944977,0.7690328789682764,-3.163748677779965e-05,-0.000976997118617498,0.0006192931088253029,-0.009560661300877626
low_amplitude,RNN,no_moisture,5,"tmmx,tmmn,pr,srad,vs",0.070156690994667,0.0568022734840452,0.3291476661621692,0.6978045146333565,0.0671511547155583,0.0479464851796242,0.3853955345903801,0.7610653627473861,0.0030055362791086976,0.008855788304420999,-0.056247868428210945,-0.06326084811402966
