step,train_loss,val_loss,lr
0,0.353764608502388,0.3527023196220398,0.001
10,0.3525875061750412,0.35772085189819336,0.001
20,0.3428713083267212,0.3593524098396301,0.001
30,0.3425883501768112,0.3605717718601227,0.001
40,0.33489516377449036,0.36078566312789917,0.001
50,0.33035753667354584,0.36129793524742126,0.001
60,0.32850171625614166,0.36141881346702576,0.001
70,0.3269101232290268,0.36316996812820435,0.001
80,0.32370899617671967,0.36359721422195435,0.001
90,0.3252253532409668,0.3644404709339142,0.001
100,0.3233102709054947,0.3645581901073456,0.001
110,0.31895187497138977,0.3676503598690033,0.001
120,0.3239579051733017,0.3702695667743683,0.001
130,0.31584466993808746,0.3729396164417267,0.001
140,0.3100913166999817,0.37360602617263794,0.001
149,0.3137839436531067,0.37210774421691895,0.001
0,0.35534869134426117,0.3591102957725525,0.003
10,0.34043674170970917,0.36076945066452026,0.003
20,0.3339198976755142,0.3645164966583252,0.003
30,0.3313969224691391,0.36541345715522766,0.003
40,0.3190815597772598,0.3674792945384979,0.003
50,0.3138105422258377,0.37297961115837097,0.003
60,0.3110252916812897,0.3758433163166046,0.003
70,0.30908480286598206,0.3769073784351349,0.003
80,0.3053315579891205,0.3795701265335083,0.003
90,0.3015405684709549,0.3827778398990631,0.003
100,0.2998724430799484,0.3821854889392853,0.003
110,0.2965222895145416,0.38678833842277527,0.003
120,0.2955053597688675,0.38340502977371216,0.003
130,0.2938860058784485,0.3890434801578522,0.003
140,0.28955982625484467,0.3859264850616455,0.003
149,0.2882464975118637,0.3864315152168274,0.003
0,0.35487498342990875,0.4040181338787079,0.01
10,0.342495322227478,0.36286550760269165,0.01
20,0.33370183408260345,0.36491987109184265,0.01
30,0.32130199670791626,0.3708147704601288,0.01
40,0.3137030005455017,0.3780745267868042,0.01
50,0.30502162873744965,0.3818439543247223,0.01
60,0.2938217520713806,0.3856525123119354,0.01
70,0.28763750195503235,0.3942059576511383,0.01
80,0.28524191677570343,0.4014674127101898,0.01
90,0.2761675864458084,0.39565712213516235,0.01
100,0.27600711584091187,0.39425551891326904,0.01
110,0.2687314450740814,0.40203845500946045,0.01
120,0.2626568675041199,0.399020254611969,0.01
130,0.2643156349658966,0.40015435218811035,0.01
140,0.26028573513031006,0.40461066365242004,0.01
149,0.25774210691452026,0.4150921106338501,0.01
