RMSE,MAE,MAPE,R2,Pearson_r,ACC,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.1393892483001046,0.1129810871637385,16.513927583797265,0.9137863850355132,0.9580811492873332,0.3627294857010398,px026_trees_nd,zero_shot,2012,2000,12,543,46,0.0
0.2204398475991054,0.1777927068912464,20.25995768318279,0.8163993850731842,0.9462598727822736,0.2924517994348055,px026_trees_nd,zero_shot,2013,2001,12,549,46,0.0
0.156355709417525,0.1185244963220928,19.42721039808729,0.8867797741318731,0.9465263745668292,0.1085520096742397,px026_trees_nd,zero_shot,2014,2002,12,551,46,0.0
0.1491120832182871,0.1222424941218417,14.387532966042253,0.8215568032165764,0.941658989780399,0.5969054520912527,px026_trees_nd,zero_shot,2015,2003,12,552,46,0.0
0.236525649185271,0.1803732633590698,17.233249345255107,0.7242602507777451,0.9302473406203104,0.0928720011052445,px026_trees_nd,zero_shot,2016,2004,12,552,45,0.0
0.1303462438579833,0.1017683848090793,44.26375221127219,0.9391580954214824,0.9850722775670804,0.7193817040841469,px026_trees_nd,zero_shot,2017,2005,12,551,46,0.0
0.1884569522400317,0.145756017902623,17.140707728422107,0.7668599155756851,0.9052440183797764,-0.05183015250347,px026_trees_nd,zero_shot,2018,2006,12,551,46,0.0
0.1738814455781357,0.143026135213997,47.5883265489942,0.8921694469456741,0.975344162700834,0.405134368102667,px026_trees_nd,zero_shot,2019,2007,12,551,46,0.0
0.1046478787382946,0.0821445798096449,10.64312857235529,0.9360244292231306,0.9761350712514284,0.5665654869373425,px026_trees_nd,zero_shot,2020,2008,12,551,46,0.0
0.1257272289017563,0.0989633273819218,12.44191058996244,0.8903178928207894,0.9663786552160358,0.3917434308569236,px026_trees_nd,zero_shot,2021,2009,12,551,46,0.0
0.1359981908603341,0.1103144364224539,13.787811175695245,0.9173170668091248,0.975455441623602,0.4458298948646883,px026_trees_nd,zero_shot,2022,2010,12,551,45,0.0
