RMSE,MAE,MAPE,R2,Pearson_r,pixel_id,condition,experiment,dominant_pft,pft_purity,pft_entropy
0.4849752981432197,0.4259299013349745,14.023496186035024,0.8322175540562458,0.9301318439700446,evergreen,baseline,expA_temporal,TREES_NE,0.949999988079071,0.1985152661800384
0.0579882508028149,0.0396103440059555,17.942830481804776,0.5416800245667399,0.7595571422709256,low_amplitude,baseline,expA_temporal,GRASS_NAT,0.8399999737739563,0.4396699070930481
0.3721988135051191,0.2459115611182318,14.142672449192572,0.9653603433099122,0.9835379971719724,high_amplitude_deciduous,baseline,expA_temporal,TREES_BD,0.8899999856948853,0.3465153276920318
0.3258698328784876,0.1736694660451677,23.00693410896396,0.933212209317868,0.9705504377580432,mixed_forest_grass,baseline,expA_temporal,TREES_BD,0.5,0.6931471824645996
0.321683285981233,0.2216112501091427,30.4239716635112,0.8268527322712884,0.9183946245603896,px004_trees_ne,baseline,expA_temporal,TREES_NE,1.0,2.486791883526962e-10
0.2923393971942838,0.2197760606805483,52.37099736891406,0.905340532829625,0.9518463739298344,px005_trees_bd,baseline,expA_temporal,TREES_BD,1.0,2.486791883526962e-10
0.2856933101192535,0.217736311091317,22.858841294592,0.9431738367804686,0.9761244358752508,px006_trees_nd,baseline,expA_temporal,TREES_ND,1.0,2.486791883526962e-10
0.0362741231991371,0.0284482578436533,6.0205765205607005,0.908282741817374,0.9584493045955796,px007_shrubs_ne,baseline,expA_temporal,SHRUBS_NE,1.0,2.486791883526962e-10
0.1170893557116822,0.0942019893063439,15.421251309717782,0.17985251717463,0.722745434863612,px008_shrubs_bd,baseline,expA_temporal,SHRUBS_BD,0.9700000286102296,0.1347421407699585
0.2152708522722349,0.1780427277088165,27.072941613424984,0.3664995723564829,0.8671387905805564,px009_shrubs_nd,baseline,expA_temporal,SHRUBS_ND,1.0,2.486791883526962e-10
0.3795721938795528,0.3043806983364953,34.58417062065125,0.8975693050834983,0.949616756957463,px010_grass_nat,baseline,expA_temporal,GRASS_NAT,1.0,2.486791883526962e-10
0.2965344283984645,0.1895037353038788,18.50107451093997,0.5349989235023477,0.77833163340005,px011_grass_man,baseline,expA_temporal,GRASS_MAN,1.0,2.486791883526962e-10
0.1541727057107924,0.1249004550278186,40.398153650184845,0.9525199663481244,0.9763228976032582,px012_trees_nd,baseline,expA_temporal,TREES_ND,0.5,0.6931471824645996
0.2276357319781685,0.1490902271535661,42.79094748430746,0.926570518939244,0.9660380066288315,px013_grass_man,baseline,expA_temporal,GRASS_MAN,0.5099999904632568,0.6929471492767334
0.2392001131715366,0.1580116192913717,68.93323575585819,0.9501177493782564,0.9768040804455526,px014_grass_man,baseline,expA_temporal,GRASS_MAN,0.5199999809265137,0.6923469305038452
0.0691672425085315,0.0590880297952228,26.23126238020372,0.2970853251387649,0.6103483935785732,px015_shrubs_nd,baseline,expA_temporal,SHRUBS_ND,0.4799999892711639,0.9469139575958252
0.0522188274175404,0.045933543311225,9.988738718825331,0.7925945446587042,0.8944008692555242,px016_shrubs_ne,baseline,expA_temporal,SHRUBS_NE,0.5299999713897705,0.6913461089134216
0.1000090375542538,0.0781144589185714,19.54998344879357,0.4754802481935516,0.6996187125305348,px017_grass_man,baseline,expA_temporal,GRASS_MAN,0.532608687877655,0.6910190582275391
0.3244116209498711,0.2062260180711746,25.022081089596405,0.9100508535213124,0.956061871598426,px018_trees_nd,baseline,expA_temporal,TREES_ND,0.5400000214576721,0.6899437308311462
