Experiment,PFT_representation,Mean_R2,Median_R2,Std_R2,Mean_RMSE,Mean_MAE,Mean_Pearson_r,N_pixels,Delta_R2_vs_baseline
expA_temporal,baseline,0.765486855477387,0.904480186960969,0.3031685937389838,0.20499719122232332,0.1505132920042582,0.9029681737643531,70,0.0
expA_temporal,dominant,0.765775660656872,0.9046922796435584,0.3012881585369328,0.20480833163910567,0.15098697558477783,0.9027494912691514,70,0.00028880517948493
expA_temporal,fractional,0.7652930980867134,0.9056377206888515,0.3030279696429119,0.20479195740432155,0.1510314201192915,0.9027259754672794,70,-0.0001937573906736212
expB_spatial,baseline,0.8305333951143009,0.920001595762724,0.17971188483091438,0.22055635143423663,0.15811225191310593,0.9194144064028003,15,0.0
expB_spatial,dominant,0.8293832699443114,0.9207423402463156,0.18121326484518366,0.22076949367013288,0.15946683433320785,0.9194784357417088,15,-0.0011501251699894688
expB_spatial,fractional,0.8287903769587575,0.921225906584335,0.18240103677252067,0.22088018624225478,0.15986851133682112,0.9195058170291193,15,-0.001743018155543452
