pixel_id,experiment,dominant_pft,pft_purity,pft_entropy,baseline,dominant,fractional,delta_fractional_vs_baseline,delta_dominant_vs_baseline,delta_fractional_vs_dominant
evergreen,expA_temporal,TREES_NE,0.949999988079071,0.1985152661800384,0.8322175540562458,0.8325584771936398,0.8327778561295792,0.0005603020733334629,0.0003409231373940891,0.00021937893593937385
high_amplitude_deciduous,expA_temporal,TREES_BD,0.8899999856948853,0.3465153276920318,0.9653603433099122,0.9652037038661124,0.9651838402641448,-0.0001765030457673289,-0.00015663944379973316,-1.9863601967595734e-05
low_amplitude,expA_temporal,GRASS_NAT,0.8399999737739563,0.4396699070930481,0.5416800245667399,0.5440970059765577,0.542794924824543,0.001114900257803031,0.002416981409817831,-0.0013020811520148001
low_amplitude,expB_spatial,GRASS_NAT,0.8399999737739563,0.4396699070930481,0.5416799491594764,0.5412930002811915,0.5380049155747093,-0.0036750335847670623,-0.0003869488782848318,-0.0032880847064822305
mixed_forest_grass,expA_temporal,TREES_BD,0.5,0.6931471824645996,0.933212209317868,0.9334034362970044,0.9330392906300092,-0.00017291868785873632,0.0001912269791364274,-0.0003641456669951637
px004_trees_ne,expA_temporal,TREES_NE,1.0,2.486791883526962e-10,0.8268527322712884,0.8301932289084395,0.8301989365047998,0.003346204233511396,0.0033404966371510803,5.707596360315925e-06
px005_trees_bd,expA_temporal,TREES_BD,1.0,2.486791883526962e-10,0.905340532829625,0.9080364946174516,0.9081542478357688,0.002813715006143802,0.0026959617878266062,0.00011775321831719587
px005_trees_bd,expB_spatial,TREES_BD,1.0,2.486791883526962e-10,0.905340532499202,0.9068668906525748,0.9070075942133644,0.001667061714162421,0.0015263581533727644,0.00014070356078965673
px006_trees_nd,expA_temporal,TREES_ND,1.0,2.486791883526962e-10,0.9431738367804686,0.9431625064083564,0.943076742293071,-9.709448739758653e-05,-1.1330372112206e-05,-8.576411528538053e-05
px006_trees_nd,expB_spatial,TREES_ND,1.0,2.486791883526962e-10,0.943173825378118,0.9429024399970836,0.9428309268921604,-0.0003428984859575879,-0.0002713853810344391,-7.151310492314877e-05
px007_shrubs_ne,expA_temporal,SHRUBS_NE,1.0,2.486791883526962e-10,0.908282741817374,0.9055363120511964,0.9055193906697074,-0.0027633511476665706,-0.0027464297661775605,-1.6921381489010123e-05
px008_shrubs_bd,expA_temporal,SHRUBS_BD,0.9700000286102296,0.1347421407699585,0.17985251717463,0.1757260467260739,0.17618281480204,-0.0036697023725899836,-0.004126470448556102,0.00045676807596611857
px009_shrubs_nd,expA_temporal,SHRUBS_ND,1.0,2.486791883526962e-10,0.3664995723564829,0.3638336896841275,0.3645157333142691,-0.0019838390422137753,-0.002665882672355402,0.0006820436301416266
px010_grass_nat,expA_temporal,GRASS_NAT,1.0,2.486791883526962e-10,0.8975693050834983,0.8958946892653652,0.8958839826012709,-0.0016853224822274138,-0.0016746158181331072,-1.070666409430654e-05
px010_grass_nat,expB_spatial,GRASS_NAT,1.0,2.486791883526962e-10,0.8975693089405987,0.8961821342573955,0.8964699632500197,-0.0010993456905790122,-0.0013871746832032628,0.00028782899262425055
px011_grass_man,expA_temporal,GRASS_MAN,1.0,2.486791883526962e-10,0.5349989235023477,0.5387784671357687,0.5389537328675301,0.003954809365182443,0.003779543633421034,0.00017526573176140925
px012_trees_nd,expA_temporal,TREES_ND,0.5,0.6931471824645996,0.9525199663481244,0.951429730567622,0.9515087662422322,-0.0010112001058921738,-0.00109023578050238,7.903567461020611e-05
px013_grass_man,expA_temporal,GRASS_MAN,0.5099999904632568,0.6929471492767334,0.926570518939244,0.928358212820413,0.9284333083600682,0.0018627894208241846,0.0017876938811689502,7.509553965523441e-05
px013_grass_man,expB_spatial,GRASS_MAN,0.5099999904632568,0.6929471492767334,0.9265705439306788,0.9273590623967868,0.9279170999167816,0.001346555986102782,0.0007885184661079458,0.0005580375199948362
px014_grass_man,expA_temporal,GRASS_MAN,0.5199999809265137,0.6923469305038452,0.9501177493782564,0.9495356491273736,0.9496639900061308,-0.00045375937212566164,-0.0005821002508827888,0.00012834087875712719
px014_grass_man,expB_spatial,GRASS_MAN,0.5199999809265137,0.6923469305038452,0.9501177404845044,0.9491455515514938,0.94908972079408,-0.00102801969042432,-0.0009721889330105427,-5.58307574137773e-05
px015_shrubs_nd,expA_temporal,SHRUBS_ND,0.4799999892711639,0.9469139575958252,0.2970853251387649,0.2977995988505193,0.2990823469803415,0.001997021841576574,0.0007142737117544207,0.0012827481298221532
px016_shrubs_ne,expA_temporal,SHRUBS_NE,0.5299999713897705,0.6913461089134216,0.7925945446587042,0.7892788821879462,0.788315972398107,-0.0042785722605971355,-0.003315662470757985,-0.0009629097898391503
px017_grass_man,expA_temporal,GRASS_MAN,0.532608687877655,0.6910190582275391,0.4754802481935516,0.4743938345174234,0.4707940016412152,-0.004686246552336404,-0.0010864136761282173,-0.0035998328762081866
px018_trees_nd,expA_temporal,TREES_ND,0.5400000214576721,0.6899437308311462,0.9100508535213124,0.9115670500282076,0.9115001933333554,0.0014493398120429823,0.0015161965068951622,-6.685669485217982e-05
px018_trees_nd,expB_spatial,TREES_ND,0.5400000214576721,0.6899437308311462,0.9100508275362028,0.9108851320903988,0.910767034966818,0.0007162074306151789,0.0008343045541959748,-0.00011809712358079594
px019_shrubs_bd,expA_temporal,SHRUBS_BD,0.5099999904632568,0.6929471492767334,0.8311838549408023,0.8307860501503187,0.8290135514849869,-0.00217030345581537,-0.0003978047904835691,-0.001772498665331801
px020_trees_ne,expA_temporal,TREES_NE,0.5555555820465088,0.6869615316390991,0.903619841092313,0.9048208325803776,0.9057560507079956,0.002136209615682616,0.0012009914880646289,0.0009352181276179872
px021_grass_nat,expA_temporal,GRASS_NAT,0.5600000023841858,0.6859297752380371,0.9077044703010096,0.9069454328135697,0.9069851905540524,-0.0007192797469572909,-0.0007590374874399952,3.975774048270431e-05
px022_grass_nat,expA_temporal,GRASS_NAT,0.6172839403152466,0.9304575324058532,0.9648798567607494,0.9661431372970436,0.9660571143693436,0.0011772576085942177,0.001263280536294209,-8.602292769999131e-05
px022_grass_nat,expB_spatial,GRASS_NAT,0.6172839403152466,0.9304575324058532,0.964879831444405,0.964892071273666,0.9646963770850696,-0.0001834543593354221,1.2239829261018187e-05,-0.00019569418859644028
px023_shrubs_ne,expA_temporal,SHRUBS_NE,0.6899999976158142,0.8338149785995483,0.7677654276594635,0.7681292607598498,0.769455890780844,0.0016904631213804366,0.00036383310038623495,0.0013266300209942017
px024_shrubs_bd,expA_temporal,SHRUBS_BD,0.6600000262260437,0.8743470907211304,0.7089755721285109,0.7074725424286965,0.7077726035325701,-0.0012029685959408232,-0.0015030296998144177,0.0003000611038735945
px025_grass_nat,expA_temporal,GRASS_NAT,0.6419753432273865,0.8985178470611572,0.3935082297538558,0.3977237265961044,0.3950565423809041,0.0015483126270482983,0.0042154968422485894,-0.002667184215200291
px026_trees_nd,expA_temporal,TREES_ND,0.75,0.5623351335525513,0.9479485944531691,0.9474802488642764,0.9479931902092978,4.459575612869582e-05,-0.000468345588892749,0.0005129413450214448
px027_grass_man,expA_temporal,GRASS_MAN,0.75,0.5623351335525513,0.8361180813087761,0.8322931137080631,0.8330745349475324,-0.0030435463612437097,-0.0038249676007129363,0.0007814212394692266
px028_grass_nat,expA_temporal,GRASS_NAT,0.5813953280448914,0.9641510844230652,0.4624167439661291,0.4620441850609766,0.4596488945405004,-0.002767849425628688,-0.0003725589051524758,-0.002395290520476212
px028_grass_nat,expB_spatial,GRASS_NAT,0.5813953280448914,0.9641510844230652,0.4624167534461524,0.4614370112179956,0.4574697697382818,-0.004946983707870611,-0.0009797422281568324,-0.003967241479713779
