RMSE,MAE,MAPE,R2,Pearson_r,ACC,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
1.6945770056163807,1.431609659091286,57.844421373020005,-7.636844249423401,0.1108365410301877,-0.5588695996203429,evergreen,zero_shot,2012,2000,12,543,46,0.0
1.779277334999358,1.4906801685043003,60.08883731121284,-8.521815522960692,0.1488481375605126,-0.6346517888295975,evergreen,finetuned_lora,2012,2000,12,543,46,130.1
0.8562903550756332,0.6132706507392551,17.154519584336132,0.3336222558773799,0.8272995445210449,0.175916350506523,evergreen,zero_shot,2013,2001,12,549,46,0.0
0.962509912397346,0.6961158617683079,19.704622545478014,0.1580451541357508,0.7288143258996187,0.012192955666983,evergreen,finetuned_lora,2013,2001,12,549,46,144.2
0.6706179266456762,0.4656911440517591,16.032208189172305,0.6442968572789698,0.8370350414343748,0.4550943681799412,evergreen,zero_shot,2014,2002,12,551,46,0.0
0.6192909004362818,0.4418523078379424,13.915358430083431,0.696662025448449,0.8397016740194743,0.4123314546162281,evergreen,finetuned_lora,2014,2002,12,551,46,129.8
0.7473602284061782,0.5471282445866129,15.14373554367415,0.5558629032607633,0.8188487464106255,0.1911451374530909,evergreen,zero_shot,2015,2003,12,552,46,0.0
0.6312974812571065,0.4922864670338838,14.886803340549182,0.6830978415997335,0.8459440555973744,0.2728437489697741,evergreen,finetuned_lora,2015,2003,12,552,46,111.1
0.3813806350742441,0.3173296451568603,8.661404394917623,0.9001241365042704,0.9655935680947696,0.6844371965664351,evergreen,zero_shot,2016,2004,12,552,45,0.0
0.3312380056797317,0.2764796098073324,7.508269316813202,0.9246603507000783,0.9650394888081134,0.7566002894080158,evergreen,finetuned_lora,2016,2004,12,552,45,111.2
0.7116264504215191,0.5319004551224087,17.699675057158565,0.5825787021444395,0.7923406440618947,0.2043119638188559,evergreen,zero_shot,2017,2005,12,551,46,0.0
1.1658069140890537,0.991333360257356,28.697258163005458,-0.120272546988446,0.4100437772551974,0.0200912580173426,evergreen,finetuned_lora,2017,2005,12,551,46,111.3
0.7170795782120667,0.5353780388832092,26.30627680870736,0.7617693243532656,0.8862133736581207,0.4794225391716687,evergreen,zero_shot,2018,2006,12,551,46,0.0
0.7552763415728582,0.6044512961221777,24.14064704391916,0.7357136483841635,0.895200925559082,0.4342547227486402,evergreen,finetuned_lora,2018,2006,12,551,46,111.2
0.7256880680059832,0.5821140382600867,16.247743820749207,0.663067487637463,0.8636261789394342,0.3034788896619312,evergreen,zero_shot,2019,2007,12,551,46,0.0
0.6420139712802322,0.4666232648103133,13.726984127718742,0.736286772521624,0.8802640207946494,0.3963490469207919,evergreen,finetuned_lora,2019,2007,12,551,46,147.4
0.898559369870099,0.6400083173876223,19.23159791217202,0.3687001357835301,0.6862107924562352,-0.2706774841784215,evergreen,zero_shot,2020,2008,12,551,46,0.0
0.8155813103504506,0.6081640746282495,18.654160321147277,0.4799121938239029,0.7902625162894432,0.3023252019723266,evergreen,finetuned_lora,2020,2008,12,551,46,111.0
0.7189773555747068,0.5492967729983123,18.158742767563485,0.5210526023282096,0.7797896567837438,0.3374091375582097,evergreen,zero_shot,2021,2009,12,551,46,0.0
0.6837567348267801,0.4961992009826328,16.183098658354194,0.5668277496642304,0.7936201077071737,0.4024727587842757,evergreen,finetuned_lora,2021,2009,12,551,46,145.1
0.4848286029357054,0.4239206923378838,14.050473762184538,0.832319040290164,0.9287599975116216,0.4703848619165318,evergreen,zero_shot,2022,2010,12,551,45,0.0
0.5360102196670469,0.4321098486582438,14.97621839019953,0.7950474037689144,0.9051981137430946,0.281309447173389,evergreen,finetuned_lora,2022,2010,12,551,45,176.5
