step,train_loss,val_loss,val_r2,lr,arch,n_params
0,0.4266637712717056,0.34674954414367676,0.8320170243581136,0.001,deep_mlp_reg,51040
20,0.42085427045822144,0.3469121257464091,0.8314998944600424,0.001,deep_mlp_reg,51040
40,0.41276775300502777,0.3468626141548157,0.8319664597511292,0.001,deep_mlp_reg,51040
60,0.412662610411644,0.34724419315656024,0.8317401806513468,0.001,deep_mlp_reg,51040
80,0.3779054880142212,0.34721725185712177,0.8313392996788025,0.001,deep_mlp_reg,51040
100,0.3890015333890915,0.34735623995463055,0.8316678206125895,0.001,deep_mlp_reg,51040
120,0.38521766662597656,0.34746869405110675,0.8316439191500345,0.001,deep_mlp_reg,51040
140,0.40025560557842255,0.34741173187891644,0.8315295179684957,0.001,deep_mlp_reg,51040
160,0.41368283331394196,0.34693147738774616,0.831997811794281,0.001,deep_mlp_reg,51040
180,0.3946142643690109,0.3472454051176707,0.8316280047098795,0.001,deep_mlp_reg,51040
199,0.3974510133266449,0.3475918769836426,0.8312477469444275,0.001,deep_mlp_reg,51040
0,0.4266637712717056,0.34667126337687176,0.8325221141179403,0.003,deep_mlp_reg,51040
20,0.42140232026576996,0.34767748912175495,0.8305818637212118,0.003,deep_mlp_reg,51040
40,0.41162583231925964,0.34726988275845844,0.8315170605977377,0.003,deep_mlp_reg,51040
60,0.4123642295598984,0.34804850816726685,0.8314400513966879,0.003,deep_mlp_reg,51040
80,0.37770186364650726,0.34704868992169696,0.8315499027570089,0.003,deep_mlp_reg,51040
100,0.38820216059684753,0.34813186526298523,0.8313238620758057,0.003,deep_mlp_reg,51040
120,0.3845549523830414,0.3475583692391713,0.8308229843775431,0.003,deep_mlp_reg,51040
140,0.3989276885986328,0.3477219045162201,0.8314025004704794,0.003,deep_mlp_reg,51040
160,0.41480016708374023,0.34682421882947284,0.8318415482838949,0.003,deep_mlp_reg,51040
180,0.3944530487060547,0.3476332128047943,0.8312018513679504,0.003,deep_mlp_reg,51040
199,0.39771224558353424,0.34758058190345764,0.8311725656191508,0.003,deep_mlp_reg,51040
