RMSE,MAE,MAPE,R2,Pearson_r,ACC,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.1912582523665137,0.1462582414564879,18.66649246155893,0.8710004413541712,0.9398987954968938,0.0772401528870199,px011_grass_man,zero_shot,2012,2000,12,543,46,0.0
0.2186450182904998,0.1637676895960517,14.487000320104729,0.7952602536172695,0.9253197200422194,-0.020199849918763,px011_grass_man,zero_shot,2013,2001,12,549,46,0.0
0.1884657203065296,0.1422102334706679,14.950252970367666,0.8478277898868298,0.9369195651468708,0.3086853540633557,px011_grass_man,zero_shot,2014,2002,12,551,46,0.0
0.3063463597864819,0.1968406937692476,15.769292223376867,0.5383677622116283,0.7728159699135521,0.2037928543550035,px011_grass_man,zero_shot,2015,2003,12,552,46,0.0
0.314979335967787,0.2389244609408908,26.047125005190853,0.5902767096258825,0.7692212072918426,-0.0714323826589573,px011_grass_man,zero_shot,2016,2004,12,552,45,0.0
0.2160514896688033,0.1707413481629413,23.37247253145596,0.8429542083646338,0.9271930797216948,0.0872186920916973,px011_grass_man,zero_shot,2017,2005,12,551,46,0.0
0.2202701364674313,0.1554136606662169,16.56218464021291,0.7675793457249568,0.9054551083668524,0.0804383198580334,px011_grass_man,zero_shot,2018,2006,12,551,46,0.0
0.2017551035114944,0.1510677136804746,17.659578567510763,0.8032617859347881,0.9162951977613412,0.082186618175404,px011_grass_man,zero_shot,2019,2007,12,551,46,0.0
0.2842381848189301,0.1724267731542172,12.786988094743718,0.716812630412603,0.8779621445300065,-0.1828040213585032,px011_grass_man,zero_shot,2020,2008,12,551,46,0.0
0.2974663579830778,0.1545313635598058,12.540865614972368,0.6175718596989419,0.8171281076076459,-0.2846091200214808,px011_grass_man,zero_shot,2021,2009,12,551,46,0.0
0.3108453027272421,0.1998870472113291,19.587077444062245,0.489033615494383,0.7613986697989504,-0.1017014816352073,px011_grass_man,zero_shot,2022,2010,12,551,45,0.0
