site,method,learning_rate,rank,best_step,best_eval_loss,steps_run,elapsed_sec,n_trainable,n_total,peak_mem_mb
evergreen,dora,0.0001,16,400,0.6154592037200928,700,113.2,2487888,121965552,3635.3
evergreen,dora,0.0001,8,100,0.6438746452331543,400,65.0,1280976,120758640,3625.7
evergreen,dora,1e-05,8,100,0.659808874130249,400,65.5,1280976,120758640,3119.9
evergreen,dora,1e-05,16,100,0.6628891229629517,400,65.4,2487888,121965552,3645.5
