RMSE,MAE,MAPE,R2,Pearson_r,ACC,site,mode,test_year,window_start,window_years,n_context,n_test,elapsed_sec
0.0554991613775522,0.0462366747467414,14.533640796656648,0.5478316379433902,0.7408072960562161,0.3114663968012988,low_amplitude,zero_shot,2012,2000,12,543,46,0.6
0.060148305534757,0.0454725176095962,15.19950459611796,0.4689026621032622,0.7232299587387969,0.252791372138625,low_amplitude,finetuned_lora,2012,2000,12,543,46,222.7
0.0644204004936187,0.0503316498968912,18.63915783740196,0.3866211177421983,0.6888483911070813,0.374590333612532,low_amplitude,zero_shot,2013,2001,12,549,46,0.6
0.0708044011842486,0.0567429593723753,21.297480771077467,0.259026822521569,0.6504033201821334,0.2576074681573629,low_amplitude,finetuned_lora,2013,2001,12,549,46,123.4
0.0539769501389848,0.0408500993381375,14.98985244655962,0.0895510498523124,0.7216858305206927,0.3846487508445267,low_amplitude,zero_shot,2014,2002,12,551,46,0.0
0.0545314358089924,0.0406315517814263,14.510273828511222,0.0707495478277798,0.7471300613466164,0.3951908530374335,low_amplitude,finetuned_lora,2014,2002,12,551,46,350.1
0.062553821506628,0.0534255553198897,19.016706593778903,0.2245193673010611,0.5251631690446273,0.2415797862893502,low_amplitude,zero_shot,2015,2003,12,552,46,0.0
0.0834967453076527,0.0631135844666025,22.701595239939927,-0.3816637297825989,0.2591891049203774,-0.0313715826864889,low_amplitude,finetuned_lora,2015,2003,12,552,46,1190.0
0.0547249123591321,0.0449938067131572,15.717401122366814,0.6318424248087608,0.822081026642021,0.003853955275502,low_amplitude,zero_shot,2016,2004,12,552,45,0.0
0.058656210594748,0.0442672760950194,16.354315130772356,0.5770474997919788,0.7745854291596808,0.0875620010815771,low_amplitude,finetuned_lora,2016,2004,12,552,45,112.1
0.0691123170693324,0.0589262758908064,28.3626347749471,0.3242715493345479,0.8588951322039002,0.2874735309387217,low_amplitude,zero_shot,2017,2005,12,551,46,0.0
0.0973088680942577,0.0840980896483297,40.74257845658447,-0.3395722413980135,0.7401861900660661,0.1483035797961663,low_amplitude,finetuned_lora,2017,2005,12,551,46,490.8
0.0801386935994531,0.0638941796901433,30.68159790684718,-0.717133877354992,0.6208659907737673,0.4299396923351153,low_amplitude,zero_shot,2018,2006,12,551,46,0.0
0.0824357021005287,0.0655510527608187,30.696660939338543,-0.8169807325104095,0.3694265238732037,-0.0165235021286446,low_amplitude,finetuned_lora,2018,2006,12,551,46,142.4
0.0712425799372624,0.0545985595039699,22.643781009641103,0.6454708869357146,0.8794985727044731,0.2951478904451023,low_amplitude,zero_shot,2019,2007,12,551,46,0.0
0.0851771812749055,0.0682868513724078,25.848803360014628,0.4932203635406652,0.857207894942914,-0.1008644896738852,low_amplitude,finetuned_lora,2019,2007,12,551,46,194.6
0.0665044911902253,0.0578870348956273,19.118060828590004,0.2545305530774647,0.7324614437150523,0.1412782143286118,low_amplitude,zero_shot,2020,2008,12,551,46,0.0
0.0797992791788477,0.0647195396216019,20.022248231054203,-0.0733116298318581,0.5168544991647712,-0.1760900777179268,low_amplitude,finetuned_lora,2020,2008,12,551,46,120.5
0.0480852135147779,0.0397030170197072,14.43077691677616,0.5375772348507803,0.7342514241262429,0.1758674234925761,low_amplitude,zero_shot,2021,2009,12,551,46,0.0
0.0596957387222968,0.0496435418077137,17.123467099926227,0.2873065450320895,0.6563726930138856,0.3257824760645577,low_amplitude,finetuned_lora,2021,2009,12,551,46,111.5
0.0568070944918726,0.0397815007302496,17.500542838521117,0.5601608098911397,0.7594951364851843,-0.1166264743036249,low_amplitude,zero_shot,2022,2010,12,551,45,0.0
0.0602774908219388,0.0443052724003791,17.98792771833306,0.5047789462107504,0.7141627211329309,0.0293271821439282,low_amplitude,finetuned_lora,2022,2010,12,551,45,210.2
