Method,Paper,Trainable Params,Mean R2,Std R2 (3 pixels),Mean RMSE,Mean MAE,Mean Pearson r,Mean Train Time (s),Delta vs Zero-shot,Delta vs Original LoRA,Pixels Beating Zero-shot
Zero-shot,"Ansari et al., Chronos-2 (Amazon, 2025)",,0.7797526666666666,0.21665789623582454,0.305054,0.23715066666666665,0.8910756666666666,,0.0,0.09888833333333336,0/3
IA3,"Liu et al., IA3 (NeurIPS'22)",73728.0,0.7686507868258864,0.2175114213764396,0.3297510337668619,0.2544343929047937,0.885113042365778,41.6,-0.011101879840780296,0.08778645349255305,0/3
Partial (last block),Classical partial fine-tuning,13093536.0,0.7659401578194952,0.22150595418415892,0.32083464238443216,0.25470958666668997,0.8852597965407826,10.033333333333333,-0.013812508847171409,0.08507582448616195,0/3
DoRA,"Liu et al., DoRA (ICML'24 Oral)",1280976.0,0.7612063643997805,0.23125723280655974,0.33441658788765544,0.254617106086678,0.8835778052828598,68.93333333333334,-0.018546302266886288,0.08034203106644706,1/3
LN-Tuning,"LN-Tuning (used in Beyond-LoRA, 2409.11302)",28416.0,0.7600044311102002,0.22956285255445855,0.32366861807145203,0.25176921867662,0.879737152951205,12.766666666666666,-0.019748235556466504,0.07914009777686686,0/3
Improved LoRA,"Hu et al., LoRA (ICLR'22) + validation selection",,0.7571098261658792,0.22982714930769835,0.3436154526001172,0.25953881966846964,0.882197181333821,,-0.022642840500787503,0.07624549283254585,0/3
VeRA,"Kopiczko et al., VeRA (ICLR'24)",98896.0,0.7545329928098106,0.23056437507738772,0.32607155654882775,0.26238812125391425,0.8838132745000049,16.733333333333334,-0.025219673856856233,0.07366865947647712,0/3
BitFit,"Zaken et al., BitFit (ACL'22)",8352.0,0.6826940771033371,0.2469030421039009,0.40188247655775866,0.3098460268643167,0.8611929191860889,20.46666666666667,-0.09705858956332958,0.0018297437700037777,0/3
Original LoRA,"Hu et al., LoRA (ICLR'22)",,0.6808643333333334,0.28784545716466214,0.38062700000000005,0.28998966666666665,0.8344149999999999,,-0.09888833333333336,0.0,0/3
