site,model,test_year,RMSE,MAE,MAPE,R2,Pearson_r,ACC
low_amplitude,AELSTM,2012,0.063775798030876,0.0537245170178391,16.4453964536465,0.4029109441244082,0.6477127287760867,0.0365023945782655
low_amplitude,BiLSTM,2012,0.062864828786113,0.0530398571446213,16.27061435876786,0.4198466800842154,0.6580310418918605,0.0474496758391715
low_amplitude,LSTM,2012,0.0627501226760834,0.0530833025426445,16.218949824329187,0.4219618983812191,0.6584654818964617,0.0580538077782019
low_amplitude,GRU,2012,0.0627769162645188,0.0539667528925431,16.46864831662305,0.4214681616083451,0.6629974560328451,0.0417973997691738
low_amplitude,RNN,2012,0.0610671769036277,0.051213199380048,15.63674950445583,0.4525518477430692,0.6820865035818852,0.132920086023713
low_amplitude,CNN,2012,0.0640957239763379,0.0550744055034292,16.49132793575174,0.3969054243101356,0.6600684846012923,0.0652893422470224
low_amplitude,RF,2012,0.0626032812026986,0.0523805918586017,15.38859345726125,0.4246640652983113,0.6815128857288875,0.2034680025791573
low_amplitude,SVM,2012,0.0595003642411354,0.0517255749107915,15.579473683187206,0.480283438616502,0.7152729406670868,0.2585133619546192
low_amplitude,AELSTM,2013,0.0667942606953219,0.0546719422342061,20.512827319253084,0.3405828137135344,0.6348482493099281,0.2264079376294127
low_amplitude,BiLSTM,2013,0.0747115234734236,0.0619777404445369,23.967566072982702,0.1749939143929115,0.5893305930235794,0.198186128937723
low_amplitude,LSTM,2013,0.0674474421268428,0.0547409778595455,20.65914901732769,0.3276228659814076,0.6394688582808977,0.2374978645500373
low_amplitude,GRU,2013,0.0660894468149587,0.0526447027637548,19.85831026935726,0.3544257478414881,0.6514646726003717,0.2850917519942939
low_amplitude,RNN,2013,0.0767963444126107,0.0629997150400184,24.63589732162385,0.1283079951762972,0.5979950702294564,0.1817920384088698
low_amplitude,CNN,2013,0.0655736492940136,0.0506412643574172,18.75788384852208,0.3644632414399757,0.6347459162185252,0.2461032812318324
low_amplitude,RF,2013,0.0645743048787443,0.0517454176956627,18.97353074202826,0.3836868317761666,0.6666913550088575,0.2927959785003892
low_amplitude,SVM,2013,0.0638671952998813,0.0507541377839398,18.80400889959953,0.3971105880151105,0.6889529992550657,0.398391166654061
low_amplitude,AELSTM,2014,0.0553645071225487,0.0454956090503399,17.18116732435155,0.0421406076029788,0.6851015401113265,0.4706202480175454
low_amplitude,BiLSTM,2014,0.0559938977008708,0.0447536263930637,16.82965044353493,0.0202386908091556,0.7154236288398992,0.568261611536115
low_amplitude,LSTM,2014,0.0554570257685549,0.0434058277942408,16.42472842724896,0.0389366090778667,0.7174673422944017,0.575632715880381
low_amplitude,GRU,2014,0.0579249516185203,0.045935857961294,17.315116281723768,-0.0485043716409212,0.7229054765569267,0.5987077433366524
low_amplitude,RNN,2014,0.0563919887551622,0.0444592808247577,16.68583010341975,0.0062578567821737,0.7340312137242613,0.6347258407803578
low_amplitude,CNN,2014,0.0568922752371887,0.0469963359850584,17.477600852493733,-0.0114524972024243,0.659342282001282,0.4097346434207591
low_amplitude,RF,2014,0.052527990208499,0.0416288529653032,15.909634649395317,0.1377753096850109,0.7539382271441691,0.6810239094797819
low_amplitude,SVM,2014,0.0540058334577183,0.043229108173667,15.78770458488993,0.0885764799009527,0.7783517629257192,0.6181525473646373
low_amplitude,AELSTM,2015,0.0675439311008662,0.051798455985165,19.851207665585548,0.0958594677077127,0.5798858630445347,0.2918087976387093
low_amplitude,BiLSTM,2015,0.0682769999826622,0.0524288590527411,20.341036320953485,0.0761273017160958,0.5693233904102627,0.3054955536692708
low_amplitude,LSTM,2015,0.0674204159283124,0.0530995386785196,20.182124237863,0.0991631831987298,0.5885654993099765,0.315317346414449
low_amplitude,GRU,2015,0.0690311424022063,0.0527740273760786,20.510982845686044,0.0556056206360807,0.5647154652216422,0.2861643144787188
low_amplitude,RNN,2015,0.0713718251284928,0.0590017513798585,22.780540681731736,-0.0095245340499434,0.5669871367279808,0.3778394090421682
low_amplitude,CNN,2015,0.0676634314767758,0.0535304062999372,20.24731445089265,0.0926573824938767,0.5737351690313149,0.1603994530382892
low_amplitude,RF,2015,0.0714598724098445,0.0565428751023926,21.866967352944684,-0.0120168541553902,0.5520948985022542,0.2912607512550639
low_amplitude,SVM,2015,0.064218467721951,0.0531477706679455,19.886916486403063,0.1826968923277995,0.5638643178252492,0.3345319519617563
low_amplitude,AELSTM,2016,0.0775637000953195,0.0641101117715336,23.462641012730405,0.2604277447049514,0.6886628011645443,-0.238826824825715
low_amplitude,BiLSTM,2016,0.0526170641565163,0.0440284230311908,16.26201518596607,0.6596570191810656,0.8326012732283387,0.1425647667977534
low_amplitude,LSTM,2016,0.0768889484114753,0.0644922390836581,23.75115764415914,0.2732393311227313,0.7435768823801295,-0.2121334428047764
low_amplitude,GRU,2016,0.0533388153731485,0.0446352717123101,16.381347476666292,0.6502559735861431,0.8229824964733818,0.1160726943821454
low_amplitude,RNN,2016,0.0613134058266034,0.0517690721275558,19.574529380346263,0.537859047267628,0.7782897229804359,-0.1604562574142843
low_amplitude,CNN,2016,0.081136628754584,0.0664442645066386,23.380609506023813,0.190722453654892,0.6645831983932757,-0.2157702233773067
low_amplitude,RF,2016,0.0474367515174521,0.0372375519350083,12.413772906298243,0.7233737081952156,0.8517472461085135,0.3639447192351596
low_amplitude,SVM,2016,0.0489249858993895,0.0412908379758561,13.9861027305619,0.7057442271239303,0.8476508687822464,0.3357123146373054
low_amplitude,AELSTM,2017,0.0791656981403218,0.0693469691980555,34.283766822336744,0.1133843440721802,0.8401761597873605,0.196956088874522
low_amplitude,BiLSTM,2017,0.069884072408494,0.0595082297039579,27.78054657400728,0.3090959892507308,0.8488991546369684,0.3085479759837768
low_amplitude,LSTM,2017,0.0715049145415089,0.0616941170696283,28.95841625502216,0.2766756463483316,0.8142698451136516,0.2000488874506164
low_amplitude,GRU,2017,0.0700280856388801,0.0587146704805128,27.91217652310745,0.3062455016821739,0.8475063218664319,0.2950350562901264
low_amplitude,RNN,2017,0.0671145692554936,0.0567146467971667,26.195160886259227,0.3627719008333724,0.8296248806290708,0.2342745051616588
low_amplitude,CNN,2017,0.0832339521937589,0.0645733937587625,36.22146468493423,0.019918171361585,0.6934452899078484,-0.0795019005639042
low_amplitude,RF,2017,0.0650133206619132,0.0560524026839805,25.35540226817061,0.4020484423264828,0.8357609098727816,0.2261719764547016
low_amplitude,SVM,2017,0.065090248084813,0.0537097233198177,25.55926904601836,0.4006325452115395,0.8030216507139534,0.0866550454126392
low_amplitude,AELSTM,2018,0.102866417794962,0.0903157496712092,43.27103136370489,-1.8292210035526408,0.6169958511823225,0.5059147308951845
low_amplitude,BiLSTM,2018,0.1026567740969173,0.0901744992679928,43.21669076425131,-1.8177007433337944,0.6055952206902996,0.4551056457364885
low_amplitude,LSTM,2018,0.1019672258464135,0.0892418145436987,42.66362210474335,-1.7799747336585847,0.611309485351875,0.4555316355794872
low_amplitude,GRU,2018,0.102377962981459,0.0896250859684346,42.83082771716469,-1.802416034482204,0.6098147942515825,0.4502783887855544
low_amplitude,RNN,2018,0.0959586781122876,0.0817423883614948,38.93795372480149,-1.4620005992333396,0.6539847170442743,0.4938958642100223
low_amplitude,CNN,2018,0.1022711328093885,0.0887204767444941,42.24980334365728,-1.7965705111410548,0.6185957683959299,0.4307632869368119
low_amplitude,RF,2018,0.096879401798194,0.0826873449406224,39.76655390954949,-1.50947306119429,0.5985902306001237,0.4101945394365232
low_amplitude,SVM,2018,0.0808406245529976,0.0672324767592847,32.55432357697063,-0.7473462052342745,0.6526272836798228,0.5883197602658345
low_amplitude,AELSTM,2019,0.0700462473059702,0.0602626162758849,28.78415434954685,0.6572776937202938,0.8924650734129479,0.4384793386259615
low_amplitude,BiLSTM,2019,0.0684420736866005,0.058811384545536,27.77272870847407,0.6727957436713532,0.8970832413562566,0.4602571482840416
low_amplitude,LSTM,2019,0.0671477946534676,0.0573165414408785,27.25111275625808,0.6850539740812971,0.8995976098819013,0.4863619312583788
low_amplitude,GRU,2019,0.0698112306247528,0.0602426567305339,29.10093369418144,0.6595736150711713,0.903225879714232,0.4561176687800345
low_amplitude,RNN,2019,0.0725401870207169,0.0553117691328731,25.00510077161893,0.6324385405642485,0.8391234041427346,0.2101816077091424
low_amplitude,CNN,2019,0.1170977486839337,0.1014830438353319,46.68787564579145,0.0422112838344831,0.3598574316115092,-0.5721243395363054
low_amplitude,RF,2019,0.0712424845783755,0.0577066865429357,27.25460580085021,0.6454718376938029,0.8812990510213168,0.234806584367287
low_amplitude,SVM,2019,0.0719548627704469,0.0535326726017091,24.57250020699613,0.6383462906058289,0.8151191331768634,0.3280956146842727
