,RMSE,MAE,MAPE,R2,Pearson_r
mean,0.21470666308794167,0.1599743342663033,25.89733957338471,0.7571920912019247,0.8943877180654558
median,0.2127605,0.1616065,18.2219507893788,0.865029,0.9507315000000001
std,0.12749840624322356,0.09555424264685625,17.052421633304412,0.2809091727282406,0.1555237921612047
min,0.036274,0.028448,6.02058,-0.347578,0.141625
max,0.4849752207266585,0.4259298351075914,67.257799,0.97252,0.98863
