region,count,mean,median
Northeast,2,0.9425319999999999,0.9425319999999999
Northern Rockies / Great Basin,1,0.927611,0.927611
Southeast,3,0.8778986546949362,0.836118
Great Plains,11,0.8436311818181818,0.908283
California,4,0.7709142385941952,0.813957
Pacific Northwest,6,0.7403073333333333,0.7286115
Other,4,0.5814775,0.568514
Southwest,1,-0.347578,-0.347578
