,RMSE,MAE,MAPE,R2,Pearson_r
mean,0.20499714560946738,0.15051328951259416,39.57467091004602,0.7654869581427879,0.9029681910848723
median,0.18022100000000002,0.1394395,21.306258,0.9044805,0.9561435
std,0.12068961648623036,0.08796570641976517,103.24391536290344,0.30316863033100416,0.13161106268052025
min,0.036274,0.028448,6.02058,-0.723543,0.141625
max,0.620154,0.466817,877.163878,0.987093,0.993858
