site,RMSE,MAE,MAPE,R2,Pearson_r,dominant_pft,pft_purity,pft_entropy,region
px051_shrubs_ne,0.142966,0.104337,21.111341,0.874685,0.935431,SHRUBS_NE,0.5300000309944153,0.9856724739074708,Pacific Northwest
px054_shrubs_ne,0.071359,0.055773,10.812239,0.850845,0.923828,SHRUBS_NE,0.8500000238418579,0.4227090775966644,California
px027_grass_man,0.151337,0.11024,13.812511,0.836118,0.943975,GRASS_MAN,0.75,0.5623351335525513,Southeast
evergreen,0.4849752207266585,0.4259298351075914,14.023496741340352,0.8322176076224337,0.9301318449824632,TREES_NE,0.949999988079071,0.1985152661800384,Southeast
px019_shrubs_bd,0.172416,0.119057,10.455927,0.831184,0.978746,SHRUBS_BD,0.5099999904632568,0.6929471492767334,Great Plains
px004_trees_ne,0.321683,0.221611,30.423967,0.826853,0.918395,TREES_NE,1.0,2.486791883526962e-10,Pacific Northwest
px046_grass_nat,0.072706,0.060938,12.00688,0.822382,0.955706,GRASS_NAT,0.8202247619628906,0.4710525274276733,Other
px055_shrubs_bd,0.055611,0.045512,9.10311,0.805516,0.954238,SHRUBS_BD,0.8100000023841858,0.4862229228019714,Great Plains
px016_shrubs_ne,0.052219,0.045934,9.988734,0.792595,0.894401,SHRUBS_NE,0.5299999713897705,0.6913461089134216,Great Plains
px057_shrubs_nd,0.069805,0.058494,21.140008,0.777069,0.883247,SHRUBS_ND,0.8400000333786011,0.5168823003768921,California
px023_shrubs_ne,0.339809,0.254814,31.492705,0.767766,0.954112,SHRUBS_NE,0.6899999976158142,0.8338149785995483,Pacific Northwest
px024_shrubs_bd,0.106156,0.07808,11.30958,0.708976,0.891604,SHRUBS_BD,0.6600000262260437,0.8743470907211304,Great Plains
px030_grass_man,0.620154,0.466817,31.07444,0.68859,0.842163,GRASS_MAN,0.4900000095367431,1.0463541746139526,Pacific Northwest
px034_grass_man,0.422714,0.31691,17.174495,0.63037,0.84575,GRASS_MAN,0.7599999904632568,0.5510799288749695,Pacific Northwest
px064_shrubs_bd,0.132665,0.094658,11.620204,0.602757,0.865348,SHRUBS_BD,0.8600000143051147,0.4049634933471679,Other
px062_shrubs_nd,0.134485,0.123402,20.22116,0.586416,0.787179,SHRUBS_ND,0.6299999952316284,0.6589556932449341,Other
px068_trees_nd,0.34863,0.267203,38.591419,0.564516,0.829618,TREES_ND,0.8700000047683716,0.3863867223262787,Pacific Northwest
low_amplitude,0.0579882552431547,0.0396103426814079,17.9428315787576,0.5416799543767805,0.7595571295427851,GRASS_NAT,0.8399999737739563,0.4396699070930481,California
px011_grass_man,0.296534,0.189504,18.50107,0.534999,0.778332,GRASS_MAN,1.0,2.486791883526962e-10,Pacific Northwest
px035_shrubs_nd,0.169996,0.139514,22.604649,0.534271,0.796381,SHRUBS_ND,0.7599999904632568,0.5510799288749695,Other
px017_grass_man,0.100009,0.078114,19.54999,0.47548,0.699619,GRASS_MAN,0.532608687877655,0.6910190582275391,Great Plains
px028_grass_nat,0.188026,0.151791,57.929854,0.462417,0.707779,GRASS_NAT,0.5813953280448914,0.9641510844230652,Southeast
px049_grass_nat,0.112907,0.095047,12.716325,0.436874,0.720841,GRASS_NAT,0.6399999856948853,0.6991131901741028,Great Plains
px025_grass_nat,0.065691,0.052247,11.562061,0.393508,0.704792,GRASS_NAT,0.6419753432273865,0.8985178470611572,Southeast
px009_shrubs_nd,0.215271,0.178043,27.072929,0.3665,0.867139,SHRUBS_ND,1.0,2.486791883526962e-10,Other
px015_shrubs_nd,0.069167,0.059088,26.231261,0.297085,0.610349,SHRUBS_ND,0.4799999892711639,0.9469139575958252,Southwest
px059_shrubs_bd,0.112194,0.085763,14.02498,0.264664,0.742629,SHRUBS_BD,0.6700000166893005,0.634178638458252,Great Plains
px008_shrubs_bd,0.117089,0.094202,15.421249,0.179853,0.722745,SHRUBS_BD,0.9700000286102296,0.1347421407699585,Great Plains
px047_grass_nat,0.105924,0.08665,56.219142,-0.347578,0.141625,GRASS_NAT,0.8199999928474426,0.4713934957981109,Southwest
px045_grass_nat,0.111705,0.085987,18.818794,-0.723543,0.73534,GRASS_NAT,0.6200000047683716,0.6640641093254089,Great Plains
