region,count,mean,median
Midwest,10,0.952662515153355,0.955473
Northeast,4,0.9456,0.9425319999999999
Northern Rockies / Great Basin,4,0.9198267499999999,0.917658
Pacific Northwest,12,0.7971323333333333,0.850769
California,4,0.7709142385941952,0.813957
Southeast,6,0.7383716606808015,0.8341678038112168
Great Plains,21,0.708128380952381,0.897569
Other,6,0.6343898333333333,0.5945865
Southwest,3,0.2797483333333333,0.297085
