RMSE,MAE,MAPE,R2,Pearson_r,site,source,test_year,context_steps,dominant_pft,pft_purity,region,n_pixels_done
0.5184993827651745,0.39019636842939587,14.11842510271607,0.8082197981702628,0.8990320892400439,evergreen,ERA5-cloud,2022,1002,TREES_NE,0.949999988079071,Southeast,1
0.059058826787231865,0.04241114772028393,19.495537184078753,0.5246008514564243,0.778108999913615,low_amplitude,ERA5-cloud,2022,1002,GRASS_NAT,0.8399999737739563,California,2
0.3879224077001274,0.2516190528869629,14.599558132092818,0.9623718086666805,0.9824778762556312,high_amplitude_deciduous,ERA5-cloud,2022,1002,TREES_BD,0.8899999856948853,Southeast,3
0.3202825274239832,0.16758429408073425,22.082209707686758,0.9354828379573266,0.9729518923079729,mixed_forest_grass,ERA5-cloud,2022,1002,TREES_BD,0.5,Midwest,4
0.2954693403630668,0.21474990778499178,31.564334767980018,0.8539224436673499,0.929612218765096,px004_trees_ne,ERA5-cloud,2022,1002,TREES_NE,1.0,Pacific Northwest,5
0.27690570687473365,0.19964488198359806,43.18163778641044,0.9150715546668009,0.9574010076162054,px005_trees_bd,ERA5-cloud,2022,1002,TREES_BD,1.0,Great Plains,6
0.30248034781334304,0.2348449064625634,23.81134466700257,0.9362995471137876,0.9740547016766966,px006_trees_nd,ERA5-cloud,2022,1002,TREES_ND,1.0,Great Plains,7
0.043245691755349966,0.03285788827472263,7.066501082001253,0.869640431907791,0.9338219252941904,px007_shrubs_ne,ERA5-cloud,2022,997,SHRUBS_NE,1.0,Great Plains,8
0.1148715813192904,0.09685094157854716,15.633234946535676,0.21062689934596857,0.6585687747809891,px008_shrubs_bd,ERA5-cloud,2022,997,SHRUBS_BD,0.9700000286102296,Great Plains,9
0.2940255972957505,0.2352079345120324,34.91406140655524,-0.18180747809034847,0.8425283635536103,px009_shrubs_nd,ERA5-cloud,2022,997,SHRUBS_ND,1.0,Other,10
0.3888201966088337,0.323326881064309,38.11155266849987,0.8925172003686525,0.9471947808953172,px010_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,1.0,Great Plains,11
0.3109306075119675,0.1957447734143999,18.555197556183067,0.4887531296197323,0.7720454159222359,px011_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,1.0,Pacific Northwest,12
0.16407108660601438,0.1316831920709875,43.211797480449526,0.9462275111475684,0.9742188735181033,px012_trees_nd,ERA5-cloud,2022,1002,TREES_ND,0.5,Pacific Northwest,13
0.21467509593673073,0.13606064716974894,35.72608492177581,0.93469402439738,0.9725420202158025,px013_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.5099999904632568,Great Plains,14
0.23655674463694795,0.17144813674191633,66.47771678385973,0.9512141418672374,0.9772436490234052,px014_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.5199999809265137,Great Plains,15
0.06809312423158793,0.0583186149597168,25.799875101700405,0.3187473448995527,0.6192629615080328,px015_shrubs_nd,ERA5-cloud,2022,1002,SHRUBS_ND,0.4799999892711639,Southwest,16
0.04878326842954474,0.0391718586285909,8.669324013535993,0.8189878474356207,0.9060050496412076,px016_shrubs_ne,ERA5-cloud,2022,997,SHRUBS_NE,0.5299999713897705,Great Plains,17
0.08763370396871718,0.06510945128069984,16.199941861431842,0.5972591449697846,0.861129545964673,px017_grass_man,ERA5-cloud,2022,997,GRASS_MAN,0.532608687877655,Great Plains,18
0.3128029309970946,0.19333096345265707,21.51809515408932,0.9163731249642801,0.9608559825662398,px018_trees_nd,ERA5-cloud,2022,1002,TREES_ND,0.5400000214576721,Midwest,19
0.13548352649716822,0.10484085083007813,10.2957369986578,0.8957608745583278,0.9732986754401072,px019_shrubs_bd,ERA5-cloud,2022,997,SHRUBS_BD,0.5099999904632568,Great Plains,20
0.25403221402849724,0.19601210289531285,28.742165681640387,0.8785788513175685,0.9693311393726284,px020_trees_ne,ERA5-cloud,2022,1002,TREES_NE,0.5555555820465088,Northern Rockies / Great Basin,21
0.1172555845775938,0.08425660481055577,23.66948657663136,0.866499544302975,0.9362275522283972,px021_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.5600000023841858,Northern Rockies / Great Basin,22
0.13945609210427717,0.10585598159167502,33.03173198794358,0.9689320142030861,0.9859262318376042,px022_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.6172839403152466,Midwest,23
0.33575367356944114,0.25414718985557555,31.09556929518531,0.7732758705656583,0.9570669747534427,px023_shrubs_ne,ERA5-cloud,2022,1002,SHRUBS_NE,0.6899999976158142,Pacific Northwest,24
0.13645517852064984,0.08912039001782736,12.457938862162804,0.5191418871878712,0.8292647038295554,px024_shrubs_bd,ERA5-cloud,2022,997,SHRUBS_BD,0.6600000262260437,Great Plains,25
0.06190569153808188,0.04834538300832113,10.376674425028803,0.46139154182274844,0.7081195320959077,px025_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.6419753432273865,Southeast,26
0.1327147136042507,0.11477428509129418,14.13337747043371,0.9212613868677738,0.9795731230453539,px026_trees_nd,ERA5-cloud,2022,1002,TREES_ND,0.75,Pacific Northwest,27
0.1719645808107557,0.13350799282391865,15.931953583831781,0.788399624796423,0.9495117520683158,px027_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.75,Southeast,28
0.18674974349105938,0.15078158113691542,57.46806358674509,0.4696903208340294,0.7159528789130291,px028_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.5813953280448914,Southeast,29
0.24802137459580023,0.18071867906384997,22.5442343038656,0.9472505995271812,0.9738907097675146,px029_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.4900000095367431,Midwest,30
0.6553412998037684,0.4885522034433153,32.0395812648061,0.6522486033338724,0.8239077354474216,px030_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.4900000095367431,Pacific Northwest,31
0.30627741808661446,0.24504149763120545,85.9558404746366,0.9682755345418412,0.9842035566680687,px031_trees_bd,ERA5-cloud,2022,1002,TREES_BD,0.7200000286102295,Midwest,32
0.35301878725259755,0.24665061657627424,66.43385388661929,0.8869011819801438,0.9430622542171093,px032_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.7599999904632568,Great Plains,33
0.16078859642978044,0.11476445131831699,14.574788020271498,0.9869095719649592,0.9935449812630267,px033_trees_ne,ERA5-cloud,2022,1002,TREES_NE,0.7300000190734863,Northeast,34
0.4131664015843601,0.3074873884518941,16.42332938501054,0.6468795635846255,0.8542824716696733,px034_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.7599999904632568,Pacific Northwest,35
0.26460719047860554,0.2161093923780653,34.72274139730688,-0.12839545377297812,0.73948221489435,px035_shrubs_nd,ERA5-cloud,2022,997,SHRUBS_ND,0.7599999904632568,Other,36
