RMSE,MAE,MAPE,R2,Pearson_r,site,source,test_year,context_steps,dominant_pft,pft_purity,region,n_pixels_done,gridmet_RMSE,gridmet_MAE,gridmet_MAPE,gridmet_R2,gridmet_Pearson_r,R2_diff_era5_minus_gridmet
0.1607885964297804,0.1147644513183169,14.574788020271498,0.9869095719649592,0.9935449812630268,px033_trees_ne,ERA5-cloud,2022,1002,TREES_NE,0.7300000190734863,Northeast,34,0.15966,0.112042,14.23986,0.987093,0.993858,-0.00018342803504078908
0.227038633103508,0.1522154341141383,21.20402152448241,0.9786274072495408,0.9899689842750528,px060_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.4799999892711639,Midwest,61,0.231601,0.155498,21.472508,0.97776,0.989622,0.0008674072495408192
0.1965874485732396,0.1480116396728489,43.42690794273754,0.9759750817880104,0.9881917863206122,px043_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.7900000214576721,Great Plains,44,0.21025,0.14517,40.794982,0.97252,0.98863,0.00345508178801035
0.1394560921042771,0.105855981591675,33.03173198794358,0.968932014203086,0.9859262318376042,px022_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.6172839403152466,Midwest,23,0.148272,0.113048,33.144789,0.96488,0.9838,0.004052014203085985
0.3062774180866144,0.2450414976312054,85.9558404746366,0.9682755345418412,0.9842035566680688,px031_trees_bd,ERA5-cloud,2022,1002,TREES_BD,0.7200000286102295,Midwest,32,0.321405,0.24945,91.742882,0.965064,0.983877,0.003211534541841199
0.3879224077001274,0.2516190528869629,14.599558132092818,0.9623718086666804,0.9824778762556312,high_amplitude_deciduous,ERA5-cloud,2022,1002,TREES_BD,0.8899999856948853,Southeast,3,0.3721987428443206,0.2459115187327067,14.14267502821269,0.9653603564623752,0.983538003569336,-0.002988547795694796
0.3106702967070485,0.2332269175599018,83.1487683462266,0.961485757333161,0.9903736234272692,px036_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.4900000095367431,Midwest,37,0.303358,0.230858,84.061235,0.963278,0.988771,-0.0017922426668389724
0.3425755591512294,0.2431610681944423,43.86059572594153,0.9589966033298232,0.9813488107420442,px042_grass_nat,ERA5-cloud,2022,1002,GRASS_NAT,0.6499999761581421,Midwest,43,0.350201,0.248807,42.159763,0.957151,0.982111,0.0018456033298231977
0.2365567446369479,0.1714481367419163,66.47771678385973,0.9512141418672374,0.9772436490234052,px014_grass_man,ERA5-cloud,2022,1002,GRASS_MAN,0.5199999809265137,Great Plains,15,0.2392,0.158012,68.933319,0.950118,0.976804,0.001096141867237388
0.2756399976966873,0.214698185523351,37.830270342486216,0.9480289165980962,0.9795795472817602,px037_trees_nd,ERA5-cloud,2022,1002,TREES_ND,0.7699999809265137,Great Plains,38,0.261993,0.195707,34.639759,0.953048,0.980844,-0.005019083401903823
